price,drug,ticker,date_text,end_date,stage
133.80,DARZALEX (Daratumumab) - ALCYONE,JNJ,,05/21/2018,PDUFA priority review
83.81,Pegvaliase,BMRN,,05/25/2018,PDUFA priority review
10.50,Intravenous (IV) meloxicam,REPH,,05/26/2018,PDUFA
191.10,Prolia (denosumab),AMGN,,05/28/2018,PDUFA
5.47,Yuvvexy - TX-004HR,TXMD,,05/29/2018,PDUFA
75.26,Bempedoic acid - CLEAR LDL-C Lowering Program 1002-046,ESPR,May 2018;,05/31/2018,Phase 3
75.26,Bempedoic acid (ETC-1002-040) - Clear Harmony,ESPR,May 2018;,05/31/2018,Phase 3
2.77,KIT-302,KTOV,,05/31/2018,PDUFA
82.76,Tafinlar (dabrafenib) and Mekinist (trametinib),NVS,Estimate mid-2Q 2018;,05/31/2018,PDUFA priority review
83.95,Enasidenib or ivosidenib with VIDAZA,AGIO,ASCO 2018;,06/01/2018,Phase 1/2
83.95,Ivosidenib,AGIO,ASCO 2018;,06/01/2018,Phase 1
231.95,bb2121,BLUE,ASCO 2018;,06/01/2018,Phase 1
17.55,SD-101 + Pembrolizumab,DVAX,ASCO 2018;,06/01/2018,Phase 1/2
2.07,IMO-2125 + ipilimumab - ILLUMINATE 301,IDRA,ASCO 2018 (Phase 1/2);,06/01/2018,Phase 3
68.12,Niraparib and Keytruda (TOPACIO),TSRO,ASCO 2018;,06/01/2018,Phase 1/2
36.77,Xeljanz,PFE,,06/13/2018,PDUFA
15.38,IDP-118,VRX,,06/18/2018,PDUFA
16.07,Furoscix,SCPH,,06/23/2018,PDUFA
11.44,Plazomicin,AKAO,,06/25/2018,PDUFA priority review
119.29,Rova-T (TRINITY),ABBV,2Q 2018;,06/30/2018,Phase 2
21.28,ATI-50002 - PK/safety,ACRS,1H 2018;,06/30/2018,Phase 2
21.28,ATI-50002 - open label,ACRS,1H 2018;,06/30/2018,Phase 2
27.69,GOCOVRI (amantadine),ADMS,2Q 2018;,06/30/2018,Phase 3
157.28,UBROGEPANT - ACHIEVE II (UBR-MD-02),AGN,1H 2018;,06/30/2018,Phase 3
157.28,Cariprazine,AGN,1H 2018;,06/30/2018,Phase 3
157.28,ATOGEPANT,AGN,1H 2018;,06/30/2018,Phase 2b
8.98,ALRN-6924,ALRN,1H 2018;,06/30/2018,Phase 2a
116.87,ANB020,ANAB,2Q 2018;,06/30/2018,Phase 2a
1.38,rocapuldencel-T (AGS-003) ADAPT Trial,ARGS,1H 2018;,06/30/2018,Phase 3
1.38,AGS-004 and vorinostat,ARGS,1H 2018;,06/30/2018,Phase 1
42.27,APD371,ARNA,2Q 2018;,06/30/2018,Phase 2
18.05,Binimetinib - COLUMBUS,ARRY,,06/30/2018,PDUFA
18.00,ASN100,ASNS,1H 2018;,06/30/2018,Phase 2
4.84,IV Tramadol,ATXI,2Q 2018;,06/30/2018,Phase 3
2.98,TIVO-3 - tivozanib,AVEO,2Q 2018;,06/30/2018,Phase 3
2.80,AXS-05 STRIDE-1,AXSM,2Q 2018;,06/30/2018,Phase 3
33.79,Selumetinib - ASTRA,AZN,1H 2018;,06/30/2018,Phase 3
33.79,Lynparza,AZN,1H 2018;,06/30/2018,Phase 3
33.79,Durvalumab +/- tremelimumab (MYSTIC),AZN,1H 2018;,06/30/2018,Phase 3
33.79,Durvalumab +/- tremelimumab (KESTREL),AZN,1H 2018;,06/30/2018,Phase 3
33.79,Durvalumab +/- tremelimumab (EAGLE),AZN,1H 2018;,06/30/2018,Phase 3
33.79,Durvalumab +/- tremelimumab (ARCTIC),AZN,1H 2018;,06/30/2018,Phase 3
67.92,CM-511 – Opdivo + Yervoy,BMY,1H 2018;,06/30/2018,Phase 3
67.92,CM-331– Opdivo,BMY,1H 2018;,06/30/2018,Phase 3
67.92,CM-227 – Opdivo + Yervoy,BMY,1H 2018;,06/30/2018,Phase 3
67.92,CM-548 - Opdivo+SOC,BMY,1H 2018;,06/30/2018,Phase 2
36.24,AT342 - VALENS,BOLD,2Q 2018;,06/30/2018,Phase 1/2
36.24,AT132 - ASPIRO,BOLD,2Q 2018;,06/30/2018,Phase 1/2
92.56,REVLIMID - AUGMENT NHL-007,CELG,1H 2018;,06/30/2018,Phase 3
4.75,CK-101,CKPT,1H 2018;,06/30/2018,Phase 1/2
2.82,Glembatumumab vedotin,CLDX,2Q 2018;,06/30/2018,Phase 2b
13.00,Suprachoroidal CLS-TA - TYBEE,CLSD,2Q 2018;,06/30/2018,Phase 2
13.00,Suprachoroidal CLS-TA - HULK,CLSD,2Q 2018;,06/30/2018,Phase 1/2
17.05,Palovarotene,CMTA,2Q 2018;,06/30/2018,Phase 2
7.27,Emricasan,CNAT,2Q 2018;,06/30/2018,Phase 2b
12.01,Corplex Donepezil,CORI,1H 2018;,06/30/2018,Phase 1
3.23,Firdapse,CPRX,1H 2018;,06/30/2018,Phase 3
0.32,Neutrolin - LOCK-IT 100,CRMD,2Q 2018;,06/30/2018,Phase 3
4.01,PIXUVRI - PIX306 Trial,CTIC,2Q 2018;,06/30/2018,Phase 3
4.01,Pacritinib - PAC203,CTIC,2Q 2018;,06/30/2018,Phase 3
8.30,CK-2127107,CYTK,2Q 2018;,06/30/2018,Phase 2
9.43,Glycopyrronium tosylate (DRM04),DERM,,06/30/2018,Phase 3
20.37,DNL201,DNLI,1H 2018;,06/30/2018,Phase 1
24.53,IMblaze370 - cobimetinib and atezolizumab,EXEL,1H 2018;,06/30/2018,Phase 3
4.95,CEVA101,FBIO,1H 2018;,06/30/2018,Phase 2
4.95,Pepvax vaccine,FBIO,1H 2018;,06/30/2018,Phase 2
26.73,Zilretta - FX006,FLXN,2Q 2018;,06/30/2018,Phase 2
14.91,ATB200,FOLD,2Q 2018;,06/30/2018,Phase 1/2
7.71,Gemcabene - INDIGO-1,GEMP,2Q 2018;,06/30/2018,Phase 2b
80.72,Selonsertib (GS-4997),GILD,2Q 2018;,06/30/2018,Phase 2
80.72,GS-9674,GILD,2Q 2018;,06/30/2018,Phase 2
6.38,Aramchol - ARREST,GLMD,2Q 2018;,06/30/2018,Phase 2b
103.18,GLPG2737 - PELICAN,GLPG,1H 2018;,06/30/2018,Phase 2
103.18,Filgotinib - TORTUGA,GLPG,2Q 2018;,06/30/2018,Phase 2
103.18,Filgotinib - EQUATOR,GLPG,2Q 2018;,06/30/2018,Phase 2
34.23,G1T38 plus Faslodex,GTHX,2Q 2018;,06/30/2018,Phase 1b
22.75,HTX-011,HRTX,1H 2018;,06/30/2018,Phase 3
2.07,IMO-8400,IDRA,2Q 2018;,06/30/2018,Phase 2
1.83,Eftilagimod alpha and Keytruda,IMMP,1H 2018;,06/30/2018,Phase 1
94.23,Epacadostat with Keytruda - ECHO-301,INCY,1H 2018;,06/30/2018,Phase 3
94.23,Ruxolitinib - REACH 1,INCY,1H 2018;,06/30/2018,Phase 3
2.55,IPI-549 + Nivolumab,INFI,2Q 2018;,06/30/2018,Phase 1
24.96,JTX-2011,JNCE,2Q 2018;,06/30/2018,Phase 1/2
133.80,Esketamine,JNJ,2018;,06/30/2018,Phase 3
6.80,KP415,KMPH,2Q 2018;,06/30/2018,Phase 3
22.90,Tipifarnib,KURA,1H 2018;,06/30/2018,Phase 2
128.98,LOXO-292,LOXO,1H 2018;,06/30/2018,Phase 1
11.58,MM-141 - CARRIE,MACK,1H 2018;,06/30/2018,Phase 2
4.35,NexoBrid,MDWD,1H 2018;,06/30/2018,Phase 3
2.16,ME-401,MEIP,2Q 2018;,06/30/2018,Phase 1
2.16,ME-344,MEIP,2Q 2018;,06/30/2018,Phase 1
2.16,Pracinostat in combination with Vidaza,MEIP,2Q 2018;,06/30/2018,Phase 2
6.73,MSC-100-IV,MESO,2Q 2018;,06/30/2018,Phase 3
30.58,Margetuximab in combination with pembrolizumab,MGNX,1H 2018;,06/30/2018,Phase 2
33.00,Serlopitant,MNLO,2Q 2018;,06/30/2018,Phase 2
55.14,(MK-3475-189/KEYNOTE-189),MRK,"1H 2018 (est, only);",06/30/2018,Phase 3
1.04,MAT2501,MTNB,2Q 2018;,06/30/2018,Phase 2
92.43,NBI-74788,NBIX,1H 2018;,06/30/2018,Phase 2a
7.85,Indoximod + gemcitabine and nab-paclitaxel,NLNK,1H 2018;,06/30/2018,Phase 2
82.76,LJN452,NVS,1H 2018;,06/30/2018,Phase 2
82.76,LEE011: MONALEESA-3,NVS,2Q 2018;,06/30/2018,Phase 3
80.75,Neratinib plus Kadcyla (T-DM1),PBYI,2Q 2018;,06/30/2018,Phase 1/2
80.75,Neratinib,PBYI,1H 2018;,06/30/2018,Phase 3
4.34,PF708 and Forteo,PFNX,1H 2018;,06/30/2018,Phase 3
35.06,NEOD001 PRONTO,PRTA,2Q 2018;,06/30/2018,Phase 2b
1.46,PLX-PAD (stem cells),PSTI,2Q 2018;,06/30/2018,Phase 2
53.80,KRN23 Burosumab,RARE,1H 2018;,06/30/2018,Phase 2
1.66,Supinoxin,RNN,2Q 2018;,06/30/2018,Phase 2a
26.95,RXDX-105,RXDX,1H 2018;,06/30/2018,Phase 1b
4.30,Samcyprone - RXI-SCP-1502,RXII,1Q/2Q 2018;,06/30/2018,Phase 2
27.28,Setmelanotide,RYTM,1H 2018;,06/30/2018,Phase 2
7.75,COR-003 (levoketoconazole) - SONICS,SBBP,2Q 2018;,06/30/2018,Phase 3
26.35,SB-318,SGMO,1H 2018;,06/30/2018,Phase 1/2
9.83,Entinostat plus Keytruda - ENCORE 601,SNDX,2Q 2018;,06/30/2018,Phase 1/2
12.00,SPR741,SPRO,1H 2018;,06/30/2018,Phase 1b
28.61,TD-9855,TBPH,1H 2018;,06/30/2018,Phase 2a
16.55,TG-1101 and TGR-1202 - UNITY-CLL study,TGTX,2Q 2018;,06/30/2018,Phase 3
12.91,Toca 511 & Toca FC,TOCA,1H 2018;,06/30/2018,Phase 2/3
3.54,TPIV200,TPIV,1H 2018;,06/30/2018,Phase 2
1.00,Ropinirole implant,TTNP,1H 2018;,06/30/2018,Phase 1/2
1.60,VCL-HB01 HSV-2 Therapeutic Vaccine,VICL,2Q 2018;,06/30/2018,Phase 2
176.26,VX-445 in combination with tezacaftor and ivacaftor,VRTX,1H 2018;,06/30/2018,Phase 2
5.80,BTA074 5% topical gel,VXRT,2Q 2018;,06/30/2018,Phase 2
16.01,Dasiglucagon,ZEAL,2Q 2018;,06/30/2018,Phase 3
45.00,ZX008 - Study 1504,ZGNX,Late 2Q 2018;,06/30/2018,Phase 3
52.98,Inotersen (IONIS-TTRRx),IONS,,07/06/2018,PDUFA priority review
1.85,RBP-7000,DRRX,,07/28/2018,PDUFA
7.48,Buprenorphine,INSY,,07/28/2018,PDUFA
133.02,Givosiran,ALNY,Mid-2018;,07/31/2018,Phase 3
125.68,Eculizumab,ALXN,Mid-2018;,07/31/2018,Phase 3
0.98,BL-8040,BLRX,Mid-2018;,07/31/2018,Phase 2
28.03,Marzeptacog alfa,CBIO,July 2018;,07/31/2018,Phase 2
92.56,Lico-cel (CD-19 JCAR017) - TRANSCEND,CELG,2018;,07/31/2018,Phase 1/2
34.10,CX 072,CTMX,Mid-2018;,07/31/2018,Phase 1/2
1.25,Vicinium,EBIO,Mid-2018;,07/31/2018,Phase 3
2.16,AEVI-001 (NFC-1),GNMX,Mid-2018;,07/31/2018,Phase 2
2.16,AEVI-002 (Anti-LIGHT mAb),GNMX,Mid-2018;,07/31/2018,Phase 1/2
37.36,Dezamizumab,GSK,Mid-2018;,07/31/2018,Phase 2b
37.36,Dolutegravir + lamivudine (GEMINI 2),GSK,Mid-2018;,07/31/2018,Phase 3
37.36,Dolutegravir + lamivudine (GEMINI 1),GSK,Mid-2018;,07/31/2018,Phase 3
34.60,Sitravatinib plus nivolumab,MRTX,Mid-2018;,07/31/2018,Phase 2
34.60,Mocetinostat and durvalumab,MRTX,Mid-2018;,07/31/2018,Phase 2
22.40,Tumor Treating Fields (TTFields) STELLAR,NVCR,Mid-2018;,07/31/2018,Phase 2
14.00,OBE2109 - EDELWEISS,OBSV,Mid-2018;,07/31/2018,Phase 2b
1.47,Pulmazole (PUR1900),PULM,Mid-2018;,07/31/2018,Phase 1
6.12,RHB-104 MAP US,RDHL,Mid-2018;,07/31/2018,Phase 3
15.79,SB 9200,SBPH,Mid-2018;,07/31/2018,Phase 2a
1.43,SCY-078 - oral,SCYX,Mid-2018;,07/31/2018,Phase 2b
26.35,SB-525,SGMO,Mid-2018;,07/31/2018,Phase 1/2
26.35,SB-913 - CHAMPIONS,SGMO,Mid-2018;,07/31/2018,Phase 1/2
12.00,SPR994,SPRO,Mid-2018;,07/31/2018,Phase 1
74.36,SRP-5051,SRPT,Mid-2018;,07/31/2018,Phase 1/2
2.80,TRC253,TCON,Mid-2018;,07/31/2018,Phase 1/2
2.80,TRC105 and Inlyta,TCON,Mid-2018;,07/31/2018,Phase 2
43.99,Luspatercept - BELIEVE,XLRN,Mid-2018;,07/31/2018,Phase 3
43.99,Luspatercept - MEDALIST,XLRN,Mid-2018;,07/31/2018,Phase 3
8.00,ZGN-1061,ZFGN,Mid-2018;,07/31/2018,Phase 2
7.76,Remoxy,PTIE,,08/07/2018,PDUFA
5.98,TPOXX,SIGA,,08/08/2018,PDUFA priority review
133.02,Patisiran APOLLO,ALNY,,08/11/2018,PDUFA priority review
341.70,EYLEA,REGN,,08/11/2018,PDUFA
14.91,Migalastat,FOLD,,08/13/2018,PDUFA priority review
83.95,Ivosidenib,AGIO,,08/21/2018,PDUFA priority review
16.45,Stannsoporfin,MNK,,08/22/2018,PDUFA priority review
17.52,INVELTYS,KALA,,08/24/2018,PDUFA
15.38,IDP-121,VRX,,08/26/2018,PDUFA
157.28,ESMYA  (ulipristal acetate),AGN,August 2018;,08/28/2018,PDUFA
2.90,Eravacycline (TP-434) - IGNITE4,TTPH,,08/28/2018,PDUFA priority review
75.26,Bempedoic Acid/ Ezetimibe (1002FDC-053),ESPR,August 2018;,08/31/2018,Phase 3
4.25,Symjepi - low dose,ADMP,,09/03/2018,PDUFA
4.23,ACH-4471,ACHN,3Q 2018;,09/30/2018,Phase 2
4.50,rAAV-hRS1,AGTC,Late-3Q/Early-4Q est;,09/30/2018,Phase 1/2
3.60,Vascepa REDUCE-IT outcomes trial,AMRN,3Q 2018;,09/30/2018,Phase 3
16.55,AQX-1125 LEADERSHIP,AQXP,3Q 2018;,09/30/2018,Phase 3
16.72,KX-01 (KX2-391) Ointment,ATNX,3Q 2018;,09/30/2018,Phase 3
16.72,Oraxol,ATNX,3Q 2018;,09/30/2018,Phase 3
1.64,Nelotanserin,AXON,3Q 2018;,09/30/2018,Phase 2
23.67,AVP-786,CNCE,3Q 2018;,09/30/2018,Phase 3
9.75,Exendin 9-39,EIGR,3Q 2018;,09/30/2018,Phase 2
75.26,Bempedoic acid - CLEAR LDL-C Lowering Program 1002-047,ESPR,September 2018;,09/30/2018,Phase 3
0.57,EGP-437,EYEG,3Q 2018;,09/30/2018,Phase 3
26.73,Zilretta - FX006,FLXN,3Q 2018;,09/30/2018,Phase 3
5.72,FMX103,FOMX,Late 3Q or early 4Q 2018;,09/30/2018,Phase 3
5.72,FMX101 - FX2017-22,FOMX,3Q 2018;,09/30/2018,Phase 3
80.72,GS-5734,GILD,3Q 2018;,09/30/2018,Phase 2
2.86,NeoCart,HSGX,3Q 2018;,09/30/2018,Phase 3
4.27,Ganaxolone,MRNS,3Q 2018;,09/30/2018,Phase 2
50.87,Concizumab - explorer,NVO,3Q 2018;,09/30/2018,Phase 2
50.87,Somapacitan (NN8640) - REAL 3,NVO,3Q 2018;,09/30/2018,Phase 3
82.76,INC280,NVS,3Q 2018;,09/30/2018,Phase 2
8.10,1404,PGNX,3Q 2018;,09/30/2018,Phase 3
13.20,Ezutromid,SMMT,3Q 2018;,09/30/2018,Phase 2
19.90,SNA-125,SNNA,3Q 2018;,09/30/2018,Phase 1/2
3.58,TNX-102 SL,TNXP,3Q 2018;,09/30/2018,Phase 3
57.07,MitoGel - OLYMPUS,URGN,3Q 2018;,09/30/2018,Phase 3
5.90,VTI-308,VTL,3Q 2018;,09/30/2018,Phase 3
25.65,INBRIJA (CVT-301),ACOR,,10/05/2018,PDUFA
79.61,"Galcanezumab - EVOLVE-1, EVOLVE-2 and REGAIN",LLY,,10/10/2018,PDUFA
15.38,IDP-122,VRX,,10/15/2018,PDUFA
14.40,Sarecycline,PRTK,4Q 2018;,10/19/2018,PDUFA
341.70,Dupixent (dupilumab) - LIBERTY ASTHMA QUEST,REGN,,10/20/2018,PDUFA
55.14,Doravirine (MK-1439),MRK,,10/23/2018,PDUFA
5.47,TX-001HR,TXMD,,10/28/2018,PDUFA
58.49,ALKS 3831 - ENLIGHTEN-2,ALKS,Fall 2018;,10/31/2018,Phase 3
4.24,SNS-062,SNSS,Fall 2018;,10/31/2018,Phase 1/2
1.98,Oliceridine (TRV130),TRVN,,11/02/2018,PDUFA
82.76,Adalimumab,NVS,"Nov 16, 2018 est only;",11/16/2018,PDUFA
28.61,Revefenacin,TBPH,,11/30/2018,PDUFA
83.95,Ivosidenib or enasidenib,AGIO,ASH 2018;,12/01/2018,Phase 1
231.95,LentiGlobin - HGB-212,BLUE,ASH 2018;,12/05/2018,Phase 3
231.95,LentiGlobin - HGB-206,BLUE,ASH 2018;,12/05/2018,Phase 1/2
152.43,JZP-110,JAZZ,,12/20/2018,PDUFA
119.29,ABT-494 - SELECT-COMPARE,ABBV,2018;,12/31/2018,Phase 3
119.29,Imbruvica - PHOENIX,ABBV,2018;,12/31/2018,Phase 3
54.16,ALX-0171,ABLX,2H 2018;,12/31/2018,Phase 2b
5.80,"ARB-1467, tenofovir, and pegylated interferon",ABUS,2H 2018;,12/31/2018,Phase 2
25.33,Pimavanserin - CLARITY,ACAD,2H 2018;,12/31/2018,Phase 2
4.23,ACH-4471,ACHN,4Q 2018;,12/31/2018,Phase 2
12.09,ACI-24 (anti-Abeta vaccine),ACIU,2018;,12/31/2018,Phase 1/2
21.28,ATI-50002 - dose ranging,ACRS,YE 2018;,12/31/2018,Phase 2
6.70,ADVM-043,ADVM,2H 2018;,12/31/2018,Phase 1/2
157.28,ABICIPAR,AGN,2H 2018;,12/31/2018,Phase 3
33.63,AR101 RAMSES,AIMT,2H 2018;,12/31/2018,Phase 3
14.08,Vadadustat - FO2RWARD,AKBA,Late 2018/Early 2019;,12/31/2018,Phase 2
19.44,AKCEA-ANGPTL3-LRx,AKCA,2018;,12/31/2018,Phase 2
19.44,AKCEA-APO(a)-LRx,AKCA,2H 2018;,12/31/2018,Phase 2b
8.80,ADX-102,ALDX,2H 2018;,12/31/2018,Phase 2b
8.80,ADX-102,ALDX,2H 2018;,12/31/2018,Phase 2b
8.80,ADX-102,ALDX,2H 2018;,12/31/2018,Phase 3
8.80,ADX-102,ALDX,2H 2018;,12/31/2018,Phase 2
7.09,ALLN-177,ALNA,2H 2018;,12/31/2018,Phase 2
133.02,ALN-CC5 (cemdisiran),ALNY,2018;,12/31/2018,Phase 1/2
125.68,ALXN1210,ALXN,4Q 2018;,12/31/2018,Phase 3
125.68,ALXN1210,ALXN,2Q 2018;,12/31/2018,Phase 3
191.10,ABP 710,AMGN,2H 2018;,12/31/2018,Phase 3
53.49,Cingal,ANIK,2018;,12/31/2018,Phase 3
22.26,APL-2 subcutaneous,APLS,2H 2018;,12/31/2018,Phase 2
78.60,ARGX-113,ARGX,2H 2018;,12/31/2018,Phase 2
78.60,ARGX-110,ARGX,YE 2018;,12/31/2018,Phase 1/2
78.60,ARGX-113,ARGX,YE 2018;,12/31/2018,Phase 2
47.80,AM0010 (PEG-IL-10) and Pembrolizumab - Cypress 1,ARMO,YE 2018;,12/31/2018,Phase 2b
47.80,AM0010 (PEG-IL-10) and Nivolumab - Cypress 2,ARMO,YE 2018;,12/31/2018,Phase 2b
1.80,Miransertib - ARQ 092,ARQL,2018;,12/31/2018,Phase 1b
1.90,AST-VAC2,AST,2H 2018;,12/31/2018,Phase 1/2
0.43,Actimab-M,ATNM,2H 2018;,12/31/2018,Phase 1
0.43,Actimab-A,ATNM,2H 2018;,12/31/2018,Phase 2
5.54,Voclosporin,AUPH,2H 2018;,12/31/2018,Phase 2
5.54,Voclosporin,AUPH,2H 2018;,12/31/2018,Phase 2
2.80,AXS-05 ADVANCE-1,AXSM,2H 2018;,12/31/2018,Phase 2/3
33.79,Lynparza,AZN,2H 2018;,12/31/2018,Phase 3
33.79,Farxiga - DECLARE,AZN,2H 2018;,12/31/2018,Phase 3
33.79,FASENRA (benralizumab) - TERRANOVA,AZN,2H 2018;,12/31/2018,Phase 3
33.79,Durvalumab +/- tremelimumab (NEPTUNE),AZN,2H 2018;,12/31/2018,Phase 3
33.79,Anifrolumab,AZN,2H 2018;,12/31/2018,Phase 3
2.93,MS1819,AZRX,4Q 2018;,12/31/2018,Phase 2
2.93,MS1819-SD,AZRX,2H 2018;,12/31/2018,Phase 2
5.58,BCX7353 - ZENITH-1,BCRX,2H 2018;,12/31/2018,Phase 2
286.10,Raxatrigine - BIIB074 (Nav1.7 inhibitor),BIIB,2018;,12/31/2018,Phase 2
286.10,BAN2401 (Aβ mAb),BIIB,2H 2018;,12/31/2018,Phase 2
104.98,BIVV001 (EXTEN-A),BIVV,2018;,12/31/2018,Phase 1/2
1.85,INOpulse delivery device,BLPH,YE 2018;,12/31/2018,Phase 2b
1.85,INOpulse delivery device,BLPH,YE 2018;,12/31/2018,Phase 2
1.85,INOpulse delivery device,BLPH,2018;,12/31/2018,Phase 3
0.98,BL-8040 in combination with TECENTRIQ (atezolizumab),BLRX,2H 2018;,12/31/2018,Phase 1/2
0.98,BL-8040 in combination with KEYTRUDA - COMBAT trial,BLRX,2H 2018;,12/31/2018,Phase 2
0.98,BL-8040,BLRX,2018;,12/31/2018,Phase 2b
0.98,BL-8040 GENESIS,BLRX,2H 2018;,12/31/2018,Phase 3
67.92,CM-602 – Opdivo + Elo + SOC,BMY,2H 2018;,12/31/2018,Phase 3
67.92,CM-459 – Opdivo,BMY,2H 2018;,12/31/2018,Phase 3
67.92,CM-451 – Opdivo + Yervoy,BMY,2H 2018;,12/31/2018,Phase 3
