stage,ticker,drug,date
Phase 2,MRNS,Ganaxolone,12/31/2017
Phase 1,MRSN,XMT1522,12/31/2017
Phase 2,MRTX,Mocetinostat and durvalumab,12/31/2017
Phase 2,MRTX,Glesatinib (MGCD265),12/31/2017
Phase 3,NBIX,Elagolix,12/31/2017
Phase 3,NKTR,Inhaled Amikacin Solution (BAY41-6551T),12/31/2017
Phase 2,NLNK,Indoximod + gemcitabine and nab-paclitaxel,12/31/2017
Phase 1/2,NVAX,NanoFlu vaccine,12/31/2017
Phase 3,NVS,LEE011: MONALEESA-3,12/31/2017
Phase 2a,OCRX,OCR-002,12/31/2017
Phase 2,OGEN,AG013,12/31/2017
Phase 3,ONTX,IV Rigosertib - INSPIRE,12/31/2017
Phase 2,PBYI,Neratinib monotherapy with high dose loperamide prophylaxis - CONTROL,12/31/2017
Phase 3,PFE,Xeljanz,12/31/2017
Phase 3,PFE,Ertugliflozin,12/31/2017
PDUFA priority review,PFE,BOSULIF,12/31/2017
Phase 3,PHMMF,Zepsyre(PM1183),12/31/2017
Phase 2,PLX,OPRX-106,12/31/2017
Phase 2,PTI,PTI-428,12/31/2017
Phase 2b,RDUS,Elacestrant,12/31/2017
Phase 2,REGN,EYLEA + nesvacumab,12/31/2017
Phase 2,REGN,EYLEA + nesvacumab,12/31/2017
Phase 2,RETA,Bardoxolone methyl - LARIAT,12/31/2017
Phase 2,RETA,Omaveloxolone - MOTOR,12/31/2017
Phase 1/2,RETA,Omaveloxolone - REVEAL,12/31/2017
Phase 1/2,RGLS,RG-012,12/31/2017
Phase 1/2,RGNX,RGX-501,12/31/2017
Phase 2a,RNN,Supinoxin,12/31/2017
Phase 2,RNN,RX-3117,12/31/2017
Phase 2a,RNN,Archexin,12/31/2017
Phase 2,RVNC,RT002 - SAKURA 2,12/31/2017
Phase 2,RVNC,RT002,12/31/2017
Phase 3,RVNC,RT002 - SAKURA 1,12/31/2017
Phase 2,RXII,RXI-109-1402,12/31/2017
Phase 2,RXII,Samcyprone - RXI-SCP-1502,12/31/2017
Phase 2,RYTM,Setmelanotide,12/31/2017
Phase 3,SAGE,Brexanolone - SAGE-547 (202C),12/31/2017
Phase 2,SAGE,SAGE-217,12/31/2017
Phase 2,SAGE,SAGE-217,12/31/2017
Phase 2,SAGE,SAGE-217,12/31/2017
Phase 3,SAGE,Brexanolone - SAGE-547 (202B),12/31/2017
Phase 2,SAGE,SAGE-217,12/31/2017
Phase 2,STML,SL-401,12/31/2017
Phase 2,TCON,TRC105 and Inlyta,12/31/2017
Phase 2,TCON,TRC105,12/31/2017
Phase 2,TSRO,Niraparib - (QUADRA trial),12/31/2017
Phase 2,VKTX,VK5211,12/31/2017
Phase 2,VNDA,HETLIOZ (tasimelteon),12/31/2017
Phase 2,VRX,SAN-300,12/31/2017
Phase 2,XBIT,Xilonix,12/31/2017
Phase 2,XLRN,ACE-083,12/31/2017
Phase 2,XNCR,XmAb5871,12/31/2017
PDUFA,XENT,RESOLVE steroid-releasing implant,01/07/2018
Phase 2,EIGR,Ubenimex - LIBERTY,01/08/2018
PDUFA priority review,LLY,Abemaciclib - MONARCH 1 and 2,01/10/2018
PDUFA,LPCN,LPCN 1021,01/10/2018
PDUFA priority review,ONCE,Luxturna (voretigene neparvovec),01/12/2018
Phase 3,AXSM,AXS-02 CREATE-1,01/15/2018
Phase 3,AXSM,AXS-02 COAST-1,01/15/2018
PDUFA,SGYP,Trulance (plecanatide),01/24/2018
PDUFA,AAAP,Lutathera,01/26/2018
PDUFA priority review,ARDM,Linhaliq (Pulmaquin),01/26/2018
PDUFA,SCMP,Lubiprostone,01/28/2018
Phase 3,PFE,Talazoparib,01/31/2018
PDUFA priority review,AZN,Acalabrutinib,02/01/2018
PDUFA,AMAG,Feraheme,02/02/2018
PDUFA,PTLA,Andexanet alfa,02/02/2018
PDUFA,AMGN,XGEVA,02/03/2018
PDUFA priority review,GILD,Bictegravir/F/TAF,02/12/2018
PDUFA,AMAG,Makena - auto injector,02/14/2018
PDUFA,ATRS,Makena - auto injector,02/14/2018
PDUFA priority review,EXEL,Cabozantinib - CABOSUN,02/15/2018
PDUFA,APRI,Vitaros,02/17/2018
PDUFA,KMPH,KP201/APAP,02/23/2018
PDUFA,AERI,Rhopressa,02/28/2018
PDUFA priority review,AZN,Lynparza,02/28/2018
PDUFA priority review,LJPC,LJPC-501,02/28/2018
Phase 2,MDGL,MGL-3196,02/28/2018
PDUFA priority review,MRK,Lynparza,02/28/2018
PDUFA,SRNE,ZTlido (lidocaine patch 1.8%),02/28/2018
PDUFA priority review,VRTX,Tezacaftor (VX-661) / ivacaftor,02/28/2018
PDUFA,OTIC,OTIPRIO,03/02/2018
PDUFA,BMY,Opdivo -  4 week applications,03/05/2018
PDUFA,PFE,Xeljanz,03/13/2018
Phase 2b,BIIB,Natalizumab (α4-integrin inhibitor),03/30/2018
Phase 2b,ABIO,Gencaro - GENETIC-AF trial,03/31/2018
Phase 3,ACOR,Tozadenant,03/31/2018
Phase 3,AIMT,AR101,03/31/2018
Phase 3,ANTH,Sollpura - RESULT,03/31/2018
Phase 2,ARGX,ARGX-113,03/31/2018
Phase 2,ARNA,APD371,03/31/2018
Phase 2,ARNA,Etrasimod,03/31/2018
Phase 3,AVEO,TIVO-3 - tivozanib,03/31/2018
Phase 2,AXON,Nelotanserin,03/31/2018
Phase 3,AXSM,AXS-05 STRIDE-1,03/31/2018
Phase 3,AZN,Brilinta (THEMIS),03/31/2018
Phase 2,CLBS,CLBS03,03/31/2018
Phase 1,CLLS,UCART123,03/31/2018
Phase 3,CLSD,Suprachoroidal CLS-TA - PEACHTREE,03/31/2018
Phase 3,CORI,Corplex Donepezil,03/31/2018
Phase 2,CORT,CORT125134,03/31/2018
Phase 2,CYTK,CK-2127107,03/31/2018
Phase 3,DERM,Olumacostat glasaretil (DRM01),03/31/2018
Phase 3,EARS,Keyzilen (AM-101) - TACTT3,03/31/2018
Phase 2,ESPR,Bempedoic Acid - 1002-039,03/31/2018
Phase 2,FGEN,Pamrevlumab (FG-3019),03/31/2018
Phase 2b,GALE,NeuVax in combination with Herceptin,03/31/2018
Phase 2b,GEMP,Gemcabene - INDIGO-1,03/31/2018
Phase 2,GERN,Imetelstat - IMbarkStudy,03/31/2018
Phase 3,GSK,Dolutegravir + lamivudine (GEMINI 1),03/31/2018
Phase 2,GTHX,Trilaciclib,03/31/2018
Phase 2,GTHX,Trilaciclib,03/31/2018
Phase 2,GTHX,Trilaciclib,03/31/2018
Phase 2,GWPH,GWP42006 (CBDV),03/31/2018
Phase 1,MBIO,MB-102,03/31/2018
Phase 1,MBIO,MB-101,03/31/2018
Phase 1b,MCRB,SER-262,03/31/2018
Phase 2,MEIP,Pracinostat in combination with Vidaza,03/31/2018
Phase 2b,MESO,MPC-150-IM,03/31/2018
Phase 2,MYOK,MYK-461 - PIONEER-HCM,03/31/2018
Phase 2,OBSV,OBE001 - IMPLANT2,03/31/2018
Phase 3,OHRP,OHR-102 (MAKO),03/31/2018
Phase 3,PFE,Tanezumab,03/31/2018
Phase 3,PFE,Tanezumab,03/31/2018
Phase 2b,PTGX,PTG-100,03/31/2018
Phase 3,REGN,Praluent (alirocumab) ODYSSEY OUTCOMES,03/31/2018
Phase 1/2,RXII,RXI-109-1501,03/31/2018
Phase 1/2,SGMO,SB-318,03/31/2018
Phase 1/2,SGMO,SB-FIX,03/31/2018
Phase 1/2,SGMO,SB-913,03/31/2018
Phase 2,SMMT,Ezutromid,03/31/2018
Phase 2,SNY,SAR439684 (PD-1),03/31/2018
Phase 3,SNY,Praluent (alirocumab) ODYSSEY OUTCOMES,03/31/2018
Phase 2,SPHS,Topsalysin (PRX302),03/31/2018
Phase 3,SPPI,SPI-2012 (ROLONTIS),03/31/2018
Phase 3,TTPH,Eravacycline (TP-434) - IGNITE3,03/31/2018
Phase 3,VBLT,VB-111,03/31/2018
Phase 3,VICL,ASP0113 Vaccine,03/31/2018
Phase 3,VTVT,Azeliragon - STEADFAST,03/31/2018
PDUFA priority review,LLY,Abemaciclib - MONARCH 3,04/12/2018
PDUFA priority review,RARE,KRN23 Burosumab,04/17/2018
PDUFA,RIGL,Fostamatinib,04/17/2018
PDUFA priority review,ABBV,Elagolix,04/27/2018
PDUFA priority review,NBIX,Elagolix,04/27/2018
PDUFA,AMGN,KYPROLIS (ENDEAVOR),04/30/2018
Phase 2b,KPTI,Selinexor - STORM,04/30/2018
Phase 3,NBRV,Lefamulin - LEAP 2,04/30/2018
PDUFA,AMGN,Erenumab,05/17/2018
PDUFA,NVS,Erenumab,05/17/2018
PDUFA,REPH,Intravenous (IV) meloxicam,05/26/2018
PDUFA,AMGN,Prolia (denosumab),05/28/2018
PDUFA,KTOV,KIT-302,05/31/2018
Phase 2,ABBV,Rova-T (TRINITY),06/30/2018
Phase 2b,AGN,ATOGEPANT,06/30/2018
Phase 3,AGN,UBROGEPANT,06/30/2018
PDUFA,AGN,ESMYA  (ulipristal acetate),06/30/2018
Phase 2a,ALRN,ALRN-6924,06/30/2018
Phase 3,ALXN,ALXN1210,06/30/2018
Phase 3,AMGN,ABP 798,06/30/2018
Phase 2a,ANAB,ANB020,06/30/2018
Phase 3,ANIK,Cingal,06/30/2018
PDUFA,ARRY,Binimetinib - COLUMBUS,06/30/2018
Phase 2,AVIR,BTA074 5% topical gel,06/30/2018
Phase 3,AZN,Lynparza,06/30/2018
Phase 3,AZN,Durvalumab +/- tremelimumab (MYSTIC),06/30/2018
Phase 3,AZN,Durvalumab +/- tremelimumab (KESTREL),06/30/2018
Phase 3,AZN,Durvalumab +/- tremelimumab (EAGLE),06/30/2018
Phase 3,BHVN,Rimegepant,06/30/2018
Phase 3,BMY,CM-651 – Opdivo + Yervoy,06/30/2018
Phase 3,BMY,CM-451 – Opdivo + Yervoy,06/30/2018
Phase 3,BMY,CM-331– Opdivo,06/30/2018
Phase 3,BMY,CM-078 – Opdivo,06/30/2018
Phase 2,BMY,CM-548 - Opdivo+SOC,06/30/2018
Phase 2/3,BYSI,Plinabulin (Trial 106),06/30/2018
Phase 2b,CLDX,Glembatumumab vedotin,06/30/2018
Phase 2,CLSD,Suprachoroidal CLS-TA - TYBEE,06/30/2018
Phase 2b,CNAT,Emricasan,06/30/2018
Phase 3,CPRX,Firdapse,06/30/2018
Phase 3,CTIC,PIXUVRI - PIX306 Trial,06/30/2018
Phase 2b,DBVT,Viaskin Milk,06/30/2018
Phase 2,EIGR,Ubenimex - ULTRA,06/30/2018
Phase 3,ESPR,"Bempedoic acid - CLEAR LDL-C Lowering Program 1002-046, 1002-047 and 1002-048",06/30/2018
Phase 3,ESPR,Bempedoic acid (ETC-1002-040) - Clear Harmony,06/30/2018
Phase 3,EYEG,EGP-437,06/30/2018
Phase 2,FBIO,CEVA101,06/30/2018
Phase 2,FBIO,Pepvax vaccine,06/30/2018
Phase 3,FBIO,IV Tramadol,06/30/2018
Phase 2,FLKS,FLX-787,06/30/2018
Phase 3,FOMX,FMX101 - FX2017-22,06/30/2018
Phase 2b,GLMD,Aramchol - ARREST,06/30/2018
Phase 1b,GTHX,G1T38 plus Faslodex,06/30/2018
Phase 2,IDRA,IMO-8400,06/30/2018
Phase 1/2,JNCE,JTX-2011,06/30/2018
Phase 3,JNJ,Esketamine,06/30/2018
Phase 2,KURA,Tipifarnib,06/30/2018
Phase 2,KURA,Tipifarnib,06/30/2018
Phase 2,MACK,MM-141 - CARRIE,06/30/2018
Phase 3,MDWD,NexoBrid,06/30/2018
Phase 2,MTNB,MAT2501,06/30/2018
Phase 3,OCUL,OTX-TP,06/30/2018
Phase 3,PBYI,Neratinib,06/30/2018
Phase 2b,PRTA,NEOD001 PRONTO,06/30/2018
Phase 2,PSTI,PLX-PAD (stem cells),06/30/2018
Phase 2a,RNN,RX-3117 in combination with Abraxane,06/30/2018
Phase 1b,RXDX,RXDX-105,06/30/2018
Phase 2,RYTM,Setmelanotide,06/30/2018
Phase 2,RYTM,Setmelanotide,06/30/2018
Phase 2,RYTM,Setmelanotide,06/30/2018
Phase 3,SBBP,COR-003 (levoketoconazole) - SONICS,06/30/2018
Phase 3,SNDX,E2112,06/30/2018
Phase 3,SNGX,SGX301 (synthetic hypericin),06/30/2018
Phase 2,SVRA,Aironite - INDIE,06/30/2018
Phase 2a,TBPH,TD-9855,06/30/2018
Phase 3,TGTX,TG-1101 and TGR-1202 - UNITY-CLL study,06/30/2018
Phase 3,TNXP,TNX-102 SL,06/30/2018
Phase 2/3,TOCA,Toca 511 & Toca FC,06/30/2018
Phase 2,VICL,VCL-HB01 HSV-2 Therapeutic Vaccine,06/30/2018
Phase 2,VKTX,VK2809,06/30/2018
Phase 2,VNDA,Tradipitant,06/30/2018
Phase 2,VTGN,AV-101,06/30/2018
Phase 2,ZFGN,ZGN-1061,06/30/2018
Phase 3,ZGNX,ZX008 - Study 1504,06/30/2018
Phase 3,ALNY,Givosiran,07/31/2018
Phase 3,CELG,Luspatercept - BELIEVE,07/31/2018
Phase 3,CELG,Luspatercept - MEDALIST,07/31/2018
Phase 3,EBIO,Vicinium,07/31/2018
Phase 3,FOMX,FMX103,07/31/2018
Phase 2,GNMX,AEVI-001 (NFC-1),07/31/2018
Phase 3,LLY,Ramucirumab,07/31/2018
Phase 2b,OBSV,OBE2109 - EDELWEISS,07/31/2018
Phase 2,RGLS,RG-012 - HERA,07/31/2018
Phase 2,SCYX,SCY-078 - oral,07/31/2018
Phase 3,XLRN,Luspatercept - MEDALIST,07/31/2018
Phase 3,XLRN,Luspatercept - BELIEVE,07/31/2018
Phase 3,ALXN,Eculizumab,08/31/2018
Phase 2,BLRX,BL-8040,08/31/2018
Phase 2b,ONCS,ImmunoPulse IL-12 - PISCES,08/31/2018
Phase 3,TCON,TRC105 (TAPPAS),08/31/2018
Phase 1/2,AGTC,rAAV-hRS1,09/30/2018
–,AMRN,Vascepa REDUCE-IT outcomes trial,09/30/2018
Phase 3,AQXP,AQX-1125 LEADERSHIP,09/30/2018
Phase 3,HSGX,NeoCart,09/30/2018
Phase 3,RDHL,RHB-104 MAP US,09/30/2018
Phase 3,SBBP,COR-003 (levoketoconazole) - LOGICS,09/30/2018
Phase 3,VTL,VTI-308,09/30/2018
Phase 3,CNCE,AVP-786,09/30/2018
Phase 1/2,ADXS,ADXS-PSA and Keytruda,12/31/2018
Phase 1/2,AGLE,AEB1102,12/31/2018
Phase 2b,AGN,Brazikumab,12/31/2018
Phase 3,AGN,Cariprazine,12/31/2018
Phase 3,AGN,ABICIPAR,12/31/2018
Phase 3,AKBA,Vadadustat - TRILO2GY,12/31/2018
Phase 2,AKBA,Vadadustat - FO2RWARD,12/31/2018
Phase 3,ALDX,ADX-102,12/31/2018
Phase 2,ALDX,ADX-102,12/31/2018
Phase 3,ALKS,ALKS 3831 - ENLIGHTEN-2,12/31/2018
Phase 1/2,ALNY,ALN-CC5 (cemdisiran),12/31/2018
Phase 2,ARGS,ARGX-113,12/31/2018
Phase 2,ARGX,ARGX-113,12/31/2018
Phase 2,AUPH,Voclosporin,12/31/2018
Phase 3,AZN,Dapagliflozin - DECLARE,12/31/2018
Phase 3,AZN,Benralizumab - TERRANOVA,12/31/2018
Phase 3,AZN,Farxiga - DECLARE,12/31/2018
Phase 3,AZN,Selumetinib - ASTRA,12/31/2018
Phase 3,AZN,Roxadustat - ANDES,12/31/2018
Phase 3,AZN,PT010,12/31/2018
Phase 3,AZN,Durvalumab +/- tremelimumab (NEPTUNE),12/31/2018
Phase 3,AZN,Durvalumab +/- tremelimumab (DANUBE),12/31/2018
Phase 3,AZN,Anifrolumab,12/31/2018
Phase 2,BIIB,Raxatrigine - BIIB074 (Nav1.7 inhibitor),12/31/2018
Phase 3,BLPH,INOpulse delivery device,12/31/2018
Phase 2b,BLRX,BL-8040,12/31/2018
Phase 3,BMY,CM-602 – Opdivo + Elo + SOC,12/31/2018
Phase 3,BYSI,Plinabulin,12/31/2018
Phase 3,CELG,REVLIMID - ROBUST,12/31/2018
Phase 3,CELG,MM-007 OPTIMISMM,12/31/2018
Phase 3,CELG,Ozanimod - TRUE NORTH,12/31/2018
Phase 3,CELG,Oral Azacitidine - CC-486-AML-001,12/31/2018
Phase 3,CELG,ABRAXANE - IMpower 131 ( I/O Combo),12/31/2018
Phase 3,CELG,ABRAXANE - IMpower 130 ( I/O Combo),12/31/2018
Phase 3,CELG,ABRAXANE - IMPassion ( I/O Combo),12/31/2018
Phase 2,CFRX,CF-301,12/31/2018
Phase 2,CNAT,Emricasan,12/31/2018
Phase 2a,CNCE,CTP-543,12/31/2018
Phase 3,EARS,AM-111 ASSENT,12/31/2018
Phase 2,EPZM,Tazemetostat,12/31/2018
Phase 3,FGEN,Roxadustat - ANDES,12/31/2018
Phase 2,FLKS,FLX-787 (Aust),12/31/2018
Phase 2,GEMP,Gemcabene - AZURE-1,12/31/2018
Phase 2,GILD,Axicabtagene ciloleucel - KTE-C19 (ZUMA-2),12/31/2018
Phase 1/2,GILD,Axicabtagene ciloleucel - KTE-C19 (ZUMA-3),12/31/2018
Phase 1/2,GILD,Axicabtagene ciloleucel - KTE-C19 (ZUMA-4),12/31/2018
Phase 3,GSK,Closed Triple - CAPTAIN,12/31/2018
Phase 3,GWPH,Epidiolex,12/31/2018
Phase 3,IMGN,Kadcyla (KATHERINE).,12/31/2018
Phase 1/2,IMRN,IMM-529,12/31/2018
Phase 3,INCY,Epacadostat with Keytruda - ECHO-301,12/31/2018
Phase 3,INVA,Closed Triple,12/31/2018
Phase 2,IOVA,LN-145,12/31/2018
Phase 3,JNJ,STELARA (USTEKINUMAB),12/31/2018
Phase 3,JNJ,DARZALEX (Daratumumab),12/31/2018
Phase 2b,KPTI,Selinexor - SADAL,12/31/2018
Phase 2,MACK,MM-121,12/31/2018
Phase 1/2,MBRX,Annamycin,12/31/2018
Phase 3,MRK,Epacadostat with Keytruda - ECHO-301,12/31/2018
Phase 2b,NBIX,INGREZZA - T-Force GOLD,12/31/2018
Phase 2,NVCR,Tumor Treating Fields (TTFields) STELLAR,12/31/2018
Phase 3,NVS,QVM149,12/31/2018
Phase 3,NVS,LEE011: MONALEESA-7,12/31/2018
Phase 3,NVS,Entresto - PIONEER,12/31/2018
Phase 3,NVS,Entresto - PARAGON,12/31/2018
Phase 3,NVS,AIN457 (Cosentyx),12/31/2018
Phase 2a,OBSV,OBE022 - PROLONG,12/31/2018
Phase 3,PFE,Tanezumab,12/31/2018
Phase 3,PLX,PRX-102,12/31/2018
Phase 2,PULM,PUR1800,12/31/2018
Phase 3,RETA,Bardoxolone methyl - CATALYST,12/31/2018
Phase 2,RIGL,Fostamatinib,12/31/2018
Phase 3,SGEN,ADCETRIS in combination with chemotherapy - ECHELON-2,12/31/2018
Phase 3,SNNA,SNA-001,12/31/2018
Phase 3,SNNA,SNA-001,12/31/2018
Phase 3,SVRA,Molgradex - IMPALA,12/31/2018
Phase 3,TBPH,Closed Triple - CAPTAIN,12/31/2018
Phase 2,TCON,TRC105 and Nexavar,12/31/2018
Phase 2,TCON,TRC105,12/31/2018
Phase 2,TCON,TRC102,12/31/2018
Phase 3,UTHR,Esuberaprost - BEAT,12/31/2018
Phase 3,UTHR,Orenitram,12/31/2018
Phase 3,VNDA,HETLIOZ (tasimelteon),12/31/2018
Phase 2b,VRNA,RPL554,12/31/2018
Phase 2,VTGN,AV-101,12/31/2018
Phase 3,CLSN,ThermoDox - OPTIMA,03/31/2019
Phase 2b,GSK,Danirixin,03/31/2019
Phase 3,PRTO,Vonapanitase (PRT-201) PATENCY-2,03/31/2019
Phase 2,XNCR,XmAb5871,03/31/2019
Phase 2,ABBV,ABBV-8E12,06/30/2019
Phase 3,ATNM,Iomab-B,06/30/2019
Phase 2,BMY,CM-568 - Opdivo + Yervoy,06/30/2019
Phase 2,CNAT,Emricasan,06/30/2019
Phase 2,FBIO,CEVA101,06/30/2019
Phase 3,GBT,GBT440 - HOPE,06/30/2019
Phase 3,GSK,Tapinarof,06/30/2019
Phase 2b,GSK,Inhaled PI3Kδ inhibitor,06/30/2019
Phase 3,ICPT,Obeticholic acid (OCA) - REGENERATE,06/30/2019
Phase 3,RYTM,Setmelanotide,06/30/2019
Phase 2b,SNNA,SNA-120,06/30/2019
Phase 3,TBPH,Telavancin,06/30/2019
Phase 3,AKBA,Vadadustat - INNO2VATE,07/31/2019
Phase 3,AKBA,Vadadustat - PRO2TECT,07/31/2019
Phase 3,ABBV,Venetoclax,12/31/2019
Phase 2,AFMD,AFM13,12/31/2019
Phase 3,AGN,RAPASTINEL,12/31/2019
Phase 3,ALNY,Inclisiran,12/31/2019
Phase 3,ALNY,Fitusiran (ATLAS),12/31/2019
Phase 3,AZN,AZD3293,12/31/2019
Phase 3,BCLI,NurOwn,12/31/2019
Phase 3,BMRN,Valoctocogene roxaparvovec (BMN 270),12/31/2019
Phase 3,BMRN,Vosoritide,12/31/2019
Phase 3,CELG,REVLIMID - MAGNIFY NHL-010,12/31/2019
Phase 3,CHMA,Mycapssa - OPTIMAL,12/31/2019
Phase 2b,CNAT,Emricasan,12/31/2019
Phase 3,CRBP,Anabasum (Resunab),12/31/2019
Phase 2,GALE,NeuVax in combination with Herceptin,12/31/2019
Phase 3,GSK,Mepolizumab - SYNAPSE,12/31/2019
Phase 3,IMGN,Kadcyla (KAITLIN),12/31/2019
Phase 3,JNJ,INVOKANA - CREDENCE,12/31/2019
