price,ticker,end_date,drug,stage,date_text
25.85,ACOR,03/31/2018,Tozadenant,Phase 3,1Q 2018;
1.96,ALT,03/31/2018,NasoVAX,Phase 1/2,1Q 2018;
112.40,ANAB,03/31/2018,ANB020,Phase 2a,1Q 2018;
1.35,ANTH,03/31/2018,Sollpura - RESULT,Phase 3,1Q 2018;
34.95,ARNA,03/31/2018,APD371,Phase 2,1Q or 2Q 2018;
34.95,ARNA,03/31/2018,Etrasimod,Phase 2,1Q 2018;
26.44,BHVN,03/31/2018,Rimegepant,Phase 3,1Q 2018;
0.23,BPTH,03/31/2018,Prexigebersen,Phase 2,Early 2018;
15.13,CBIO,03/31/2018,CB 2679d/ ISU304,Phase 1/2,Early 2018;
7.55,CDTX,03/31/2018,Rezafungin (CD101) IV - STRIVE,Phase 2,1Q 2018;
106.00,CELG,03/31/2018,REVLIMID - AUGMENT NHL-007,Phase 3,1Q 2018;
106.00,CELG,03/31/2018,OTEZLA,Phase 2,1Q 2018;
4.08,CLBS,03/31/2018,CLBS03,Phase 2,1Q 2018;
6.35,CLSD,03/31/2018,Suprachoroidal CLS-TA - PEACHTREE,Phase 3,1Q 2018;
20.65,CORT,03/31/2018,CORT125134,Phase 2,1Q 2018;
8.85,CYTK,03/31/2018,CK-2127107,Phase 2,1Q 2018;
27.44,DERM,03/31/2018,Olumacostat glasaretil (DRM01),Phase 3,1Q 2018;
0.48,EARS,03/31/2018,Keyzilen (AM-101) - TACTT3,Phase 3,1Q 2018 - likely February;
10.77,EDGE,03/31/2018,EG-1962,Phase 3,1Q 2018;
73.26,ESPR,03/31/2018,Bempedoic Acid - 1002-039,Phase 2,1Q 2018;
73.26,ESPR,03/31/2018,"Bempedoic acid - CLEAR LDL-C Lowering Program 1002-046, 1002-047 and 1002-048",Phase 3,"March, May and September 2018;"
1.26,EYEG,03/31/2018,EGP-437,Phase 2b,1Q 2018.;
49.50,FGEN,03/31/2018,Pamrevlumab (FG-3019),Phase 2,1Q 2018;
4.20,FLKS,03/31/2018,FLX-787 (Aust),Phase 2,1Q 2018;
0.26,GALE,03/31/2018,NeuVax in combination with Herceptin,Phase 2b,1Q 2018;
2.04,GERN,03/31/2018,Imetelstat - IMbarkStudy,Phase 2,1Q 2018;
79.02,GILD,03/31/2018,GS-9674,Phase 2,1Q 2018;
79.02,GILD,03/31/2018,GS-5745,Phase 3,1Q 2018;
79.02,GILD,03/31/2018,GS-9674,Phase 2,1Q 2018;
79.02,GILD,03/31/2018,Entospletinib,Phase 2,1Q 2018;
11.07,GLMD,03/31/2018,Aramchol - ARRIVE,Phase 2,1Q 2018;
37.50,GSK,03/31/2018,Dolutegravir + lamivudine (GEMINI 2),Phase 3,1Q 2018;
37.50,GSK,03/31/2018,Dolutegravir + lamivudine (GEMINI 1),Phase 3,1Q 2018;
23.04,GTHX,03/31/2018,Trilaciclib,Phase 2,1Q 2018;
131.97,GWPH,03/31/2018,Epidiolex,Phase 3,1Q 2018;
131.97,GWPH,03/31/2018,GWP42006 (CBDV),Phase 2,1Q 2018;
7.45,IMRN,03/31/2018,IMM-124E,Phase 2,1Q 2018;
11.77,MBIO,03/31/2018,MB-102,Phase 1,Early 2018;
11.77,MBIO,03/31/2018,MB-101,Phase 1,Early 2018;
0.90,MBVX,03/31/2018,MVT-5873,Phase 1/2,1Q 2018;
10.52,MCRB,03/31/2018,SER-262,Phase 1b,Early 2018;
5.89,MESO,03/31/2018,MPC-150-IM - Class IV,Phase 2b,1Q 2018;
5.89,MESO,03/31/2018,MSC-100-IV,Phase 3,1Q 2018;
58.66,MRK,03/31/2018,(MK-3475-189/KEYNOTE-189),Phase 3,1Q 2018;
24.75,MRTX,03/31/2018,Mocetinostat and durvalumab,Phase 2,1Q 2018;
52.90,MYOK,03/31/2018,MYK-461 - PIONEER-HCM,Phase 2,1Q 2018;
81.37,NBIX,03/31/2018,Elagolix,Phase 3,1Q 2018;
55.04,NVO,03/31/2018,Semaglutide - oral - PIONEER,Phase 3,1Q 2018;
9.70,OBSV,03/31/2018,OBE001 - IMPLANT2,Phase 2,1Q 2018;
0.74,PLX,03/31/2018,OPRX-106,Phase 2,1Q 2018;
19.84,PTGX,03/31/2018,PTG-100,Phase 2b,Early 2018;
5.04,PTI,03/31/2018,PTI-428 + Kalydeco,Phase 1,1Q 2018;
366.96,REGN,03/31/2018,Cemiplimab,Phase 2,1Q 2018;
366.96,REGN,03/31/2018,Praluent (alirocumab) ODYSSEY OUTCOMES,Phase 3,1Q 2018;
28.43,RETA,03/31/2018,Bardoxolone methyl - LARIAT,Phase 2,1Q 2018;
28.43,RETA,03/31/2018,Omaveloxolone - MOTOR,Phase 2,1Q 2018;
1.23,RGLS,03/31/2018,RG-012,Phase 1/2,1Q 2018;
2.12,RNN,03/31/2018,RX-3117,Phase 2a,1Q 2018;
2.12,RNN,03/31/2018,RX-3117,Phase 2,1Q 2018;
2.12,RNN,03/31/2018,Archexin,Phase 2a,1Q 2018;
12.68,SMMT,03/31/2018,Ezutromid,Phase 2,1Q 2018;
2.29,SPHS,03/31/2018,Topsalysin (PRX302),Phase 2,Late-1Q 2018;
19.42,SPPI,03/31/2018,SPI-2012 (ROLONTIS),Phase 3,1Q 2018;
6.51,TTPH,03/31/2018,Eravacycline (TP-434) - IGNITE3,Phase 3,1Q 2018;
8.30,VBLT,03/31/2018,VB-111,Phase 3,1Q 2018;
1.85,VICL,03/31/2018,ASP0113 Vaccine,Phase 3,1Q 2018;
14.50,VNDA,03/31/2018,HETLIOZ (tasimelteon),Phase 2,1Q 2018;
5.54,VTVT,03/31/2018,TTP399,Phase 1/2,Early 2018;
5.54,VTVT,03/31/2018,Azeliragon - STEADFAST,Phase 3,Early 2018;
18.38,VYGR,03/31/2018,VY-AADC01,Phase 1b,1Q 2018;
58.66,MRK,04/03/2018,Keytruda,PDUFA priority review,
6.29,THERF,04/03/2018,Ibalizumab,PDUFA,
59.01,CLVS,04/06/2018,Rucaparib ARIEL3,PDUFA priority review,
16.00,EIGR,04/11/2018,Pegylated Interferon Lambda (LIMT HDV),Phase 2,EASL 2018.;
86.98,LLY,04/12/2018,Abemaciclib - MONARCH 3,PDUFA priority review,
62.81,BMY,04/16/2018,CM-214 – Opdivo + Yervoy,PDUFA priority review,
47.80,RARE,04/17/2018,KRN23 Burosumab,PDUFA priority review,
4.07,RIGL,04/17/2018,Fostamatinib,PDUFA,
81.37,NBIX,04/27/2018,Elagolix,PDUFA priority review,
18.05,SCMP,04/28/2018,Lubiprostone,PDUFA,
58.71,ALKS,04/30/2018,ALKS 3831 - ENLIGHTEN-2,Phase 3,Fall 2018;
185.04,AMGN,04/30/2018,KYPROLIS (ENDEAVOR),PDUFA,
10.78,KPTI,04/30/2018,Selinexor - STORM,Phase 2b,April 2018;
6.18,NBRV,04/30/2018,Lefamulin - LEAP 2,Phase 3,Spring 2018;
6.34,PGNX,04/30/2018,Azedra,PDUFA priority review,
52.36,SGEN,05/01/2018,ADCETRIS  in combination with chemotherapy ECHELON-1,PDUFA priority review,
52.62,PTLA,05/04/2018,Andexanet alfa,PDUFA,
1.71,LPCN,05/08/2018,LPCN 1021,PDUFA,
35.65,AZN,05/15/2018,Tagrisso - FLAURA,PDUFA priority review,Estimate mid-2Q 2018;
185.04,AMGN,05/17/2018,Erenumab,PDUFA,
86.65,NVS,05/17/2018,Erenumab,PDUFA,
29.72,DOVA,05/21/2018,Avatrombopag,PDUFA priority review,
90.22,BMRN,05/25/2018,Pegvaliase,PDUFA priority review,
8.87,REPH,05/26/2018,Intravenous (IV) meloxicam,PDUFA,
185.04,AMGN,05/28/2018,Prolia (denosumab),PDUFA,
6.15,TXMD,05/29/2018,Yuvvexy - TX-004HR,PDUFA,
73.26,ESPR,05/31/2018,Bempedoic acid (ETC-1002-040) - Clear Harmony,Phase 3,May 2018;
2.30,KTOV,05/31/2018,KIT-302,PDUFA,
86.65,NVS,05/31/2018,Tafinlar (dabrafenib) and Mekinist (trametinib),PDUFA priority review,Estimate mid-2Q 2018;
2.49,IDRA,06/01/2018,IMO-2125 + ipilimumab - ILLUMINATE 204,Phase 2,ASCO 2018;
36.54,PFE,06/13/2018,Xeljanz,PDUFA,
23.84,VRX,06/18/2018,IDP-118,PDUFA,
11.94,AKAO,06/25/2018,Plazomicin,PDUFA priority review,
131.97,GWPH,06/27/2018,Epidiolex,PDUFA priority review,
100.34,ABBV,06/30/2018,Rova-T (TRINITY),Phase 2,2Q 2018;
25.00,ACRS,06/30/2018,ATI-50002 - PK/safety,Phase 2,1H 2018;
25.00,ACRS,06/30/2018,ATI-50002 - open label,Phase 2,1H 2018;
176.05,AGN,06/30/2018,Brimo DDS,Phase 2,1H 2018;
176.05,AGN,06/30/2018,ATOGEPANT,Phase 2b,1H 2018;
176.05,AGN,06/30/2018,UBROGEPANT,Phase 3,1H 2018;
176.05,AGN,06/30/2018,ESMYA  (ulipristal acetate),PDUFA,1H 2018;
9.69,ALRN,06/30/2018,ALRN-6924,Phase 2a,1H 2018;
112.40,ANAB,06/30/2018,ANB020,Phase 2a,2Q 2018;
56.64,ANIK,06/30/2018,Cingal,Phase 3,1H 2018;
0.16,ARGS,06/30/2018,rocapuldencel-T (AGS-003) ADAPT Trial,Phase 3,1H 2018;
0.16,ARGS,06/30/2018,AGS-004 and vorinostat,Phase 1,1H 2018;
13.71,ARRY,06/30/2018,Binimetinib - COLUMBUS,PDUFA,
3.10,AVEO,06/30/2018,TIVO-3 - tivozanib,Phase 3,2Q 2018;
0.68,AVIR,06/30/2018,BTA074 5% topical gel,Phase 2,2Q 2018;
2.09,AXON,06/30/2018,Nelotanserin,Phase 2,2Q 2018;
3.30,AXSM,06/30/2018,AXS-05 STRIDE-1,Phase 3,1H 2018;
35.65,AZN,06/30/2018,Selumetinib - ASTRA,Phase 3,1H 2018;
35.65,AZN,06/30/2018,PT010,Phase 3,1H 2018;
35.65,AZN,06/30/2018,Lynparza,Phase 3,1H 2018;
35.65,AZN,06/30/2018,Durvalumab +/- tremelimumab (MYSTIC),Phase 3,1H 2018;
35.65,AZN,06/30/2018,Durvalumab +/- tremelimumab (KESTREL),Phase 3,1H 2018;
35.65,AZN,06/30/2018,Durvalumab +/- tremelimumab (EAGLE),Phase 3,1H 2018;
35.65,AZN,06/30/2018,Durvalumab +/- tremelimumab (ARCTIC),Phase 3,1H 2018;
62.81,BMY,06/30/2018,CM-714 Opdivo + Yervoy,Phase 3,1H 2018;
62.81,BMY,06/30/2018,CM-511 – Opdivo + Yervoy,Phase 3,1H 2018;
62.81,BMY,06/30/2018,CM-331– Opdivo,Phase 3,1H 2018;
62.81,BMY,06/30/2018,CM-227 – Opdivo + Yervoy,Phase 3,1H 2018;
62.81,BMY,06/30/2018,CM-548 - Opdivo+SOC,Phase 2,1H 2018;
37.47,BOLD,06/30/2018,AT342 - VALENS,Phase 1/2,2Q 2018;
15.13,CBIO,06/30/2018,Marzeptacog alfa,Phase 2,1H 2018;
3.70,CKPT,06/30/2018,CK-101,Phase 1/2,1H 2018;
2.80,CLDX,06/30/2018,Glembatumumab vedotin,Phase 2b,2Q 2018;
6.35,CLSD,06/30/2018,Suprachoroidal CLS-TA - TYBEE,Phase 2,2Q 2018;
6.35,CLSD,06/30/2018,Suprachoroidal CLS-TA - HULK,Phase 1/2,2Q 2018;
4.69,CNAT,06/30/2018,Emricasan,Phase 2b,1H 2018;
11.95,CORI,06/30/2018,Corplex Donepezil,Phase 1,1H 2018;
3.92,CPRX,06/30/2018,Firdapse,Phase 3,1H 2018;
3.41,CTIC,06/30/2018,PIXUVRI - PIX306 Trial,Phase 3,1H 2018;
26.29,DBVT,06/30/2018,Viaskin Milk,Phase 2b,1H 2018;
27.44,DERM,06/30/2018,Glycopyrronium tosylate (DRM04),PDUFA,
30.38,EXEL,06/30/2018,IMblaze370 - cobimetinib and atezolizumab,Phase 3,1H 2018;
1.26,EYEG,06/30/2018,EGP-437,Phase 3,2Q 2018;
4.14,FBIO,06/30/2018,CEVA101,Phase 2,1H 2018;
4.14,FBIO,06/30/2018,Pepvax vaccine,Phase 2,1H 2018;
4.14,FBIO,06/30/2018,IV Tramadol,Phase 3,2Q 2018;
7.52,GEMP,06/30/2018,Gemcabene - INDIGO-1,Phase 2b,2Q 2018;
79.02,GILD,06/30/2018,Selonsertib (GS-4997),Phase 2,2Q 2018;
11.07,GLMD,06/30/2018,Aramchol - ARREST,Phase 2b,2Q 2018;
108.38,GLPG,06/30/2018,GLPG2737 - PELICAN,Phase 2,1H 2018;
108.38,GLPG,06/30/2018,Filgotinib - TORTUGA,Phase 2,2Q 2018;
108.38,GLPG,06/30/2018,Filgotinib - EQUATOR,Phase 2,2Q 2018;
23.04,GTHX,06/30/2018,G1T38 plus Faslodex,Phase 1b,2Q 2018;
21.40,HRTX,06/30/2018,HTX-011,Phase 3,1H 2018;
2.49,IDRA,06/30/2018,IMO-8400,Phase 2,2Q 2018;
1.90,IMMP,06/30/2018,Eftilagimod alpha and Keytruda,Phase 1,1H 2018;
94.07,INCY,06/30/2018,Epacadostat with Keytruda - ECHO-301,Phase 3,1H 2018;
94.07,INCY,06/30/2018,Ruxolitinib - REACH 1,Phase 3,1H 2018;
2.05,INFI,06/30/2018,IPI-549 + Nivolumab,Phase 1,2Q 2018;
53.22,IONS,06/30/2018,IONIS-HTT Rx,Phase 1/2,1H 2018;
16.37,JNCE,06/30/2018,JTX-2011,Phase 1/2,1H 2018;
145.76,JNJ,06/30/2018,Esketamine,Phase 3,2018;
5.00,KMPH,06/30/2018,KP415,Phase 3,2Q 2018;
16.05,KURA,06/30/2018,Tipifarnib,Phase 2,1H 2018;
10.74,MACK,06/30/2018,MM-141 - CARRIE,Phase 2,1H 2018;
4.60,MDWD,06/30/2018,NexoBrid,Phase 3,1H 2018;
2.36,MEIP,06/30/2018,Pracinostat in combination with Vidaza,Phase 2,1H 2018;
20.53,MGNX,06/30/2018,Margetuximab in combination with pembrolizumab,Phase 2,1H 2018;
1.27,MTNB,06/30/2018,MAT2501,Phase 2,2Q 2018;
81.37,NBIX,06/30/2018,NBI-74788,Phase 2a,1H 2018;
8.58,NLNK,06/30/2018,Indoximod + gemcitabine and nab-paclitaxel,Phase 2,1H 2018;
86.65,NVS,06/30/2018,LEE011: MONALEESA-3,Phase 3,2Q 2018;
99.25,PBYI,06/30/2018,Neratinib,Phase 3,1H 2018;
3.45,PFNX,06/30/2018,PF708 and Forteo,Phase 3,1H 2018;
41.33,PRTA,06/30/2018,NEOD001 PRONTO,Phase 2b,2Q 2018;
1.61,PSTI,06/30/2018,PLX-PAD (stem cells),Phase 2,1H 2018;
2.12,RNN,06/30/2018,Supinoxin,Phase 2a,2Q 2018;
26.95,RXDX,06/30/2018,RXDX-105,Phase 1b,1H 2018;
4.29,RXII,06/30/2018,Samcyprone - RXI-SCP-1502,Phase 2,1Q/2Q 2018;
27.40,RYTM,06/30/2018,Setmelanotide,Phase 2,1H 2018;
175.86,SAGE,06/30/2018,SAGE-217,Phase 2,2Q 2018;
8.00,SBBP,06/30/2018,COR-003 (levoketoconazole) - SONICS,Phase 3,2Q 2018;
18.30,SGMO,06/30/2018,SB-525 cDNA gene therapy,Phase 1/2,1H 2018;
18.30,SGMO,06/30/2018,SB-318,Phase 1/2,1H 2018;
18.30,SGMO,06/30/2018,SB-913 - CHAMPIONS,Phase 1/2,1H 2018;
9.19,SNDX,06/30/2018,Entinostat plus Keytruda - ENCORE 601,Phase 1/2,1H 2018;
9.19,SNDX,06/30/2018,E2112,Phase 3,1H 2018;
2.22,SNGX,06/30/2018,SGX301 (synthetic hypericin),Phase 3,1H 2018;
13.05,SVRA,06/30/2018,Aironite - INDIE,Phase 2,1H 2018;
26.98,TBPH,06/30/2018,TD-9855,Phase 2a,1H 2018;
2.90,TCON,06/30/2018,TRC253,Phase 1/2,1H 2018;
2.90,TCON,06/30/2018,TRC105 and Inlyta,Phase 2,1H 2018;
9.88,TGTX,06/30/2018,TG-1101 and TGR-1202 - UNITY-CLL study,Phase 3,2Q 2018;
3.80,TNXP,06/30/2018,TNX-102 SL,Phase 3,1H 2018;
12.12,TOCA,06/30/2018,Toca 511 & Toca FC,Phase 2/3,1H 2018;
3.61,TPIV,06/30/2018,TPIV200,Phase 2,1H 2018;
69.59,TSRO,06/30/2018,Niraparib and Keytruda (TOPACIO),Phase 1/2,1H 2018;
1.38,TTNP,06/30/2018,Ropinirole implant,Phase 1/2,1H 2018;
1.85,VICL,06/30/2018,VCL-HB01 HSV-2 Therapeutic Vaccine,Phase 2,2Q 2018;
4.74,VKTX,06/30/2018,VK2809,Phase 2,1H 2018;
12.52,VRNA,06/30/2018,RPL554,Phase 2a,1H 2018;
45.12,XLRN,06/30/2018,ACE-083,Phase 2,1H 2018;
37.60,ZGNX,06/30/2018,ZX008 - Study 1504,Phase 3,2Q 2018;
53.22,IONS,07/06/2018,Inotersen (IONIS-TTRRx),PDUFA priority review,
1.17,DRRX,07/28/2018,RBP-7000,PDUFA,
8.84,INSY,07/28/2018,Buprenorphine,PDUFA,
129.07,ALNY,07/31/2018,Givosiran,Phase 3,Mid-2018;
122.71,ALXN,07/31/2018,Eculizumab,Phase 3,Mid-2018;
1.16,BLRX,07/31/2018,BL-8040,Phase 2,Mid-2018;
25.74,BYSI,07/31/2018,Plinabulin (Trial 105),Phase 2/3,Mid-2018;
10.00,CMTX,07/31/2018,CX-072,Phase 2,Mid-2018;
0.85,EBIO,07/31/2018,Vicinium,Phase 3,Mid-2018;
6.70,FOMX,07/31/2018,FMX103,Phase 3,Mid-2018;
6.70,FOMX,07/31/2018,FMX101 - FX2017-22,Phase 3,Mid-2018;
1.30,GNMX,07/31/2018,AEVI-001 (NFC-1),Phase 2,Mid-2018;
1.30,GNMX,07/31/2018,AEVI-002 (Anti-LIGHT mAb),Phase 1/2,Mid-2018;
48.75,JUNO,07/31/2018,Lico-cel (CD-19 JCAR017) - TRANSCEND,Phase 1/2,2018;
86.98,LLY,07/31/2018,Ramucirumab,Phase 3,Mid-2018;
24.75,MRTX,07/31/2018,Sitravatinib plus nivolumab,Phase 2,Mid-2018;
9.70,OBSV,07/31/2018,OBE2109 - EDELWEISS,Phase 2b,Mid-2018;
5.17,RDHL,07/31/2018,RHB-104 MAP US,Phase 3,Mid-2018;
1.88,SCYX,07/31/2018,SCY-078 - oral,Phase 2b,Mid-2018;
4.25,SNSS,07/31/2018,SNS-062,Phase 1/2,Mid-2018;
12.52,VRNA,07/31/2018,RPL554,Phase 2b,Mid-2018;
1.26,VTGN,07/31/2018,AV-101,Phase 2,Mid-2018.;
45.12,XLRN,07/31/2018,Luspatercept - BELIEVE,Phase 3,Mid-2018;
45.12,XLRN,07/31/2018,Luspatercept - MEDALIST,Phase 3,Mid-2018;
5.56,ZFGN,07/31/2018,ZGN-1061,Phase 2,Mid-2018;
366.96,REGN,08/11/2018,EYLEA,PDUFA,
23.84,VRX,08/26/2018,IDP-121,PDUFA,
17.00,AKCA,08/30/2018,Volanesorsen - APPROACH,PDUFA,
6.26,AGLE,09/30/2018,AEB1102,Phase 1/2,3Q 2018;
4.20,AGTC,09/30/2018,rAAV-hRS1,Phase 1/2,3Q 2018 est.;
4.25,AMRN,09/30/2018,Vascepa REDUCE-IT outcomes trial,–,3Q 2018;
11.51,AQXP,09/30/2018,AQX-1125 LEADERSHIP,Phase 3,3Q 2018;
20.15,CNCE,09/30/2018,AVP-786,Phase 3,3Q 2018;
16.00,EIGR,09/30/2018,Exendin 9-39,Phase 2,3Q 2018;
4.20,FLKS,09/30/2018,FLX-787 - COMMEND US trial,Phase 2,3Q 2018;
79.02,GILD,09/30/2018,F/TAF (Descovy),Phase 3,3Q 2018;
2.78,HSGX,09/30/2018,NeoCart,Phase 3,3Q 2018;
55.04,NVO,09/30/2018,Concizumab - explorer,Phase 2,3Q 2018;
55.04,NVO,09/30/2018,Somapacitan (NN8640) - REAL 3,Phase 3,3Q 2018;
6.34,PGNX,09/30/2018,1404,Phase 3,3Q 2018;
1.23,RGLS,09/30/2018,RG-012 - HERA,Phase 2,3Q 2018;
44.16,URGN,09/30/2018,MitoGel - OLYMPUS,Phase 3,3Q 2018;
6.00,VTL,09/30/2018,VTI-308,Phase 3,3Q 2018;
86.98,LLY,10/10/2018,"Galcanezumab - EVOLVE-1, EVOLVE-2 and REGAIN",PDUFA,
17.85,PRTK,10/19/2018,Sarecycline,PDUFA,4Q 2018;
58.66,MRK,10/23/2018,Doravirine (MK-1439),PDUFA,
1.75,TRVN,11/02/2018,Oliceridine (TRV130),PDUFA,
100.34,ABBV,12/31/2018,ABT-494 - SELECT-COMPARE,Phase 3,2018;
100.34,ABBV,12/31/2018,Imbruvica - PHOENIX,Phase 3,2018;
5.10,ABUS,12/31/2018,"ARB-1467, tenofovir, and pegylated interferon",Phase 2,2H 2018;
13.48,ACIU,12/31/2018,ACI-24 (anti-Abeta vaccine),Phase 1/2,2018;
25.00,ACRS,12/31/2018,ATI-50002 - dose ranging,Phase 2,YE 2018;
3.95,ADVM,12/31/2018,ADVM-043,Phase 1/2,2H 2018;
176.05,AGN,12/31/2018,Brazikumab,Phase 2b,2018;
176.05,AGN,12/31/2018,ABICIPAR,Phase 3,2H 2018;
39.43,AIMT,12/31/2018,AR101 RAMSES,Phase 3,2H 2018;
15.68,AKBA,12/31/2018,Vadadustat - TRILO2GY,Phase 3,YE 2018;
15.68,AKBA,12/31/2018,Vadadustat - FO2RWARD,Phase 2,YE 2018;
17.00,AKCA,12/31/2018,AKCEA-ANGPTL3-LRx,Phase 2,2018;
17.00,AKCA,12/31/2018,AKCEA-APO(a)-LRx,Phase 2b,2018;
6.85,ALDX,12/31/2018,ADX-102,Phase 2b,2H 2018;
6.85,ALDX,12/31/2018,ADX-102,Phase 3,2H 2018;
6.85,ALDX,12/31/2018,ADX-102,Phase 2,2H 2018;
129.07,ALNY,12/31/2018,ALN-CC5 (cemdisiran),Phase 1/2,2018;
122.71,ALXN,12/31/2018,ALXN1210,Phase 1/2,2Q 2018;
70.52,ARGX,12/31/2018,ARGX-113,Phase 2,2H 2018;
70.52,ARGX,12/31/2018,ARGX-113,Phase 2,2H 2018;
2.45,AST,12/31/2018,AST-VAC2,Phase 1/2,2H 2018;
15.87,ATNX,12/31/2018,Oraxol,Phase 3,2018;
0.26,ATOS,12/31/2018,Endoxifen,Phase 2,2018;
0.26,ATOS,12/31/2018,Endoxifen,Phase 2,2018;
5.35,AUPH,12/31/2018,Voclosporin,Phase 2,2H 2018;
5.35,AUPH,12/31/2018,Voclosporin,Phase 2,2H 2018;
35.65,AZN,12/31/2018,Farxiga - DECLARE,Phase 3,2H 2018;
35.65,AZN,12/31/2018,Benralizumab - TERRANOVA,Phase 3,2H 2018;
35.65,AZN,12/31/2018,Durvalumab +/- tremelimumab (NEPTUNE),Phase 3,2H 2018;
35.65,AZN,12/31/2018,Anifrolumab,Phase 3,2H 2018;
335.95,BIIB,12/31/2018,Raxatrigine - BIIB074 (Nav1.7 inhibitor),Phase 2,2018;
335.95,BIIB,12/31/2018,BAN2401 (Aβ mAb),Phase 2,2H 2018;
2.03,BLPH,12/31/2018,INOpulse delivery device,Phase 2b,YE 2018;
2.03,BLPH,12/31/2018,INOpulse delivery device,Phase 2,YE 2018;
2.03,BLPH,12/31/2018,INOpulse delivery device,Phase 3,2018;
1.16,BLRX,12/31/2018,BL-8040,Phase 2b,2018;
62.81,BMY,12/31/2018,CM-602 – Opdivo + Elo + SOC,Phase 3,2H 2018;
62.81,BMY,12/31/2018,CM-459 – Opdivo,Phase 3,2H 2018;
62.81,BMY,12/31/2018,CM-451 – Opdivo + Yervoy,Phase 3,2H 2018;
25.74,BYSI,12/31/2018,Plinabulin,Phase 3,2018;
1.88,CANF,12/31/2018,Namodenoson (CF102),Phase 2,2H 2018;
4.07,CASC,12/31/2018,Tucatinib - MOUNTAINEER,Phase 2,2018;
106.00,CELG,12/31/2018,OTEZLA - SPSO-001,Phase 3,2018;
106.00,CELG,12/31/2018,REVLIMID - ROBUST,Phase 3,2018;
106.00,CELG,12/31/2018,MM-007 OPTIMISMM,Phase 3,2018;
106.00,CELG,12/31/2018,Oral Azacitidine - CC-486-AML-001,Phase 3,2018;
106.00,CELG,12/31/2018,ABRAXANE - PANC-003 apact,Phase 3,YE 2018;
106.00,CELG,12/31/2018,ABRAXANE - IMpower 130 ( I/O Combo),Phase 3,2018;
106.00,CELG,12/31/2018,ABRAXANE - IMpower 131 ( I/O Combo),Phase 3,2018;
106.00,CELG,12/31/2018,ABRAXANE - IMPassion ( I/O Combo),Phase 3,2018;
1.19,CFRX,12/31/2018,CF-301,Phase 2,4Q 2018;
4.92,CMRX,12/31/2018,IV Brincidofovir,Phase 2,2H 2018;
10.00,CMTX,12/31/2018,CX-2009 - PROCLAIM,Phase 2,2H 2018;
