date_text,stage,ticker,price,end_date,drug
1Q 2018;,Phase 2,CYTK,8.55,03/31/2018,CK-2127107
1Q 2018;,Phase 3,DERM,26.79,03/31/2018,Olumacostat glasaretil (DRM01)
1Q 2018 - likely February;,Phase 3,EARS,0.27,03/31/2018,Keyzilen (AM-101) - TACTT3
1Q 2018;,Phase 3,EDGE,13.28,03/31/2018,EG-1962
1Q 2018;,Phase 2,ESPR,69.46,03/31/2018,Bempedoic Acid - 1002-039
"March, May and September 2018;",Phase 3,ESPR,69.46,03/31/2018,"Bempedoic acid - CLEAR LDL-C Lowering Program 1002-046, 1002-047 and 1002-048"
1Q 2018;,Phase 2,FLKS,4.17,03/31/2018,FLX-787 (Aust)
1Q 2018;,Phase 2,GERN,2.25,03/31/2018,Imetelstat - IMbarkStudy
1Q 2018;,Phase 3,GILD,79.32,03/31/2018,Bictegravir/F/TAF
1Q 2018;,Phase 3,GILD,79.32,03/31/2018,GS-5745
1Q 2018;,Phase 2,GILD,79.32,03/31/2018,GS-9674
1Q 2018;,Phase 2,GILD,79.32,03/31/2018,Entospletinib
1Q 2018;,Phase 2,GLMD,9.70,03/31/2018,Aramchol - ARRIVE
1Q 2018;,Phase 2,GTHX,19.38,03/31/2018,Trilaciclib
1Q 2018;,Phase 3,GWPH,126.06,03/31/2018,Epidiolex
1Q 2018;,Phase 2,GWPH,126.06,03/31/2018,GWP42006 (CBDV)
1Q 2018;,Phase 3,IMGN,8.91,03/31/2018,Mirvetuximab soravtansine - FORWARD I
1Q 2018;,Phase 2,IMRN,7.54,03/31/2018,IMM-124E
Early 2018;,Phase 1,MBIO,10.14,03/31/2018,MB-102
Early 2018;,Phase 1,MBIO,10.14,03/31/2018,MB-101
1Q 2018;,Phase 1,MBVX,0.90,03/31/2018,MVT-1075
1Q 2018;,Phase 1/2,MBVX,0.90,03/31/2018,MVT-5873
Early 2018;,Phase 1b,MCRB,8.45,03/31/2018,SER-262
1Q 2018;,Phase 2b,MESO,5.09,03/31/2018,MPC-150-IM - Class IV
1Q 2018;,Phase 3,MESO,5.09,03/31/2018,MSC-100-IV
1Q 2018 - see note below;,Phase 2,MRTX,27.10,03/31/2018,Mocetinostat and durvalumab
1Q 2018;,Phase 2,MYOK,47.50,03/31/2018,MYK-461 - PIONEER-HCM
1Q 2018;,Phase 3,NBIX,79.28,03/31/2018,Elagolix
1Q 2018;,Phase 3,NVO,50.07,03/31/2018,Semaglutide - oral - PIONEER
1Q 2018;,Phase 2,OBSV,12.19,03/31/2018,OBE001 - IMPLANT2
1Q 2018;,Phase 2,PLX,0.63,03/31/2018,OPRX-106
Early 2018;,Phase 2b,PTGX,17.58,03/31/2018,PTG-100
1Q 2018;,Phase 1,PTI,2.74,03/31/2018,PTI-428 + Kalydeco
1Q 2018;,Phase 2,RETA,26.22,03/31/2018,Bardoxolone methyl - LARIAT
1Q 2018;,Phase 2,RETA,26.22,03/31/2018,Omaveloxolone - MOTOR
1Q 2018;,Phase 1/2,RGLS,1.11,03/31/2018,RG-012
1Q 2018;,Phase 2b,SLS,5.26,03/31/2018,NeuVax in combination with Herceptin
Late-1Q 2018;,Phase 2,SPHS,2.05,03/31/2018,Topsalysin (PRX302)
1Q 2018;,Phase 3,TTPH,5.15,03/31/2018,Eravacycline (TP-434) - IGNITE3
1Q 2018;,Phase 3,VBLT,6.45,03/31/2018,VB-111
1Q 2018;,Phase 2,VNDA,15.63,03/31/2018,HETLIOZ (tasimelteon)
1Q 2018;,Phase 2,VRTX,152.96,03/31/2018,VX-150
Early 2018;,Phase 1/2,VTVT,6.49,03/31/2018,TTP399
Early 2018;,Phase 3,VTVT,6.49,03/31/2018,Azeliragon - STEADFAST
1Q 2018;,Phase 1b,VYGR,18.18,03/31/2018,VY-AADC01
,PDUFA priority review,MRK,54.87,04/03/2018,Keytruda
,PDUFA,THERF,5.55,04/03/2018,Ibalizumab
,PDUFA priority review,CLVS,50.92,04/06/2018,Rucaparib ARIEL3
"April 7-10, 2018;",Phase 3,NVS,83.25,04/09/2018,AIN457 (Cosentyx)
EASL 2018.;,Phase 2,EIGR,8.15,04/11/2018,Pegylated Interferon Lambda (LIMT HDV)
,PDUFA priority review,LLY,76.23,04/12/2018,Abemaciclib - MONARCH 3
1H April 2018;,Phase 2,SELB,8.49,04/13/2018,SEL-212
,PDUFA priority review,BMY,62.70,04/16/2018,CM-214 – Opdivo + Yervoy
,PDUFA priority review,RARE,44.47,04/17/2018,KRN23 Burosumab
,PDUFA,RIGL,3.79,04/17/2018,Fostamatinib
,Phase 2,MNOV,9.45,04/27/2018,MN-166
,PDUFA priority review,NBIX,79.28,04/27/2018,Elagolix
,PDUFA,SCMP,18.00,04/28/2018,Lubiprostone
Fall 2018;,Phase 3,ALKS,53.89,04/30/2018,ALKS 3831 - ENLIGHTEN-2
,PDUFA,AMGN,173.46,04/30/2018,KYPROLIS (ENDEAVOR)
"ARVO Conference - Apr 29 - May 03, 2018;",Phase 1/2,BTX,2.58,04/30/2018,OpRegen
April 2018;,Phase 2b,KPTI,13.06,04/30/2018,Selinexor - STORM
Spring 2018;,Phase 3,NBRV,5.37,04/30/2018,Lefamulin - LEAP 2
,PDUFA priority review,NVS,83.25,04/30/2018,Kymriah (CTL019 )- JULIET
,PDUFA priority review,PGNX,5.42,04/30/2018,Azedra
,PDUFA priority review,SGEN,50.14,05/01/2018,ADCETRIS  in combination with chemotherapy ECHELON-1
,PDUFA,PTLA,44.41,05/04/2018,Andexanet alfa
,PDUFA,LPCN,1.23,05/08/2018,LPCN 1021
,PDUFA,VRX,17.79,05/13/2018,Plenvu (NER1006)
Estimate mid-2Q 2018;,PDUFA priority review,AZN,33.61,05/15/2018,Tagrisso - FLAURA
,PDUFA,AMGN,173.46,05/17/2018,Erenumab
,PDUFA,NVS,83.25,05/17/2018,Erenumab
,PDUFA priority review,DOVA,30.58,05/21/2018,Avatrombopag
,PDUFA priority review,JNJ,129.53,05/21/2018,DARZALEX (Daratumumab) - ALCYONE
,PDUFA priority review,BMRN,80.33,05/25/2018,Pegvaliase
,PDUFA,REPH,7.84,05/26/2018,Intravenous (IV) meloxicam
,PDUFA,AMGN,173.46,05/28/2018,Prolia (denosumab)
,PDUFA,TXMD,5.41,05/29/2018,Yuvvexy - TX-004HR
May 2018;,Phase 3,ESPR,69.46,05/31/2018,Bempedoic acid (ETC-1002-040) - Clear Harmony
,PDUFA,KTOV,2.38,05/31/2018,KIT-302
Estimate mid-2Q 2018;,PDUFA priority review,NVS,83.25,05/31/2018,Tafinlar (dabrafenib) and Mekinist (trametinib)
ASCO 2018;,Phase 2,IDRA,1.92,06/01/2018,IMO-2125 + ipilimumab - ILLUMINATE 204
,PDUFA,VRX,17.79,06/18/2018,IDP-118
,PDUFA,SCPH,12.00,06/23/2018,Furoscix
,PDUFA priority review,AKAO,10.54,06/25/2018,Plazomicin
,PDUFA priority review,GWPH,126.06,06/27/2018,Epidiolex
2Q 2018;,Phase 2,ABBV,111.30,06/30/2018,Rova-T (TRINITY)
1H 2018;,Phase 2,ACRS,19.01,06/30/2018,ATI-50002 - PK/safety
1H 2018;,Phase 2,ACRS,19.01,06/30/2018,ATI-50002 - open label
2Q 2018;,Phase 3,ADMS,33.87,06/30/2018,GOCOVRI (amantadine)
1H 2018;,Phase 3,AGN,162.77,06/30/2018,UBROGEPANT - ACHIEVE II (UBR-MD-02)
1H 2018;,Phase 3,AGN,162.77,06/30/2018,Cariprazine
1H 2018;,Phase 2b,AGN,162.77,06/30/2018,ATOGEPANT
1H 2018;,PDUFA,AGN,162.77,06/30/2018,ESMYA  (ulipristal acetate)
1H 2018;,Phase 2a,ALRN,7.88,06/30/2018,ALRN-6924
2Q 2018;,Phase 2a,ANAB,104.33,06/30/2018,ANB020
1H 2018;,Phase 3,ANIK,57.59,06/30/2018,Cingal
1H 2018;,Phase 3,APLS,14.01,06/30/2018,APL-2 IV - FILLY
1H 2018;,Phase 3,ARGS,1.58,06/30/2018,rocapuldencel-T (AGS-003) ADAPT Trial
1H 2018;,Phase 1,ARGS,1.58,06/30/2018,AGS-004 and vorinostat
,PDUFA,ARRY,17.03,06/30/2018,Binimetinib - COLUMBUS
1H 2018;,Phase 2,ASNS,12.02,06/30/2018,ASN100
2Q 2018;,Phase 3,AVEO,3.05,06/30/2018,TIVO-3 - tivozanib
2Q 2018;,Phase 2,AVIR,0.76,06/30/2018,BTA074 5% topical gel
1H 2018;,Phase 3,AXSM,2.50,06/30/2018,AXS-05 STRIDE-1
1H 2018;,Phase 3,AZN,33.61,06/30/2018,Selumetinib - ASTRA
1H 2018;,Phase 3,AZN,33.61,06/30/2018,Lynparza
1H 2018;,Phase 3,AZN,33.61,06/30/2018,Durvalumab +/- tremelimumab (MYSTIC)
1H 2018;,Phase 3,AZN,33.61,06/30/2018,Durvalumab +/- tremelimumab (KESTREL)
1H 2018;,Phase 3,AZN,33.61,06/30/2018,Durvalumab +/- tremelimumab (EAGLE)
1H 2018;,Phase 3,AZN,33.61,06/30/2018,Durvalumab +/- tremelimumab (ARCTIC)
1H 2018;,Phase 3,BMY,62.70,06/30/2018,CM-511 – Opdivo + Yervoy
1H 2018;,Phase 3,BMY,62.70,06/30/2018,CM-331– Opdivo
1H 2018;,Phase 3,BMY,62.70,06/30/2018,CM-227 – Opdivo + Yervoy
1H 2018;,Phase 2,BMY,62.70,06/30/2018,CM-548 - Opdivo+SOC
2Q 2018;,Phase 1/2,BOLD,31.33,06/30/2018,AT342 - VALENS
1H 2018;,Phase 2,CBIO,32.15,06/30/2018,Marzeptacog alfa
1H 2018;,Phase 3,CELG,92.51,06/30/2018,REVLIMID - AUGMENT NHL-007
1H 2018;,Phase 1/2,CKPT,4.42,06/30/2018,CK-101
2Q 2018;,Phase 2b,CLDX,2.38,06/30/2018,Glembatumumab vedotin
2Q 2018;,Phase 2,CLSD,5.77,06/30/2018,Suprachoroidal CLS-TA - TYBEE
2Q 2018;,Phase 1/2,CLSD,5.77,06/30/2018,Suprachoroidal CLS-TA - HULK
1H 2018;,Phase 2b,CNAT,5.06,06/30/2018,Emricasan
1H 2018;,Phase 1,CORI,12.18,06/30/2018,Corplex Donepezil
1H 2018;,Phase 3,CPRX,3.28,06/30/2018,Firdapse
1H 2018;,Phase 3,CTIC,3.21,06/30/2018,PIXUVRI - PIX306 Trial
1H 2018;,Phase 2b,DBVT,21.25,06/30/2018,Viaskin Milk
,PDUFA,DERM,26.79,06/30/2018,Glycopyrronium tosylate (DRM04)
1H 2018;,Phase 1,DNLI,21.49,06/30/2018,DNL201
1H 2018;,Phase 3,EXEL,28.21,06/30/2018,IMblaze370 - cobimetinib and atezolizumab
2Q 2018;,Phase 3,EYEG,0.67,06/30/2018,EGP-437
1H 2018;,Phase 2,FBIO,3.63,06/30/2018,CEVA101
1H 2018;,Phase 2,FBIO,3.63,06/30/2018,Pepvax vaccine
2Q 2018;,Phase 3,FBIO,3.63,06/30/2018,IV Tramadol
2Q 2018;,Phase 2b,GEMP,6.38,06/30/2018,Gemcabene - INDIGO-1
2Q 2018;,Phase 2,GILD,79.32,06/30/2018,Selonsertib (GS-4997)
2Q 2018;,Phase 2,GILD,79.32,06/30/2018,GS-9674
2Q 2018;,Phase 2b,GLMD,9.70,06/30/2018,Aramchol - ARREST
1H 2018;,Phase 2,GLPG,108.83,06/30/2018,GLPG2737 - PELICAN
2Q 2018;,Phase 2,GLPG,108.83,06/30/2018,Filgotinib - TORTUGA
2Q 2018;,Phase 2,GLPG,108.83,06/30/2018,Filgotinib - EQUATOR
2Q 2018;,Phase 1b,GTHX,19.38,06/30/2018,G1T38 plus Faslodex
1H 2018;,Phase 3,HRTX,20.50,06/30/2018,HTX-011
2Q 2018;,Phase 2,IDRA,1.92,06/30/2018,IMO-8400
1H 2018;,Phase 1,IMMP,1.74,06/30/2018,Eftilagimod alpha and Keytruda
1H 2018;,Phase 3,INCY,84.50,06/30/2018,Epacadostat with Keytruda - ECHO-301
1H 2018;,Phase 3,INCY,84.50,06/30/2018,Ruxolitinib - REACH 1
2Q 2018;,Phase 1,INFI,1.97,06/30/2018,IPI-549 + Nivolumab
1H 2018;,Phase 1/2,JNCE,23.77,06/30/2018,JTX-2011
2018;,Phase 3,JNJ,129.53,06/30/2018,Esketamine
2Q 2018;,Phase 3,KMPH,5.75,06/30/2018,KP415
1H 2018;,Phase 2,KURA,19.00,06/30/2018,Tipifarnib
1H 2018;,Phase 2,MACK,10.00,06/30/2018,MM-141 - CARRIE
1H 2018;,Phase 3,MDWD,4.20,06/30/2018,NexoBrid
2Q 2018;,Phase 1,MEIP,2.14,06/30/2018,ME-401
2Q 2018;,Phase 1,MEIP,2.14,06/30/2018,ME-344
2Q 2018;,Phase 2,MEIP,2.14,06/30/2018,Pracinostat in combination with Vidaza
1H 2018;,Phase 2,MGNX,22.66,06/30/2018,Margetuximab in combination with pembrolizumab
2Q 2018;,Phase 2,MNLO,35.65,06/30/2018,Serlopitant
"1H 2018 (est, only);",Phase 3,MRK,54.87,06/30/2018,(MK-3475-189/KEYNOTE-189)
2Q 2018;,Phase 2,MTNB,0.89,06/30/2018,MAT2501
1H 2018;,Phase 2a,NBIX,79.28,06/30/2018,NBI-74788
1H 2018;,Phase 2,NLNK,6.81,06/30/2018,Indoximod + gemcitabine and nab-paclitaxel
1H 2018;,Phase 2,NVS,83.25,06/30/2018,LJN452
2Q 2018;,Phase 3,NVS,83.25,06/30/2018,LEE011: MONALEESA-3
1H 2018;,Phase 3,PBYI,60.85,06/30/2018,Neratinib
1H 2018;,Phase 3,PFNX,3.11,06/30/2018,PF708 and Forteo
2Q 2018;,Phase 2b,PRTA,28.19,06/30/2018,NEOD001 PRONTO
2Q 2018;,Phase 2,PSTI,1.33,06/30/2018,PLX-PAD (stem cells)
2Q 2018;,Phase 2a,RNN,1.90,06/30/2018,Supinoxin
1H 2018;,Phase 1b,RXDX,26.95,06/30/2018,RXDX-105
1Q/2Q 2018;,Phase 2,RXII,3.12,06/30/2018,Samcyprone - RXI-SCP-1502
1H 2018;,Phase 2,RYTM,25.76,06/30/2018,Setmelanotide
2Q 2018;,Phase 3,SBBP,6.60,06/30/2018,COR-003 (levoketoconazole) - SONICS
1H 2018;,Phase 1/2,SGMO,19.60,06/30/2018,SB-525 cDNA gene therapy
1H 2018;,Phase 1/2,SGMO,19.60,06/30/2018,SB-318
1H 2018;,Phase 1/2,SGMO,19.60,06/30/2018,SB-913 - CHAMPIONS
1H 2018;,Phase 1/2,SNDX,8.98,06/30/2018,Entinostat plus Keytruda - ENCORE 601
1H 2018;,Phase 3,SNDX,8.98,06/30/2018,E2112
1H 2018;,Phase 1b,SPRO,11.88,06/30/2018,SPR741
1H 2018;,Phase 2,SVRA,11.70,06/30/2018,Aironite - INDIE
1H 2018;,Phase 2a,TBPH,27.95,06/30/2018,TD-9855
1H 2018;,Phase 1/2,TCON,2.90,06/30/2018,TRC253
1H 2018;,Phase 2,TCON,2.90,06/30/2018,TRC105 and Inlyta
2Q 2018;,Phase 3,TGTX,11.75,06/30/2018,TG-1101 and TGR-1202 - UNITY-CLL study
1H 2018;,Phase 2/3,TOCA,11.37,06/30/2018,Toca 511 & Toca FC
1H 2018;,Phase 2,TPIV,3.49,06/30/2018,TPIV200
1H 2018;,Phase 1/2,TSRO,58.89,06/30/2018,Niraparib and Keytruda (TOPACIO)
1H 2018;,Phase 1/2,TTNP,1.20,06/30/2018,Ropinirole implant
2Q 2018;,Phase 2,VICL,1.45,06/30/2018,VCL-HB01 HSV-2 Therapeutic Vaccine
1H 2018;,Phase 2,VKTX,6.35,06/30/2018,VK2809
1H 2018;,Phase 2a,VRNA,11.85,06/30/2018,RPL554
1H 2018;,Phase 2,VRTX,152.96,06/30/2018,VX-445 in combination with tezacaftor and ivacaftor
1H 2018;,Phase 2,XLRN,39.23,06/30/2018,ACE-083
2Q 2018;,Phase 3,ZEAL,15.28,06/30/2018,Dasiglucagon
2Q 2018;,Phase 3,ZGNX,37.75,06/30/2018,ZX008 - Study 1504
,PDUFA priority review,IONS,46.75,07/06/2018,Inotersen (IONIS-TTRRx)
,PDUFA,DRRX,1.09,07/28/2018,RBP-7000
,PDUFA,INSY,7.65,07/28/2018,Buprenorphine
Mid-2018;,Phase 3,ALNY,115.92,07/31/2018,Givosiran
Mid-2018;,Phase 3,ALXN,108.60,07/31/2018,Eculizumab
Mid-2018;,Phase 3,ATNX,14.12,07/31/2018,Oraxol
Mid-2018;,Phase 2,BLRX,0.97,07/31/2018,BL-8040
Mid-2018;,Phase 2,CMTX,10.00,07/31/2018,CX-072
Mid-2018;,Phase 1/2,CTMX,27.00,07/31/2018,CX 072
Mid-2018;,Phase 3,EBIO,0.81,07/31/2018,Vicinium
Mid-2018;,Phase 3,FOMX,6.20,07/31/2018,FMX103
Mid-2018;,Phase 3,FOMX,6.20,07/31/2018,FMX101 - FX2017-22
Mid-2018;,Phase 2,GNMX,2.27,07/31/2018,AEVI-001 (NFC-1)
Mid-2018;,Phase 1/2,GNMX,2.27,07/31/2018,AEVI-002 (Anti-LIGHT mAb)
Mid-2018;,Phase 2b,GSK,36.49,07/31/2018,Dezamizumab
Mid-2018;,Phase 3,GSK,36.49,07/31/2018,Dolutegravir + lamivudine (GEMINI 2)
Mid-2018;,Phase 3,GSK,36.49,07/31/2018,Dolutegravir + lamivudine (GEMINI 1)
2018;,Phase 1/2,JUNO,85.69,07/31/2018,Lico-cel (CD-19 JCAR017) - TRANSCEND
Mid-2018;,Phase 2,MRTX,27.10,07/31/2018,Sitravatinib plus nivolumab
Mid-2018;,Phase 2b,OBSV,12.19,07/31/2018,OBE2109 - EDELWEISS
Mid-2018;,Phase 1,PULM,1.51,07/31/2018,Pulmazole (PUR1900)
Mid-2018;,Phase 3,RDHL,5.70,07/31/2018,RHB-104 MAP US
Mid-2018;,Phase 2b,SCYX,1.69,07/31/2018,SCY-078 - oral
Mid-2018;,Phase 1/2,SNSS,5.55,07/31/2018,SNS-062
Mid-2018;,Phase 1,SPRO,11.88,07/31/2018,SPR994
Mid-2018;,Phase 1/2,SRPT,55.14,07/31/2018,SRP-5051
Mid-2018;,Phase 2b,VRNA,11.85,07/31/2018,RPL554
Mid-2018;,Phase 3,XLRN,39.23,07/31/2018,Luspatercept - BELIEVE
Mid-2018;,Phase 3,XLRN,39.23,07/31/2018,Luspatercept - MEDALIST
Mid-2018;,Phase 2,ZFGN,7.92,07/31/2018,ZGN-1061
,PDUFA priority review,SIGA,5.20,08/08/2018,TPOXX
,PDUFA priority review,ALNY,115.92,08/11/2018,Patisiran APOLLO
,PDUFA,REGN,336.38,08/11/2018,EYLEA
,PDUFA,KALA,12.47,08/24/2018,INVELTYS
,PDUFA,VRX,17.79,08/26/2018,IDP-121
,PDUFA,AKCA,21.49,08/30/2018,Volanesorsen - APPROACH
3Q 2018;,Phase 1/2,AGLE,5.45,09/30/2018,AEB1102
Late-3Q/Early-4Q est;,Phase 1/2,AGTC,3.95,09/30/2018,rAAV-hRS1
3Q 2018;,Phase 3,AMRN,3.48,09/30/2018,Vascepa REDUCE-IT outcomes trial
3Q 2018;,Phase 3,AQXP,15.31,09/30/2018,AQX-1125 LEADERSHIP
3Q 2018;,Phase 2,AXON,1.91,09/30/2018,Nelotanserin
3Q 2018;,Phase 3,CNCE,20.09,09/30/2018,AVP-786
3Q 2018;,Phase 2,EIGR,8.15,09/30/2018,Exendin 9-39
3Q 2018;,Phase 2,FLKS,4.17,09/30/2018,FLX-787 - COMMEND US trial
3Q 2018;,Phase 2,GILD,79.32,09/30/2018,GS-5734
3Q 2018;,Phase 3,HSGX,2.60,09/30/2018,NeoCart
3Q 2018;,Phase 2,NVO,50.07,09/30/2018,Concizumab - explorer
3Q 2018;,Phase 3,NVO,50.07,09/30/2018,Somapacitan (NN8640) - REAL 3
3Q 2018;,Phase 2,NVS,83.25,09/30/2018,INC280
3Q 2018;,Phase 3,PGNX,5.42,09/30/2018,1404
3Q 2018;,Phase 2,RGLS,1.11,09/30/2018,RG-012 - HERA
3Q 2018;,Phase 2,SMMT,10.60,09/30/2018,Ezutromid
3Q 2018;,Phase 3,TNXP,3.36,09/30/2018,TNX-102 SL
3Q 2018;,Phase 3,URGN,47.60,09/30/2018,MitoGel - OLYMPUS
3Q 2018;,Phase 3,VTL,5.10,09/30/2018,VTI-308
,PDUFA,LLY,76.23,10/10/2018,"Galcanezumab - EVOLVE-1, EVOLVE-2 and REGAIN"
4Q 2018;,PDUFA,PRTK,12.65,10/19/2018,Sarecycline
,PDUFA,MRK,54.87,10/23/2018,Doravirine (MK-1439)
,PDUFA,TRVN,1.63,11/02/2018,Oliceridine (TRV130)
"Nov 16, 2018 est only;",PDUFA,NVS,83.25,11/16/2018,Adalimumab
,PDUFA,TBPH,27.95,11/30/2018,Revefenacin
2018;,Phase 3,ABBV,111.30,12/31/2018,ABT-494 - SELECT-COMPARE
2018;,Phase 3,ABBV,111.30,12/31/2018,Imbruvica - PHOENIX
2H 2018;,Phase 2b,ABLX,53.18,12/31/2018,ALX-0171
2H 2018;,Phase 2,ABUS,5.30,12/31/2018,"ARB-1467, tenofovir, and pegylated interferon"
2018;,Phase 1/2,ACIU,11.68,12/31/2018,ACI-24 (anti-Abeta vaccine)
YE 2018;,Phase 2,ACRS,19.01,12/31/2018,ATI-50002 - dose ranging
2H 2018;,Phase 1/2,ADVM,7.05,12/31/2018,ADVM-043
2H 2018;,Phase 3,AGN,162.77,12/31/2018,ABICIPAR
2H 2018;,Phase 3,AIMT,38.68,12/31/2018,AR101 RAMSES
YE 2018;,Phase 3,AKBA,14.11,12/31/2018,Vadadustat - TRILO2GY
YE 2018;,Phase 2,AKBA,14.11,12/31/2018,Vadadustat - FO2RWARD
2018;,Phase 2,AKCA,21.49,12/31/2018,AKCEA-ANGPTL3-LRx
2H 2018;,Phase 2b,AKCA,21.49,12/31/2018,AKCEA-APO(a)-LRx
2H 2018;,Phase 2b,ALDX,6.80,12/31/2018,ADX-102
2H 2018;,Phase 2b,ALDX,6.80,12/31/2018,ADX-102
2H 2018;,Phase 3,ALDX,6.80,12/31/2018,ADX-102
2H 2018;,Phase 2,ALDX,6.80,12/31/2018,ADX-102
2H 2018;,Phase 2,ALNA,6.91,12/31/2018,ALLN-177
2018;,Phase 1/2,ALNY,115.92,12/31/2018,ALN-CC5 (cemdisiran)
4Q 2018;,Phase 3,ALXN,108.60,12/31/2018,ALXN1210
2Q 2018;,Phase 3,ALXN,108.60,12/31/2018,ALXN1210
2H 2018;,Phase 3,AMGN,173.46,12/31/2018,ABP 710
2H 2018;,Phase 2,APLS,14.01,12/31/2018,APL-2 subcutaneous
2H 2018;,Phase 2,ARGX,75.10,12/31/2018,ARGX-113
2H 2018;,Phase 2,ARGX,75.10,12/31/2018,ARGX-113
YE 2018;,Phase 2b,ARMO,38.30,12/31/2018,AM0010 (PEG-IL-10) and Pembrolizumab - Cypress 1
YE 2018;,Phase 2b,ARMO,38.30,12/31/2018,AM0010 (PEG-IL-10) and Nivolumab - Cypress 2
2H 2018;,Phase 1/2,AST,1.95,12/31/2018,AST-VAC2
2H 2018;,Phase 1,ATNM,0.54,12/31/2018,Actimab-M
2H 2018;,Phase 2,ATNM,0.54,12/31/2018,Actimab-A
2018;,Phase 2,ATOS,0.59,12/31/2018,Endoxifen
2018;,Phase 2,ATOS,0.59,12/31/2018,Endoxifen
2H 2018;,Phase 2,AUPH,5.10,12/31/2018,Voclosporin
2H 2018;,Phase 2,AUPH,5.10,12/31/2018,Voclosporin
2H 2018;,Phase 3,AZN,33.61,12/31/2018,Lynparza
2H 2018;,Phase 3,AZN,33.61,12/31/2018,Farxiga - DECLARE
2H 2018;,Phase 3,AZN,33.61,12/31/2018,FASENRA (benralizumab) - TERRANOVA
2H 2018;,Phase 3,AZN,33.61,12/31/2018,Durvalumab +/- tremelimumab (NEPTUNE)
2H 2018;,Phase 3,AZN,33.61,12/31/2018,Anifrolumab
2018;,Phase 2,BIIB,316.78,12/31/2018,Raxatrigine - BIIB074 (Nav1.7 inhibitor)
2H 2018;,Phase 2,BIIB,316.78,12/31/2018,BAN2401 (Aβ mAb)
2018;,Phase 1/2,BIVV,103.05,12/31/2018,BIVV001 (EXTEN-A)
YE 2018;,Phase 2b,BLPH,2.03,12/31/2018,INOpulse delivery device
YE 2018;,Phase 2,BLPH,2.03,12/31/2018,INOpulse delivery device
2018;,Phase 3,BLPH,2.03,12/31/2018,INOpulse delivery device
