price,end_date,stage,ticker,date_text,drug
11.21,03/31/2018,Phase 1,MBIO,Early 2018;,MB-101
2.13,03/31/2018,Phase 1,MBVX,1Q 2018;,MVT-1075
9.81,03/31/2018,Phase 1b,MCRB,Early 2018;,SER-262
6.19,03/31/2018,Phase 2b,MESO,1Q 2018;,MPC-150-IM - Class IV
28.70,03/31/2018,Phase 2,MRTX,1Q 2018 - see note below;,Mocetinostat and durvalumab
56.75,03/31/2018,Phase 2,MYOK,1Q 2018;,MYK-461 - PIONEER-HCM
0.67,03/31/2018,Phase 2,PLX,March 2018;,OPRX-106
17.46,03/31/2018,Phase 2b,PTGX,Early 2018;,PTG-100
2.99,03/31/2018,Phase 1,PTI,1Q 2018;,PTI-428 + Kalydeco
24.20,03/31/2018,Phase 2,RETA,1Q 2018;,Bardoxolone methyl - LARIAT
24.20,03/31/2018,Phase 2,RETA,1Q 2018;,Omaveloxolone - MOTOR
1.16,03/31/2018,Phase 1/2,RGLS,1Q 2018;,RG-012
5.28,03/31/2018,Phase 2b,SLS,1Q 2018;,NeuVax in combination with Herceptin
2.15,03/31/2018,Phase 2,SPHS,Late-1Q 2018;,Topsalysin (PRX302)
6.30,03/31/2018,Phase 3,VBLT,1Q 2018;,VB-111
18.70,03/31/2018,Phase 2,VNDA,1Q 2018;,HETLIOZ (tasimelteon)
15.00,03/31/2018,Phase 2a,VRNA,Late 1Q 2018;,RPL554
6.85,03/31/2018,Phase 1/2,VTVT,Early 2018;,TTP399
6.85,03/31/2018,Phase 3,VTVT,Early 2018;,Azeliragon - STEADFAST
28.75,03/31/2018,Phase 1b,VYGR,1Q 2018;,VY-AADC01
54.87,04/03/2018,PDUFA priority review,MRK,,Keytruda
5.57,04/03/2018,PDUFA,THERF,,Ibalizumab
56.84,04/06/2018,PDUFA priority review,CLVS,,Rucaparib ARIEL3
31.25,04/06/2018,PDUFA,PCRX,,EXPAREL
85.33,04/09/2018,Phase 3,NVS,"April 7-10, 2018;",AIN457 (Cosentyx)
8.45,04/11/2018,Phase 2,EIGR,EASL 2018.;,Pegylated Interferon Lambda (LIMT HDV)
78.75,04/12/2018,PDUFA priority review,LLY,,Abemaciclib - MONARCH 3
8.94,04/13/2018,Phase 2,SELB,1H April 2018;,SEL-212
67.95,04/16/2018,PDUFA priority review,BMY,,CM-214 – Opdivo + Yervoy
47.86,04/17/2018,PDUFA priority review,RARE,,KRN23 Burosumab
3.73,04/17/2018,PDUFA,RIGL,,Fostamatinib
115.31,04/19/2018,PDUFA priority review,GWPH,,Epidiolex
10.91,04/27/2018,Phase 2,MNOV,,MN-166
84.27,04/27/2018,PDUFA priority review,NBIX,,Elagolix
16.16,04/28/2018,PDUFA,MNK,,Lubiprostone
186.67,04/30/2018,PDUFA,AMGN,,KYPROLIS (ENDEAVOR)
2.74,04/30/2018,Phase 1/2,BTX,"ARVO Conference - Apr 29 - May 03, 2018;",OpRegen
14.85,04/30/2018,Phase 2b,KPTI,April 2018;,Selinexor - STORM
5.54,04/30/2018,Phase 3,NBRV,Spring 2018;,Lefamulin - LEAP 2
85.33,04/30/2018,PDUFA priority review,NVS,,Kymriah (CTL019 )- JULIET
6.16,04/30/2018,PDUFA priority review,PGNX,,Azedra
15.00,04/30/2018,Phase 2b,VRNA,Early 2Q 2018;,RPL554
55.35,05/01/2018,PDUFA priority review,SGEN,,ADCETRIS  in combination with chemotherapy ECHELON-1
45.82,05/04/2018,PDUFA,PTLA,,Andexanet alfa
1.24,05/08/2018,PDUFA,LPCN,,LPCN 1021
22.17,05/10/2018,PDUFA,AKCA,"Adcom May 10; PDUFA August 30, 2018.;",Volanesorsen - APPROACH
18.68,05/13/2018,PDUFA,VRX,,Plenvu (NER1006)
34.01,05/15/2018,PDUFA priority review,AZN,Estimate mid-2Q 2018;,Tagrisso - FLAURA
186.67,05/17/2018,PDUFA,AMGN,,Erenumab
85.33,05/17/2018,PDUFA,NVS,,Erenumab
32.31,05/21/2018,PDUFA priority review,DOVA,,Avatrombopag
132.02,05/21/2018,PDUFA priority review,JNJ,,DARZALEX (Daratumumab) - ALCYONE
83.05,05/25/2018,PDUFA priority review,BMRN,,Pegvaliase
8.56,05/26/2018,PDUFA,REPH,,Intravenous (IV) meloxicam
186.67,05/28/2018,PDUFA,AMGN,,Prolia (denosumab)
5.37,05/29/2018,PDUFA,TXMD,,Yuvvexy - TX-004HR
78.90,05/31/2018,Phase 3,ESPR,May 2018;,Bempedoic acid - CLEAR LDL-C Lowering Program 1002-046
78.90,05/31/2018,Phase 3,ESPR,May 2018;,Bempedoic acid (ETC-1002-040) - Clear Harmony
2.68,05/31/2018,PDUFA,KTOV,,KIT-302
85.33,05/31/2018,PDUFA priority review,NVS,Estimate mid-2Q 2018;,Tafinlar (dabrafenib) and Mekinist (trametinib)
82.83,06/01/2018,Phase 1/2,AGIO,ASCO 2018;,Enasidenib or ivosidenib with VIDAZA
82.83,06/01/2018,Phase 1,AGIO,ASCO 2018;,Ivosidenib
206.05,06/01/2018,Phase 1,BLUE,ASCO 2018;,bb2121
1.87,06/01/2018,Phase 2,IDRA,ASCO 2018;,IMO-2125 + ipilimumab - ILLUMINATE 204
18.68,06/18/2018,PDUFA,VRX,,IDP-118
15.35,06/23/2018,PDUFA,SCPH,,Furoscix
10.99,06/25/2018,PDUFA priority review,AKAO,,Plazomicin
118.75,06/30/2018,Phase 2,ABBV,2Q 2018;,Rova-T (TRINITY)
20.19,06/30/2018,Phase 2,ACRS,1H 2018;,ATI-50002 - PK/safety
20.19,06/30/2018,Phase 2,ACRS,1H 2018;,ATI-50002 - open label
26.02,06/30/2018,Phase 3,ADMS,2Q 2018;,GOCOVRI (amantadine)
162.09,06/30/2018,Phase 3,AGN,1H 2018;,UBROGEPANT - ACHIEVE II (UBR-MD-02)
162.09,06/30/2018,Phase 3,AGN,1H 2018;,Cariprazine
162.09,06/30/2018,Phase 2b,AGN,1H 2018;,ATOGEPANT
162.09,06/30/2018,PDUFA,AGN,1H 2018;,ESMYA  (ulipristal acetate)
8.40,06/30/2018,Phase 2a,ALRN,1H 2018;,ALRN-6924
123.12,06/30/2018,Phase 2a,ANAB,2Q 2018;,ANB020
1.35,06/30/2018,Phase 3,ARGS,1H 2018;,rocapuldencel-T (AGS-003) ADAPT Trial
1.35,06/30/2018,Phase 1,ARGS,1H 2018;,AGS-004 and vorinostat
39.97,06/30/2018,Phase 2,ARNA,2Q 2018;,APD371
18.15,06/30/2018,PDUFA,ARRY,,Binimetinib - COLUMBUS
14.50,06/30/2018,Phase 2,ASNS,1H 2018;,ASN100
2.87,06/30/2018,Phase 3,AVEO,2Q 2018;,TIVO-3 - tivozanib
2.60,06/30/2018,Phase 3,AXSM,1H 2018;,AXS-05 STRIDE-1
34.01,06/30/2018,Phase 3,AZN,1H 2018;,Selumetinib - ASTRA
34.01,06/30/2018,Phase 3,AZN,1H 2018;,Lynparza
34.01,06/30/2018,Phase 3,AZN,1H 2018;,Durvalumab +/- tremelimumab (MYSTIC)
34.01,06/30/2018,Phase 3,AZN,1H 2018;,Durvalumab +/- tremelimumab (KESTREL)
34.01,06/30/2018,Phase 3,AZN,1H 2018;,Durvalumab +/- tremelimumab (EAGLE)
34.01,06/30/2018,Phase 3,AZN,1H 2018;,Durvalumab +/- tremelimumab (ARCTIC)
2.73,06/30/2018,Phase 2,AZRX,2Q 2018;,MS1819
67.95,06/30/2018,Phase 3,BMY,1H 2018;,CM-511 – Opdivo + Yervoy
67.95,06/30/2018,Phase 3,BMY,1H 2018;,CM-331– Opdivo
67.95,06/30/2018,Phase 3,BMY,1H 2018;,CM-227 – Opdivo + Yervoy
67.95,06/30/2018,Phase 2,BMY,1H 2018;,CM-548 - Opdivo+SOC
33.00,06/30/2018,Phase 1/2,BOLD,2Q 2018;,AT342 - VALENS
26.65,06/30/2018,Phase 2,CBIO,1H 2018;,Marzeptacog alfa
95.61,06/30/2018,Phase 3,CELG,1H 2018;,REVLIMID - AUGMENT NHL-007
4.55,06/30/2018,Phase 1/2,CKPT,1H 2018;,CK-101
2.37,06/30/2018,Phase 2b,CLDX,2Q 2018;,Glembatumumab vedotin
6.08,06/30/2018,Phase 2,CLSD,2Q 2018;,Suprachoroidal CLS-TA - TYBEE
6.08,06/30/2018,Phase 1/2,CLSD,2Q 2018;,Suprachoroidal CLS-TA - HULK
5.15,06/30/2018,Phase 2b,CNAT,1H 2018;,Emricasan
13.24,06/30/2018,Phase 1,CORI,1H 2018;,Corplex Donepezil
3.23,06/30/2018,Phase 3,CPRX,1H 2018;,Firdapse
3.80,06/30/2018,Phase 3,CTIC,1H 2018;,PIXUVRI - PIX306 Trial
7.90,06/30/2018,Phase 2,CYTK,2Q 2018;,CK-2127107
23.02,06/30/2018,Phase 2b,DBVT,1H 2018;,Viaskin Milk
26.18,06/30/2018,Phase 3,DERM,,Glycopyrronium tosylate (DRM04)
22.40,06/30/2018,Phase 1,DNLI,1H 2018;,DNL201
29.51,06/30/2018,Phase 3,EXEL,1H 2018;,IMblaze370 - cobimetinib and atezolizumab
0.59,06/30/2018,Phase 3,EYEG,2Q 2018;,EGP-437
4.03,06/30/2018,Phase 2,FBIO,1H 2018;,CEVA101
4.03,06/30/2018,Phase 2,FBIO,1H 2018;,Pepvax vaccine
4.03,06/30/2018,Phase 3,FBIO,2Q 2018;,IV Tramadol
6.66,06/30/2018,Phase 2b,GEMP,2Q 2018;,Gemcabene - INDIGO-1
80.91,06/30/2018,Phase 2,GILD,2Q 2018;,Selonsertib (GS-4997)
80.91,06/30/2018,Phase 2,GILD,2Q 2018;,GS-9674
5.57,06/30/2018,Phase 2b,GLMD,2Q 2018;,Aramchol - ARREST
111.41,06/30/2018,Phase 2,GLPG,1H 2018;,GLPG2737 - PELICAN
111.41,06/30/2018,Phase 2,GLPG,2Q 2018;,Filgotinib - TORTUGA
111.41,06/30/2018,Phase 2,GLPG,2Q 2018;,Filgotinib - EQUATOR
24.11,06/30/2018,Phase 1b,GTHX,2Q 2018;,G1T38 plus Faslodex
22.05,06/30/2018,Phase 3,HRTX,1H 2018;,HTX-011
1.87,06/30/2018,Phase 2,IDRA,2Q 2018;,IMO-8400
1.79,06/30/2018,Phase 1,IMMP,1H 2018;,Eftilagimod alpha and Keytruda
87.80,06/30/2018,Phase 3,INCY,1H 2018;,Epacadostat with Keytruda - ECHO-301
87.80,06/30/2018,Phase 3,INCY,1H 2018;,Ruxolitinib - REACH 1
1.85,06/30/2018,Phase 1,INFI,2Q 2018;,IPI-549 + Nivolumab
21.72,06/30/2018,Phase 1/2,JNCE,1H 2018;,JTX-2011
132.02,06/30/2018,Phase 3,JNJ,2018;,Esketamine
6.00,06/30/2018,Phase 3,KMPH,2Q 2018;,KP415
22.75,06/30/2018,Phase 2,KURA,1H 2018;,Tipifarnib
11.29,06/30/2018,Phase 2,MACK,1H 2018;,MM-141 - CARRIE
4.35,06/30/2018,Phase 3,MDWD,1H 2018;,NexoBrid
2.18,06/30/2018,Phase 1,MEIP,2Q 2018;,ME-401
2.18,06/30/2018,Phase 1,MEIP,2Q 2018;,ME-344
2.18,06/30/2018,Phase 2,MEIP,2Q 2018;,Pracinostat in combination with Vidaza
23.46,06/30/2018,Phase 2,MGNX,1H 2018;,Margetuximab in combination with pembrolizumab
34.73,06/30/2018,Phase 2,MNLO,2Q 2018;,Serlopitant
54.87,06/30/2018,Phase 3,MRK,"1H 2018 (est, only);",(MK-3475-189/KEYNOTE-189)
1.03,06/30/2018,Phase 2,MTNB,2Q 2018;,MAT2501
84.27,06/30/2018,Phase 2a,NBIX,1H 2018;,NBI-74788
7.10,06/30/2018,Phase 2,NLNK,1H 2018;,Indoximod + gemcitabine and nab-paclitaxel
85.33,06/30/2018,Phase 2,NVS,1H 2018;,LJN452
85.33,06/30/2018,Phase 3,NVS,2Q 2018;,LEE011: MONALEESA-3
68.25,06/30/2018,Phase 3,PBYI,1H 2018;,Neratinib
3.40,06/30/2018,Phase 3,PFNX,1H 2018;,PF708 and Forteo
34.61,06/30/2018,Phase 2b,PRTA,2Q 2018;,NEOD001 PRONTO
1.38,06/30/2018,Phase 2,PSTI,2Q 2018;,PLX-PAD (stem cells)
47.86,06/30/2018,Phase 2,RARE,1H 2018;,KRN23 Burosumab
1.74,06/30/2018,Phase 2a,RNN,2Q 2018;,Supinoxin
26.95,06/30/2018,Phase 1b,RXDX,1H 2018;,RXDX-105
3.34,06/30/2018,Phase 2,RXII,1Q/2Q 2018;,Samcyprone - RXI-SCP-1502
27.61,06/30/2018,Phase 2,RYTM,1H 2018;,Setmelanotide
6.55,06/30/2018,Phase 3,SBBP,2Q 2018;,COR-003 (levoketoconazole) - SONICS
24.95,06/30/2018,Phase 1/2,SGMO,1H 2018;,SB-318
9.07,06/30/2018,Phase 1/2,SNDX,1H 2018;,Entinostat plus Keytruda - ENCORE 601
9.07,06/30/2018,Phase 3,SNDX,1H 2018;,E2112
10.51,06/30/2018,Phase 1b,SPRO,1H 2018;,SPR741
27.95,06/30/2018,Phase 2a,TBPH,1H 2018;,TD-9855
2.10,06/30/2018,Phase 1/2,TCON,1H 2018;,TRC253
2.10,06/30/2018,Phase 2,TCON,1H 2018;,TRC105 and Inlyta
14.05,06/30/2018,Phase 3,TGTX,2Q 2018;,TG-1101 and TGR-1202 - UNITY-CLL study
10.87,06/30/2018,Phase 2/3,TOCA,1H 2018;,Toca 511 & Toca FC
3.16,06/30/2018,Phase 2,TPIV,1H 2018;,TPIV200
60.74,06/30/2018,Phase 1/2,TSRO,1H 2018;,Niraparib and Keytruda (TOPACIO)
1.00,06/30/2018,Phase 1/2,TTNP,1H 2018;,Ropinirole implant
1.48,06/30/2018,Phase 2,VICL,2Q 2018;,VCL-HB01 HSV-2 Therapeutic Vaccine
6.92,06/30/2018,Phase 2,VKTX,1H 2018;,VK2809
165.90,06/30/2018,Phase 2,VRTX,1H 2018;,VX-445 in combination with tezacaftor and ivacaftor
5.69,06/30/2018,Phase 2,VXRT,2Q 2018;,BTA074 5% topical gel
42.91,06/30/2018,Phase 2,XLRN,1H 2018;,ACE-083
15.90,06/30/2018,Phase 3,ZEAL,2Q 2018;,Dasiglucagon
43.45,06/30/2018,Phase 3,ZGNX,2Q 2018;,ZX008 - Study 1504
51.03,07/06/2018,PDUFA priority review,IONS,,Inotersen (IONIS-TTRRx)
1.13,07/28/2018,PDUFA,DRRX,,RBP-7000
7.88,07/28/2018,PDUFA,INSY,,Buprenorphine
121.42,07/31/2018,Phase 3,ALNY,Mid-2018;,Givosiran
118.93,07/31/2018,Phase 3,ALXN,Mid-2018;,Eculizumab
0.99,07/31/2018,Phase 2,BLRX,Mid-2018;,BL-8040
10.00,07/31/2018,Phase 2,CMTX,Mid-2018;,CX-072
29.22,07/31/2018,Phase 1/2,CTMX,Mid-2018;,CX 072
0.94,07/31/2018,Phase 3,EBIO,Mid-2018;,Vicinium
6.22,07/31/2018,Phase 3,FOMX,Mid-2018;,FMX103
6.22,07/31/2018,Phase 3,FOMX,Mid-2018;,FMX101 - FX2017-22
2.01,07/31/2018,Phase 2,GNMX,Mid-2018;,AEVI-001 (NFC-1)
2.01,07/31/2018,Phase 1/2,GNMX,Mid-2018;,AEVI-002 (Anti-LIGHT mAb)
36.84,07/31/2018,Phase 2b,GSK,Mid-2018;,Dezamizumab
36.84,07/31/2018,Phase 3,GSK,Mid-2018;,Dolutegravir + lamivudine (GEMINI 2)
36.84,07/31/2018,Phase 3,GSK,Mid-2018;,Dolutegravir + lamivudine (GEMINI 1)
86.58,07/31/2018,Phase 1/2,JUNO,2018;,Lico-cel (CD-19 JCAR017) - TRANSCEND
28.70,07/31/2018,Phase 2,MRTX,Mid-2018;,Sitravatinib plus nivolumab
19.30,07/31/2018,Phase 2,NVCR,Mid-2018;,Tumor Treating Fields (TTFields) STELLAR
15.22,07/31/2018,Phase 2b,OBSV,Mid-2018;,OBE2109 - EDELWEISS
1.43,07/31/2018,Phase 1,PULM,Mid-2018;,Pulmazole (PUR1900)
6.28,07/31/2018,Phase 3,RDHL,Mid-2018;,RHB-104 MAP US
12.05,07/31/2018,Phase 2a,SBPH,Mid-2018;,SB 9200
1.70,07/31/2018,Phase 2b,SCYX,Mid-2018;,SCY-078 - oral
24.95,07/31/2018,Phase 1/2,SGMO,Mid-2018;,SB-525
24.95,07/31/2018,Phase 1/2,SGMO,Mid-2018;,SB-913 - CHAMPIONS
6.64,07/31/2018,Phase 1/2,SNSS,Mid-2018;,SNS-062
10.51,07/31/2018,Phase 1,SPRO,Mid-2018;,SPR994
63.91,07/31/2018,Phase 1/2,SRPT,Mid-2018;,SRP-5051
42.91,07/31/2018,Phase 3,XLRN,Mid-2018;,Luspatercept - BELIEVE
42.91,07/31/2018,Phase 3,XLRN,Mid-2018;,Luspatercept - MEDALIST
8.02,07/31/2018,Phase 2,ZFGN,Mid-2018;,ZGN-1061
6.43,08/08/2018,PDUFA priority review,SIGA,,TPOXX
121.42,08/11/2018,PDUFA priority review,ALNY,,Patisiran APOLLO
323.86,08/11/2018,PDUFA,REGN,,EYLEA
15.24,08/13/2018,PDUFA priority review,FOLD,,Migalastat
82.83,08/21/2018,PDUFA priority review,AGIO,,Ivosidenib
16.16,08/22/2018,PDUFA priority review,MNK,,Stannsoporfin
14.20,08/24/2018,PDUFA,KALA,,INVELTYS
18.68,08/26/2018,PDUFA,VRX,,IDP-121
78.90,08/31/2018,Phase 3,ESPR,August 2018;,Bempedoic Acid/ Ezetimibe (1002FDC-053)
3.35,09/03/2018,PDUFA,ADMP,,Symjepi - low dose
2.96,09/30/2018,Phase 2,ACHN,3Q 2018;,ACH-4471
6.29,09/30/2018,Phase 1/2,AGLE,3Q 2018;,AEB1102
3.75,09/30/2018,Phase 1/2,AGTC,Late-3Q/Early-4Q est;,rAAV-hRS1
3.70,09/30/2018,Phase 3,AMRN,3Q 2018;,Vascepa REDUCE-IT outcomes trial
15.12,09/30/2018,Phase 3,AQXP,3Q 2018;,AQX-1125 LEADERSHIP
16.22,09/30/2018,Phase 3,ATNX,3Q 2018;,KX-01 (KX2-391) Ointment
16.22,09/30/2018,Phase 3,ATNX,3Q 2018;,Oraxol
1.45,09/30/2018,Phase 2,AXON,3Q 2018;,Nelotanserin
21.75,09/30/2018,Phase 3,CNCE,3Q 2018;,AVP-786
8.45,09/30/2018,Phase 2,EIGR,3Q 2018;,Exendin 9-39
78.90,09/30/2018,Phase 3,ESPR,September 2018;,Bempedoic acid - CLEAR LDL-C Lowering Program 1002-047
4.16,09/30/2018,Phase 2,FLKS,3Q 2018;,FLX-787 - COMMEND US trial
80.91,09/30/2018,Phase 2,GILD,3Q 2018;,GS-5734
2.59,09/30/2018,Phase 3,HSGX,3Q 2018;,NeoCart
53.93,09/30/2018,Phase 2,NVO,3Q 2018;,Concizumab - explorer
53.93,09/30/2018,Phase 3,NVO,3Q 2018;,Somapacitan (NN8640) - REAL 3
85.33,09/30/2018,Phase 2,NVS,3Q 2018;,INC280
6.16,09/30/2018,Phase 3,PGNX,3Q 2018;,1404
1.16,09/30/2018,Phase 2,RGLS,3Q 2018;,RG-012 - HERA
12.20,09/30/2018,Phase 2,SMMT,3Q 2018;,Ezutromid
15.98,09/30/2018,Phase 1/2,SNNA,3Q 2018;,SNA-125
3.40,09/30/2018,Phase 3,TNXP,3Q 2018;,TNX-102 SL
50.91,09/30/2018,Phase 3,URGN,3Q 2018;,MitoGel - OLYMPUS
5.30,09/30/2018,Phase 3,VTL,3Q 2018;,VTI-308
26.05,10/05/2018,PDUFA,ACOR,,INBRIJA (CVT-301)
78.75,10/10/2018,PDUFA,LLY,,"Galcanezumab - EVOLVE-1, EVOLVE-2 and REGAIN"
18.68,10/15/2018,PDUFA,VRX,,IDP-122
13.35,10/19/2018,PDUFA,PRTK,4Q 2018;,Sarecycline
54.87,10/23/2018,PDUFA,MRK,,Doravirine (MK-1439)
58.60,10/31/2018,Phase 3,ALKS,Fall 2018;,ALKS 3831 - ENLIGHTEN-2
1.72,11/02/2018,PDUFA,TRVN,,Oliceridine (TRV130)
85.33,11/16/2018,PDUFA,NVS,"Nov 16, 2018 est only;",Adalimumab
27.95,11/30/2018,PDUFA,TBPH,,Revefenacin
82.83,12/01/2018,Phase 1,AGIO,ASH 2018;,Ivosidenib or enasidenib
206.05,12/05/2018,Phase 3,BLUE,ASH 2018;,LentiGlobin - HGB-212
206.05,12/05/2018,Phase 1/2,BLUE,ASH 2018;,LentiGlobin - HGB-206
118.75,12/31/2018,Phase 3,ABBV,2018;,ABT-494 - SELECT-COMPARE
118.75,12/31/2018,Phase 3,ABBV,2018;,Imbruvica - PHOENIX
53.95,12/31/2018,Phase 2b,ABLX,2H 2018;,ALX-0171
5.25,12/31/2018,Phase 2,ABUS,2H 2018;,"ARB-1467, tenofovir, and pegylated interferon"
2.96,12/31/2018,Phase 2,ACHN,4Q 2018;,ACH-4471
10.90,12/31/2018,Phase 1/2,ACIU,2018;,ACI-24 (anti-Abeta vaccine)
20.19,12/31/2018,Phase 2,ACRS,YE 2018;,ATI-50002 - dose ranging
6.95,12/31/2018,Phase 1/2,ADVM,2H 2018;,ADVM-043
162.09,12/31/2018,Phase 3,AGN,2H 2018;,ABICIPAR
32.72,12/31/2018,Phase 3,AIMT,2H 2018;,AR101 RAMSES
15.23,12/31/2018,Phase 2,AKBA,Late 2018/Early 2019;,Vadadustat - FO2RWARD
22.17,12/31/2018,Phase 2,AKCA,2018;,AKCEA-ANGPTL3-LRx
22.17,12/31/2018,Phase 2b,AKCA,2H 2018;,AKCEA-APO(a)-LRx
7.60,12/31/2018,Phase 2b,ALDX,2H 2018;,ADX-102
7.60,12/31/2018,Phase 2b,ALDX,2H 2018;,ADX-102
7.60,12/31/2018,Phase 3,ALDX,2H 2018;,ADX-102
7.60,12/31/2018,Phase 2,ALDX,2H 2018;,ADX-102
7.00,12/31/2018,Phase 2,ALNA,2H 2018;,ALLN-177
121.42,12/31/2018,Phase 1/2,ALNY,2018;,ALN-CC5 (cemdisiran)
118.93,12/31/2018,Phase 3,ALXN,4Q 2018;,ALXN1210
118.93,12/31/2018,Phase 3,ALXN,2Q 2018;,ALXN1210
186.67,12/31/2018,Phase 3,AMGN,2H 2018;,ABP 710
51.69,12/31/2018,Phase 3,ANIK,2018;,Cingal
16.33,12/31/2018,Phase 2,APLS,2H 2018;,APL-2 subcutaneous
80.50,12/31/2018,Phase 2,ARGX,2H 2018;,ARGX-113
80.50,12/31/2018,Phase 2,ARGX,2H 2018;,ARGX-113
46.06,12/31/2018,Phase 2b,ARMO,YE 2018;,AM0010 (PEG-IL-10) and Pembrolizumab - Cypress 1
46.06,12/31/2018,Phase 2b,ARMO,YE 2018;,AM0010 (PEG-IL-10) and Nivolumab - Cypress 2
2.20,12/31/2018,Phase 1/2,AST,2H 2018;,AST-VAC2
0.55,12/31/2018,Phase 1,ATNM,2H 2018;,Actimab-M
0.55,12/31/2018,Phase 2,ATNM,2H 2018;,Actimab-A
5.60,12/31/2018,Phase 2,AUPH,2H 2018;,Voclosporin
5.60,12/31/2018,Phase 2,AUPH,2H 2018;,Voclosporin
34.01,12/31/2018,Phase 3,AZN,2H 2018;,Lynparza
34.01,12/31/2018,Phase 3,AZN,2H 2018;,Farxiga - DECLARE
34.01,12/31/2018,Phase 3,AZN,2H 2018;,FASENRA (benralizumab) - TERRANOVA
34.01,12/31/2018,Phase 3,AZN,2H 2018;,Durvalumab +/- tremelimumab (NEPTUNE)
34.01,12/31/2018,Phase 3,AZN,2H 2018;,Anifrolumab
2.73,12/31/2018,Phase 2,AZRX,2H 2018;,MS1819-SD
292.78,12/31/2018,Phase 2,BIIB,2018;,Raxatrigine - BIIB074 (Nav1.7 inhibitor)
292.78,12/31/2018,Phase 2,BIIB,2H 2018;,BAN2401 (Aβ mAb)
104.74,12/31/2018,Phase 1/2,BIVV,2018;,BIVV001 (EXTEN-A)
1.99,12/31/2018,Phase 2b,BLPH,YE 2018;,INOpulse delivery device
