price,stage,end_date,drug,date_text,ticker
6.44,Phase 3,03/31/2018,Suprachoroidal CLS-TA - PEACHTREE,1Q 2018;,CLSD
15.98,Phase 2,03/31/2018,CORT125134,1Q 2018;,CORT
27.49,Phase 3,03/31/2018,Olumacostat glasaretil (DRM01),1Q 2018;,DERM
0.29,Phase 3,03/31/2018,Keyzilen (AM-101) - TACTT3,1Q 2018 - likely February;,EARS
13.95,Phase 3,03/31/2018,EG-1962,1Q 2018;,EDGE
74.92,Phase 2,03/31/2018,Bempedoic Acid - 1002-039,1Q 2018;,ESPR
74.92,Phase 3,03/31/2018,"Bempedoic acid - CLEAR LDL-C Lowering Program 1002-046, 1002-047 and 1002-048","March, May and September 2018;",ESPR
4.30,Phase 2,03/31/2018,FLX-787 (Aust),1Q 2018;,FLKS
2.38,Phase 2,03/31/2018,Imetelstat - IMbarkStudy,1Q 2018;,GERN
80.70,Phase 3,03/31/2018,Bictegravir/F/TAF,1Q 2018;,GILD
80.70,Phase 3,03/31/2018,GS-5745,1Q 2018;,GILD
80.70,Phase 2,03/31/2018,GS-9674,1Q 2018;,GILD
80.70,Phase 2,03/31/2018,Entospletinib,1Q 2018;,GILD
19.69,Phase 2,03/31/2018,Trilaciclib,1Q 2018;,GTHX
131.01,Phase 3,03/31/2018,Epidiolex,1Q 2018;,GWPH
131.01,Phase 2,03/31/2018,GWP42006 (CBDV),1Q 2018;,GWPH
11.27,Phase 3,03/31/2018,Mirvetuximab soravtansine - FORWARD I,1Q 2018;,IMGN
8.01,Phase 2,03/31/2018,IMM-124E,1Q 2018;,IMRN
11.19,Phase 1,03/31/2018,MB-102,Early 2018;,MBIO
11.19,Phase 1,03/31/2018,MB-101,Early 2018;,MBIO
2.35,Phase 1,03/31/2018,MVT-1075,1Q 2018;,MBVX
9.42,Phase 1b,03/31/2018,SER-262,Early 2018;,MCRB
5.10,Phase 2b,03/31/2018,MPC-150-IM - Class IV,1Q 2018;,MESO
5.10,Phase 3,03/31/2018,MSC-100-IV,1Q 2018;,MESO
29.60,Phase 2,03/31/2018,Mocetinostat and durvalumab,1Q 2018 - see note below;,MRTX
56.30,Phase 2,03/31/2018,MYK-461 - PIONEER-HCM,1Q 2018;,MYOK
85.25,Phase 3,03/31/2018,Elagolix,1Q 2018;,NBIX
51.86,Phase 3,03/31/2018,Semaglutide - oral - PIONEER,1Q 2018;,NVO
14.13,Phase 2,03/31/2018,OBE001 - IMPLANT2,1Q 2018;,OBSV
0.66,Phase 2,03/31/2018,OPRX-106,March 2018;,PLX
17.57,Phase 2b,03/31/2018,PTG-100,Early 2018;,PTGX
2.90,Phase 1,03/31/2018,PTI-428 + Kalydeco,1Q 2018;,PTI
26.73,Phase 2,03/31/2018,Bardoxolone methyl - LARIAT,1Q 2018;,RETA
26.73,Phase 2,03/31/2018,Omaveloxolone - MOTOR,1Q 2018;,RETA
1.20,Phase 1/2,03/31/2018,RG-012,1Q 2018;,RGLS
5.50,Phase 2b,03/31/2018,NeuVax in combination with Herceptin,1Q 2018;,SLS
2.09,Phase 2,03/31/2018,Topsalysin (PRX302),Late-1Q 2018;,SPHS
6.30,Phase 3,03/31/2018,VB-111,1Q 2018;,VBLT
17.10,Phase 2,03/31/2018,HETLIOZ (tasimelteon),1Q 2018;,VNDA
12.80,Phase 2a,03/31/2018,RPL554,Late 1Q 2018;,VRNA
6.63,Phase 1/2,03/31/2018,TTP399,Early 2018;,VTVT
6.63,Phase 3,03/31/2018,Azeliragon - STEADFAST,Early 2018;,VTVT
19.36,Phase 1b,03/31/2018,VY-AADC01,1Q 2018;,VYGR
56.29,PDUFA priority review,04/03/2018,Keytruda,,MRK
5.75,PDUFA,04/03/2018,Ibalizumab,,THERF
54.15,PDUFA priority review,04/06/2018,Rucaparib ARIEL3,,CLVS
30.15,PDUFA,04/06/2018,EXPAREL,,PCRX
86.91,Phase 3,04/09/2018,AIN457 (Cosentyx),"April 7-10, 2018;",NVS
8.65,Phase 2,04/11/2018,Pegylated Interferon Lambda (LIMT HDV),EASL 2018.;,EIGR
78.97,PDUFA priority review,04/12/2018,Abemaciclib - MONARCH 3,,LLY
8.50,Phase 2,04/13/2018,SEL-212,1H April 2018;,SELB
68.96,PDUFA priority review,04/16/2018,CM-214 – Opdivo + Yervoy,,BMY
47.12,PDUFA priority review,04/17/2018,KRN23 Burosumab,,RARE
3.87,PDUFA,04/17/2018,Fostamatinib,,RIGL
10.90,Phase 2,04/27/2018,MN-166,,MNOV
85.25,PDUFA priority review,04/27/2018,Elagolix,,NBIX
18.00,PDUFA,04/28/2018,Lubiprostone,,SCMP
183.55,PDUFA,04/30/2018,KYPROLIS (ENDEAVOR),,AMGN
2.60,Phase 1/2,04/30/2018,OpRegen,"ARVO Conference - Apr 29 - May 03, 2018;",BTX
14.98,Phase 2b,04/30/2018,Selinexor - STORM,April 2018;,KPTI
5.50,Phase 3,04/30/2018,Lefamulin - LEAP 2,Spring 2018;,NBRV
86.91,PDUFA priority review,04/30/2018,Kymriah (CTL019 )- JULIET,,NVS
5.97,PDUFA priority review,04/30/2018,Azedra,,PGNX
12.80,Phase 2b,04/30/2018,RPL554,Early 2Q 2018;,VRNA
54.48,PDUFA priority review,05/01/2018,ADCETRIS  in combination with chemotherapy ECHELON-1,,SGEN
47.69,PDUFA,05/04/2018,Andexanet alfa,,PTLA
1.33,PDUFA,05/08/2018,LPCN 1021,,LPCN
21.88,PDUFA,05/10/2018,Volanesorsen - APPROACH,"Adcom May 10; PDUFA August 30, 2018.;",AKCA
18.88,PDUFA,05/13/2018,Plenvu (NER1006),,VRX
33.93,PDUFA priority review,05/15/2018,Tagrisso - FLAURA,Estimate mid-2Q 2018;,AZN
183.55,PDUFA,05/17/2018,Erenumab,,AMGN
86.91,PDUFA,05/17/2018,Erenumab,,NVS
34.68,PDUFA priority review,05/21/2018,Avatrombopag,,DOVA
133.15,PDUFA priority review,05/21/2018,DARZALEX (Daratumumab) - ALCYONE,,JNJ
84.98,PDUFA priority review,05/25/2018,Pegvaliase,,BMRN
8.30,PDUFA,05/26/2018,Intravenous (IV) meloxicam,,REPH
183.55,PDUFA,05/28/2018,Prolia (denosumab),,AMGN
5.58,PDUFA,05/29/2018,Yuvvexy - TX-004HR,,TXMD
74.92,Phase 3,05/31/2018,Bempedoic acid (ETC-1002-040) - Clear Harmony,May 2018;,ESPR
2.49,PDUFA,05/31/2018,KIT-302,,KTOV
86.91,PDUFA priority review,05/31/2018,Tafinlar (dabrafenib) and Mekinist (trametinib),Estimate mid-2Q 2018;,NVS
77.70,Phase 1/2,06/01/2018,Enasidenib or ivosidenib with VIDAZA,ASCO 2018;,AGIO
77.70,Phase 1,06/01/2018,Ivosidenib,ASCO 2018;,AGIO
1.93,Phase 2,06/01/2018,IMO-2125 + ipilimumab - ILLUMINATE 204,ASCO 2018;,IDRA
18.88,PDUFA,06/18/2018,IDP-118,,VRX
13.85,PDUFA,06/23/2018,Furoscix,,SCPH
10.92,PDUFA priority review,06/25/2018,Plazomicin,,AKAO
131.01,PDUFA priority review,06/27/2018,Epidiolex,,GWPH
118.60,Phase 2,06/30/2018,Rova-T (TRINITY),2Q 2018;,ABBV
20.13,Phase 2,06/30/2018,ATI-50002 - PK/safety,1H 2018;,ACRS
20.13,Phase 2,06/30/2018,ATI-50002 - open label,1H 2018;,ACRS
33.77,Phase 3,06/30/2018,GOCOVRI (amantadine),2Q 2018;,ADMS
164.04,Phase 3,06/30/2018,UBROGEPANT - ACHIEVE II (UBR-MD-02),1H 2018;,AGN
164.04,Phase 3,06/30/2018,Cariprazine,1H 2018;,AGN
164.04,Phase 2b,06/30/2018,ATOGEPANT,1H 2018;,AGN
164.04,PDUFA,06/30/2018,ESMYA  (ulipristal acetate),1H 2018;,AGN
7.76,Phase 2a,06/30/2018,ALRN-6924,1H 2018;,ALRN
126.45,Phase 2a,06/30/2018,ANB020,2Q 2018;,ANAB
60.63,Phase 3,06/30/2018,Cingal,1H 2018;,ANIK
14.95,Phase 3,06/30/2018,APL-2 IV - FILLY,1H 2018;,APLS
1.45,Phase 3,06/30/2018,rocapuldencel-T (AGS-003) ADAPT Trial,1H 2018;,ARGS
1.45,Phase 1,06/30/2018,AGS-004 and vorinostat,1H 2018;,ARGS
40.80,Phase 2,06/30/2018,APD371,2Q 2018;,ARNA
16.98,PDUFA,06/30/2018,Binimetinib - COLUMBUS,,ARRY
13.77,Phase 2,06/30/2018,ASN100,1H 2018;,ASNS
3.00,Phase 3,06/30/2018,TIVO-3 - tivozanib,2Q 2018;,AVEO
2.70,Phase 3,06/30/2018,AXS-05 STRIDE-1,1H 2018;,AXSM
33.93,Phase 3,06/30/2018,Selumetinib - ASTRA,1H 2018;,AZN
33.93,Phase 3,06/30/2018,Lynparza,1H 2018;,AZN
33.93,Phase 3,06/30/2018,Durvalumab +/- tremelimumab (MYSTIC),1H 2018;,AZN
33.93,Phase 3,06/30/2018,Durvalumab +/- tremelimumab (KESTREL),1H 2018;,AZN
33.93,Phase 3,06/30/2018,Durvalumab +/- tremelimumab (EAGLE),1H 2018;,AZN
33.93,Phase 3,06/30/2018,Durvalumab +/- tremelimumab (ARCTIC),1H 2018;,AZN
2.96,Phase 2,06/30/2018,MS1819,2Q 2018;,AZRX
68.96,Phase 3,06/30/2018,CM-511 – Opdivo + Yervoy,1H 2018;,BMY
68.96,Phase 3,06/30/2018,CM-331– Opdivo,1H 2018;,BMY
68.96,Phase 3,06/30/2018,CM-227 – Opdivo + Yervoy,1H 2018;,BMY
68.96,Phase 2,06/30/2018,CM-548 - Opdivo+SOC,1H 2018;,BMY
33.51,Phase 1/2,06/30/2018,AT342 - VALENS,2Q 2018;,BOLD
31.08,Phase 2,06/30/2018,Marzeptacog alfa,1H 2018;,CBIO
95.26,Phase 3,06/30/2018,REVLIMID - AUGMENT NHL-007,1H 2018;,CELG
4.13,Phase 1/2,06/30/2018,CK-101,1H 2018;,CKPT
2.35,Phase 2b,06/30/2018,Glembatumumab vedotin,2Q 2018;,CLDX
6.44,Phase 2,06/30/2018,Suprachoroidal CLS-TA - TYBEE,2Q 2018;,CLSD
6.44,Phase 1/2,06/30/2018,Suprachoroidal CLS-TA - HULK,2Q 2018;,CLSD
5.12,Phase 2b,06/30/2018,Emricasan,1H 2018;,CNAT
12.44,Phase 1,06/30/2018,Corplex Donepezil,1H 2018;,CORI
3.43,Phase 3,06/30/2018,Firdapse,1H 2018;,CPRX
3.73,Phase 3,06/30/2018,PIXUVRI - PIX306 Trial,1H 2018;,CTIC
8.03,Phase 2,06/30/2018,CK-2127107,2Q 2018;,CYTK
25.86,Phase 2b,06/30/2018,Viaskin Milk,1H 2018;,DBVT
27.49,Phase 3,06/30/2018,Glycopyrronium tosylate (DRM04),,DERM
24.80,Phase 1,06/30/2018,DNL201,1H 2018;,DNLI
29.18,Phase 3,06/30/2018,IMblaze370 - cobimetinib and atezolizumab,1H 2018;,EXEL
0.64,Phase 3,06/30/2018,EGP-437,2Q 2018;,EYEG
3.51,Phase 2,06/30/2018,CEVA101,1H 2018;,FBIO
3.51,Phase 2,06/30/2018,Pepvax vaccine,1H 2018;,FBIO
3.51,Phase 3,06/30/2018,IV Tramadol,2Q 2018;,FBIO
6.60,Phase 2b,06/30/2018,Gemcabene - INDIGO-1,2Q 2018;,GEMP
80.70,Phase 2,06/30/2018,Selonsertib (GS-4997),2Q 2018;,GILD
80.70,Phase 2,06/30/2018,GS-9674,2Q 2018;,GILD
5.92,Phase 2b,06/30/2018,Aramchol - ARREST,2Q 2018;,GLMD
115.33,Phase 2,06/30/2018,GLPG2737 - PELICAN,1H 2018;,GLPG
115.33,Phase 2,06/30/2018,Filgotinib - TORTUGA,2Q 2018;,GLPG
115.33,Phase 2,06/30/2018,Filgotinib - EQUATOR,2Q 2018;,GLPG
19.69,Phase 1b,06/30/2018,G1T38 plus Faslodex,2Q 2018;,GTHX
23.80,Phase 3,06/30/2018,HTX-011,1H 2018;,HRTX
1.93,Phase 2,06/30/2018,IMO-8400,2Q 2018;,IDRA
1.79,Phase 1,06/30/2018,Eftilagimod alpha and Keytruda,1H 2018;,IMMP
86.03,Phase 3,06/30/2018,Epacadostat with Keytruda - ECHO-301,1H 2018;,INCY
86.03,Phase 3,06/30/2018,Ruxolitinib - REACH 1,1H 2018;,INCY
1.86,Phase 1,06/30/2018,IPI-549 + Nivolumab,2Q 2018;,INFI
24.05,Phase 1/2,06/30/2018,JTX-2011,1H 2018;,JNCE
133.15,Phase 3,06/30/2018,Esketamine,2018;,JNJ
5.80,Phase 3,06/30/2018,KP415,2Q 2018;,KMPH
22.75,Phase 2,06/30/2018,Tipifarnib,1H 2018;,KURA
10.82,Phase 2,06/30/2018,MM-141 - CARRIE,1H 2018;,MACK
4.35,Phase 3,06/30/2018,NexoBrid,1H 2018;,MDWD
2.19,Phase 1,06/30/2018,ME-401,2Q 2018;,MEIP
2.19,Phase 1,06/30/2018,ME-344,2Q 2018;,MEIP
2.19,Phase 2,06/30/2018,Pracinostat in combination with Vidaza,2Q 2018;,MEIP
23.30,Phase 2,06/30/2018,Margetuximab in combination with pembrolizumab,1H 2018;,MGNX
34.88,Phase 2,06/30/2018,Serlopitant,2Q 2018;,MNLO
56.29,Phase 3,06/30/2018,(MK-3475-189/KEYNOTE-189),"1H 2018 (est, only);",MRK
1.05,Phase 2,06/30/2018,MAT2501,2Q 2018;,MTNB
85.25,Phase 2a,06/30/2018,NBI-74788,1H 2018;,NBIX
7.11,Phase 2,06/30/2018,Indoximod + gemcitabine and nab-paclitaxel,1H 2018;,NLNK
86.91,Phase 2,06/30/2018,LJN452,1H 2018;,NVS
86.91,Phase 3,06/30/2018,LEE011: MONALEESA-3,2Q 2018;,NVS
67.05,Phase 3,06/30/2018,Neratinib,1H 2018;,PBYI
3.45,Phase 3,06/30/2018,PF708 and Forteo,1H 2018;,PFNX
33.20,Phase 2b,06/30/2018,NEOD001 PRONTO,2Q 2018;,PRTA
1.36,Phase 2,06/30/2018,PLX-PAD (stem cells),2Q 2018;,PSTI
1.78,Phase 2a,06/30/2018,Supinoxin,2Q 2018;,RNN
26.95,Phase 1b,06/30/2018,RXDX-105,1H 2018;,RXDX
3.22,Phase 2,06/30/2018,Samcyprone - RXI-SCP-1502,1Q/2Q 2018;,RXII
26.26,Phase 2,06/30/2018,Setmelanotide,1H 2018;,RYTM
6.80,Phase 3,06/30/2018,COR-003 (levoketoconazole) - SONICS,2Q 2018;,SBBP
23.30,Phase 1/2,06/30/2018,SB-525 cDNA gene therapy,1H 2018;,SGMO
23.30,Phase 1/2,06/30/2018,SB-318,1H 2018;,SGMO
23.30,Phase 1/2,06/30/2018,SB-913 - CHAMPIONS,1H 2018;,SGMO
9.48,Phase 1/2,06/30/2018,Entinostat plus Keytruda - ENCORE 601,1H 2018;,SNDX
9.48,Phase 3,06/30/2018,E2112,1H 2018;,SNDX
10.04,Phase 1b,06/30/2018,SPR741,1H 2018;,SPRO
29.26,Phase 2a,06/30/2018,TD-9855,1H 2018;,TBPH
2.20,Phase 1/2,06/30/2018,TRC253,1H 2018;,TCON
2.20,Phase 2,06/30/2018,TRC105 and Inlyta,1H 2018;,TCON
12.20,Phase 3,06/30/2018,TG-1101 and TGR-1202 - UNITY-CLL study,2Q 2018;,TGTX
12.39,Phase 2/3,06/30/2018,Toca 511 & Toca FC,1H 2018;,TOCA
3.07,Phase 2,06/30/2018,TPIV200,1H 2018;,TPIV
60.00,Phase 1/2,06/30/2018,Niraparib and Keytruda (TOPACIO),1H 2018;,TSRO
1.08,Phase 1/2,06/30/2018,Ropinirole implant,1H 2018;,TTNP
1.47,Phase 2,06/30/2018,VCL-HB01 HSV-2 Therapeutic Vaccine,2Q 2018;,VICL
6.18,Phase 2,06/30/2018,VK2809,1H 2018;,VKTX
160.72,Phase 2,06/30/2018,VX-445 in combination with tezacaftor and ivacaftor,1H 2018;,VRTX
6.56,Phase 2,06/30/2018,BTA074 5% topical gel,2Q 2018;,VXRT
41.97,Phase 2,06/30/2018,ACE-083,1H 2018;,XLRN
15.40,Phase 3,06/30/2018,Dasiglucagon,2Q 2018;,ZEAL
41.25,Phase 3,06/30/2018,ZX008 - Study 1504,2Q 2018;,ZGNX
50.05,PDUFA priority review,07/06/2018,Inotersen (IONIS-TTRRx),,IONS
1.12,PDUFA,07/28/2018,RBP-7000,,DRRX
7.79,PDUFA,07/28/2018,Buprenorphine,,INSY
122.88,Phase 3,07/31/2018,Givosiran,Mid-2018;,ALNY
120.47,Phase 3,07/31/2018,Eculizumab,Mid-2018;,ALXN
1.01,Phase 2,07/31/2018,BL-8040,Mid-2018;,BLRX
10.00,Phase 2,07/31/2018,CX-072,Mid-2018;,CMTX
27.85,Phase 1/2,07/31/2018,CX 072,Mid-2018;,CTMX
0.93,Phase 3,07/31/2018,Vicinium,Mid-2018;,EBIO
5.86,Phase 3,07/31/2018,FMX103,Mid-2018;,FOMX
5.86,Phase 3,07/31/2018,FMX101 - FX2017-22,Mid-2018;,FOMX
2.24,Phase 2,07/31/2018,AEVI-001 (NFC-1),Mid-2018;,GNMX
2.24,Phase 1/2,07/31/2018,AEVI-002 (Anti-LIGHT mAb),Mid-2018;,GNMX
37.70,Phase 2b,07/31/2018,Dezamizumab,Mid-2018;,GSK
37.70,Phase 3,07/31/2018,Dolutegravir + lamivudine (GEMINI 2),Mid-2018;,GSK
37.70,Phase 3,07/31/2018,Dolutegravir + lamivudine (GEMINI 1),Mid-2018;,GSK
85.10,Phase 1/2,07/31/2018,Lico-cel (CD-19 JCAR017) - TRANSCEND,2018;,JUNO
29.60,Phase 2,07/31/2018,Sitravatinib plus nivolumab,Mid-2018;,MRTX
14.13,Phase 2b,07/31/2018,OBE2109 - EDELWEISS,Mid-2018;,OBSV
1.48,Phase 1,07/31/2018,Pulmazole (PUR1900),Mid-2018;,PULM
6.12,Phase 3,07/31/2018,RHB-104 MAP US,Mid-2018;,RDHL
1.73,Phase 2b,07/31/2018,SCY-078 - oral,Mid-2018;,SCYX
5.97,Phase 1/2,07/31/2018,SNS-062,Mid-2018;,SNSS
10.04,Phase 1,07/31/2018,SPR994,Mid-2018;,SPRO
64.00,Phase 1/2,07/31/2018,SRP-5051,Mid-2018;,SRPT
41.97,Phase 3,07/31/2018,Luspatercept - BELIEVE,Mid-2018;,XLRN
41.97,Phase 3,07/31/2018,Luspatercept - MEDALIST,Mid-2018;,XLRN
8.37,Phase 2,07/31/2018,ZGN-1061,Mid-2018;,ZFGN
5.95,PDUFA priority review,08/08/2018,TPOXX,,SIGA
122.88,PDUFA priority review,08/11/2018,Patisiran APOLLO,,ALNY
332.15,PDUFA,08/11/2018,EYLEA,,REGN
15.17,PDUFA priority review,08/13/2018,Migalastat,,FOLD
77.70,PDUFA priority review,08/21/2018,Ivosidenib,,AGIO
14.77,PDUFA,08/24/2018,INVELTYS,,KALA
18.88,PDUFA,08/26/2018,IDP-121,,VRX
3.20,PDUFA,09/03/2018,Symjepi - low dose,,ADMP
6.08,Phase 1/2,09/30/2018,AEB1102,3Q 2018;,AGLE
3.75,Phase 1/2,09/30/2018,rAAV-hRS1,Late-3Q/Early-4Q est;,AGTC
3.64,Phase 3,09/30/2018,Vascepa REDUCE-IT outcomes trial,3Q 2018;,AMRN
14.62,Phase 3,09/30/2018,AQX-1125 LEADERSHIP,3Q 2018;,AQXP
16.66,Phase 3,09/30/2018,KX-01 (KX2-391) Ointment,3Q 2018;,ATNX
16.66,Phase 3,09/30/2018,Oraxol,3Q 2018;,ATNX
1.68,Phase 2,09/30/2018,Nelotanserin,3Q 2018;,AXON
21.48,Phase 3,09/30/2018,AVP-786,3Q 2018;,CNCE
8.65,Phase 2,09/30/2018,Exendin 9-39,3Q 2018;,EIGR
4.30,Phase 2,09/30/2018,FLX-787 - COMMEND US trial,3Q 2018;,FLKS
80.70,Phase 2,09/30/2018,GS-5734,3Q 2018;,GILD
2.63,Phase 3,09/30/2018,NeoCart,3Q 2018;,HSGX
51.86,Phase 2,09/30/2018,Concizumab - explorer,3Q 2018;,NVO
51.86,Phase 3,09/30/2018,Somapacitan (NN8640) - REAL 3,3Q 2018;,NVO
86.91,Phase 2,09/30/2018,INC280,3Q 2018;,NVS
5.97,Phase 3,09/30/2018,1404,3Q 2018;,PGNX
1.20,Phase 2,09/30/2018,RG-012 - HERA,3Q 2018;,RGLS
11.68,Phase 2,09/30/2018,Ezutromid,3Q 2018;,SMMT
15.00,Phase 1/2,09/30/2018,SNA-125,3Q 2018;,SNNA
3.31,Phase 3,09/30/2018,TNX-102 SL,3Q 2018;,TNXP
47.92,Phase 3,09/30/2018,MitoGel - OLYMPUS,3Q 2018;,URGN
5.03,Phase 3,09/30/2018,VTI-308,3Q 2018;,VTL
78.97,PDUFA,10/10/2018,"Galcanezumab - EVOLVE-1, EVOLVE-2 and REGAIN",,LLY
18.88,PDUFA,10/15/2018,IDP-122,,VRX
13.98,PDUFA,10/19/2018,Sarecycline,4Q 2018;,PRTK
56.29,PDUFA,10/23/2018,Doravirine (MK-1439),,MRK
67.26,Phase 3,10/31/2018,ALKS 3831 - ENLIGHTEN-2,Fall 2018;,ALKS
1.69,PDUFA,11/02/2018,Oliceridine (TRV130),,TRVN
86.91,PDUFA,11/16/2018,Adalimumab,"Nov 16, 2018 est only;",NVS
29.26,PDUFA,11/30/2018,Revefenacin,,TBPH
77.70,Phase 1,12/01/2018,Ivosidenib or enasidenib,ASH 2018;,AGIO
118.60,Phase 3,12/31/2018,ABT-494 - SELECT-COMPARE,2018;,ABBV
118.60,Phase 3,12/31/2018,Imbruvica - PHOENIX,2018;,ABBV
54.35,Phase 2b,12/31/2018,ALX-0171,2H 2018;,ABLX
5.65,Phase 2,12/31/2018,"ARB-1467, tenofovir, and pegylated interferon",2H 2018;,ABUS
11.72,Phase 1/2,12/31/2018,ACI-24 (anti-Abeta vaccine),2018;,ACIU
20.13,Phase 2,12/31/2018,ATI-50002 - dose ranging,YE 2018;,ACRS
6.40,Phase 1/2,12/31/2018,ADVM-043,2H 2018;,ADVM
164.04,Phase 3,12/31/2018,ABICIPAR,2H 2018;,AGN
37.20,Phase 3,12/31/2018,AR101 RAMSES,2H 2018;,AIMT
14.14,Phase 2,12/31/2018,Vadadustat - FO2RWARD,Late 2018/Early 2019;,AKBA
21.88,Phase 2,12/31/2018,AKCEA-ANGPTL3-LRx,2018;,AKCA
21.88,Phase 2b,12/31/2018,AKCEA-APO(a)-LRx,2H 2018;,AKCA
7.25,Phase 2b,12/31/2018,ADX-102,2H 2018;,ALDX
7.25,Phase 2b,12/31/2018,ADX-102,2H 2018;,ALDX
7.25,Phase 3,12/31/2018,ADX-102,2H 2018;,ALDX
7.25,Phase 2,12/31/2018,ADX-102,2H 2018;,ALDX
7.31,Phase 2,12/31/2018,ALLN-177,2H 2018;,ALNA
122.88,Phase 1/2,12/31/2018,ALN-CC5 (cemdisiran),2018;,ALNY
120.47,Phase 3,12/31/2018,ALXN1210,4Q 2018;,ALXN
120.47,Phase 3,12/31/2018,ALXN1210,2Q 2018;,ALXN
183.55,Phase 3,12/31/2018,ABP 710,2H 2018;,AMGN
14.95,Phase 2,12/31/2018,APL-2 subcutaneous,2H 2018;,APLS
80.11,Phase 2,12/31/2018,ARGX-113,2H 2018;,ARGX
80.11,Phase 2,12/31/2018,ARGX-113,2H 2018;,ARGX
53.65,Phase 2b,12/31/2018,AM0010 (PEG-IL-10) and Pembrolizumab - Cypress 1,YE 2018;,ARMO
53.65,Phase 2b,12/31/2018,AM0010 (PEG-IL-10) and Nivolumab - Cypress 2,YE 2018;,ARMO
2.10,Phase 1/2,12/31/2018,AST-VAC2,2H 2018;,AST
0.59,Phase 1,12/31/2018,Actimab-M,2H 2018;,ATNM
0.59,Phase 2,12/31/2018,Actimab-A,2H 2018;,ATNM
0.63,Phase 2,12/31/2018,Endoxifen,2018;,ATOS
0.63,Phase 2,12/31/2018,Endoxifen,2018;,ATOS
5.22,Phase 2,12/31/2018,Voclosporin,2H 2018;,AUPH
5.22,Phase 2,12/31/2018,Voclosporin,2H 2018;,AUPH
33.93,Phase 3,12/31/2018,Lynparza,2H 2018;,AZN
33.93,Phase 3,12/31/2018,Farxiga - DECLARE,2H 2018;,AZN
33.93,Phase 3,12/31/2018,FASENRA (benralizumab) - TERRANOVA,2H 2018;,AZN
33.93,Phase 3,12/31/2018,Durvalumab +/- tremelimumab (NEPTUNE),2H 2018;,AZN
33.93,Phase 3,12/31/2018,Anifrolumab,2H 2018;,AZN
2.96,Phase 2,12/31/2018,MS1819-SD,2H 2018;,AZRX
291.87,Phase 2,12/31/2018,Raxatrigine - BIIB074 (Nav1.7 inhibitor),2018;,BIIB
291.87,Phase 2,12/31/2018,BAN2401 (Aβ mAb),2H 2018;,BIIB
103.61,Phase 1/2,12/31/2018,BIVV001 (EXTEN-A),2018;,BIVV
2.22,Phase 2b,12/31/2018,INOpulse delivery device,YE 2018;,BLPH
2.22,Phase 2,12/31/2018,INOpulse delivery device,YE 2018;,BLPH
2.22,Phase 3,12/31/2018,INOpulse delivery device,2018;,BLPH
1.01,Phase 2,12/31/2018,BL-8040 in combination with KEYTRUDA - COMBAT trial,,BLRX
