drug,ticker,stage,end_date,date_text,price
Mirvetuximab soravtansine - FORWARD II,IMGN,Phase 1/2,03/31/2018,1Q 2018;,8.03
Mirvetuximab soravtansine - FORWARD I,IMGN,Phase 3,03/31/2018,1Q 2018;,8.03
IMM-124E,IMRN,Phase 2,03/31/2018,1Q 2018;,7.11
MB-102,MBIO,Phase 1,03/31/2018,Early 2018;,12.25
MB-101,MBIO,Phase 1,03/31/2018,Early 2018;,12.25
MVT-1075,MBVX,Phase 1,03/31/2018,1Q 2018;,0.88
MVT-5873,MBVX,Phase 1/2,03/31/2018,1Q 2018;,0.88
SER-262,MCRB,Phase 1b,03/31/2018,Early 2018;,10.57
MPC-150-IM - Class IV,MESO,Phase 2b,03/31/2018,1Q 2018;,5.89
MSC-100-IV,MESO,Phase 3,03/31/2018,1Q 2018;,5.89
Mocetinostat and durvalumab,MRTX,Phase 2,03/31/2018,1Q 2018 - see note below;,25.60
MYK-461 - PIONEER-HCM,MYOK,Phase 2,03/31/2018,1Q 2018;,53.95
Elagolix,NBIX,Phase 3,03/31/2018,1Q 2018;,80.68
Semaglutide - oral - PIONEER,NVO,Phase 3,03/31/2018,1Q 2018;,57.79
OBE001 - IMPLANT2,OBSV,Phase 2,03/31/2018,1Q 2018;,9.73
OPRX-106,PLX,Phase 2,03/31/2018,1Q 2018;,0.71
PTG-100,PTGX,Phase 2b,03/31/2018,Early 2018;,18.99
PTI-428 + Kalydeco,PTI,Phase 1,03/31/2018,1Q 2018;,4.16
Cemiplimab,REGN,Phase 2,03/31/2018,1Q 2018;,371.53
Praluent (alirocumab) ODYSSEY OUTCOMES,REGN,Phase 3,03/31/2018,1Q 2018;,371.53
Bardoxolone methyl - LARIAT,RETA,Phase 2,03/31/2018,1Q 2018;,29.79
Omaveloxolone - MOTOR,RETA,Phase 2,03/31/2018,1Q 2018;,29.79
RG-012,RGLS,Phase 1/2,03/31/2018,1Q 2018;,1.40
RX-3117,RNN,Phase 2a,03/31/2018,1Q 2018;,2.40
Archexin,RNN,Phase 2a,03/31/2018,1Q 2018;,2.40
Ezutromid,SMMT,Phase 2,03/31/2018,1Q 2018;,12.17
Topsalysin (PRX302),SPHS,Phase 2,03/31/2018,Late-1Q 2018;,2.22
SPI-2012 (ROLONTIS),SPPI,Phase 3,03/31/2018,1Q 2018;,19.03
Eravacycline (TP-434) - IGNITE3,TTPH,Phase 3,03/31/2018,1Q 2018;,6.34
VB-111,VBLT,Phase 3,03/31/2018,1Q 2018;,7.75
ASP0113 Vaccine,VICL,Phase 3,03/31/2018,1Q 2018;,1.87
HETLIOZ (tasimelteon),VNDA,Phase 2,03/31/2018,1Q 2018;,14.50
TTP399,VTVT,Phase 1/2,03/31/2018,Early 2018;,5.70
Azeliragon - STEADFAST,VTVT,Phase 3,03/31/2018,Early 2018;,5.70
VY-AADC01,VYGR,Phase 1b,03/31/2018,1Q 2018;,18.67
Keytruda,MRK,PDUFA priority review,04/03/2018,,61.28
Ibalizumab,THERF,PDUFA,04/03/2018,,6.55
Rucaparib ARIEL3,CLVS,PDUFA priority review,04/06/2018,,56.76
Pegylated Interferon Lambda (LIMT HDV),EIGR,Phase 2,04/11/2018,EASL 2018.;,8.85
Abemaciclib - MONARCH 3,LLY,PDUFA priority review,04/12/2018,,85.49
CM-214 – Opdivo + Yervoy,BMY,PDUFA priority review,04/16/2018,,62.28
KRN23 Burosumab,RARE,PDUFA priority review,04/17/2018,,49.16
Fostamatinib,RIGL,PDUFA,04/17/2018,,4.23
Elagolix,NBIX,PDUFA priority review,04/27/2018,,80.68
Lubiprostone,SCMP,PDUFA,04/28/2018,,17.95
ALKS 3831 - ENLIGHTEN-2,ALKS,Phase 3,04/30/2018,Fall 2018;,57.03
KYPROLIS (ENDEAVOR),AMGN,PDUFA,04/30/2018,,189.28
Selinexor - STORM,KPTI,Phase 2b,04/30/2018,April 2018;,10.01
Lefamulin - LEAP 2,NBRV,Phase 3,04/30/2018,Spring 2018;,6.59
Kymriah (CTL019 )- JULIET,NVS,PDUFA priority review,04/30/2018,,86.94
Azedra,PGNX,PDUFA priority review,04/30/2018,,6.27
ADCETRIS  in combination with chemotherapy ECHELON-1,SGEN,PDUFA priority review,05/01/2018,,53.48
Andexanet alfa,PTLA,PDUFA,05/04/2018,,49.63
LPCN 1021,LPCN,PDUFA,05/08/2018,,1.36
Tagrisso - FLAURA,AZN,PDUFA priority review,05/15/2018,Estimate mid-2Q 2018;,35.44
Erenumab,AMGN,PDUFA,05/17/2018,,189.28
Erenumab,NVS,PDUFA,05/17/2018,,86.94
Avatrombopag,DOVA,PDUFA priority review,05/21/2018,,30.90
DARZALEX (Daratumumab) - ALCYONE,JNJ,PDUFA priority review,05/21/2018,,147.36
Pegvaliase,BMRN,PDUFA priority review,05/25/2018,,89.12
Intravenous (IV) meloxicam,REPH,PDUFA,05/26/2018,,8.93
Prolia (denosumab),AMGN,PDUFA,05/28/2018,,189.28
Yuvvexy - TX-004HR,TXMD,PDUFA,05/29/2018,,6.30
Bempedoic acid (ETC-1002-040) - Clear Harmony,ESPR,Phase 3,05/31/2018,May 2018;,77.20
KIT-302,KTOV,PDUFA,05/31/2018,,2.34
Tafinlar (dabrafenib) and Mekinist (trametinib),NVS,PDUFA priority review,05/31/2018,Estimate mid-2Q 2018;,86.94
IMO-2125 + ipilimumab - ILLUMINATE 204,IDRA,Phase 2,06/01/2018,ASCO 2018;,2.55
IDP-118,VRX,PDUFA,06/18/2018,,21.52
Furoscix,SCPH,PDUFA,06/23/2018,,12.19
Plazomicin,AKAO,PDUFA priority review,06/25/2018,,11.54
Epidiolex,GWPH,PDUFA priority review,06/27/2018,,132.42
Rova-T (TRINITY),ABBV,Phase 2,06/30/2018,2Q 2018;,104.64
ATI-50002 - PK/safety,ACRS,Phase 2,06/30/2018,1H 2018;,24.40
ATI-50002 - open label,ACRS,Phase 2,06/30/2018,1H 2018;,24.40
Brimo DDS,AGN,Phase 2,06/30/2018,1H 2018;,181.33
ATOGEPANT,AGN,Phase 2b,06/30/2018,1H 2018;,181.33
UBROGEPANT,AGN,Phase 3,06/30/2018,1H 2018;,181.33
ESMYA  (ulipristal acetate),AGN,PDUFA,06/30/2018,1H 2018;,181.33
ALRN-6924,ALRN,Phase 2a,06/30/2018,1H 2018;,9.21
ANB020,ANAB,Phase 2a,06/30/2018,2Q 2018;,114.91
Cingal,ANIK,Phase 3,06/30/2018,1H 2018;,59.03
APL-2 IV - FILLY,APLS,Phase 3,06/30/2018,1H 2018;,18.90
rocapuldencel-T (AGS-003) ADAPT Trial,ARGS,Phase 3,06/30/2018,1H 2018;,2.17
AGS-004 and vorinostat,ARGS,Phase 1,06/30/2018,1H 2018;,2.17
Binimetinib - COLUMBUS,ARRY,PDUFA,06/30/2018,,13.14
ASN100,ASNS,Phase 2,06/30/2018,1H 2018;,13.63
TIVO-3 - tivozanib,AVEO,Phase 3,06/30/2018,2Q 2018;,2.93
BTA074 5% topical gel,AVIR,Phase 2,06/30/2018,2Q 2018;,0.67
Nelotanserin,AXON,Phase 2,06/30/2018,2Q 2018;,2.03
AXS-05 STRIDE-1,AXSM,Phase 3,06/30/2018,1H 2018;,2.95
Selumetinib - ASTRA,AZN,Phase 3,06/30/2018,1H 2018;,35.44
PT010,AZN,Phase 3,06/30/2018,1H 2018;,35.44
Lynparza,AZN,Phase 3,06/30/2018,1H 2018;,35.44
Durvalumab +/- tremelimumab (MYSTIC),AZN,Phase 3,06/30/2018,1H 2018;,35.44
Durvalumab +/- tremelimumab (KESTREL),AZN,Phase 3,06/30/2018,1H 2018;,35.44
Durvalumab +/- tremelimumab (EAGLE),AZN,Phase 3,06/30/2018,1H 2018;,35.44
Durvalumab +/- tremelimumab (ARCTIC),AZN,Phase 3,06/30/2018,1H 2018;,35.44
CM-714 Opdivo + Yervoy,BMY,Phase 3,06/30/2018,1H 2018;,62.28
CM-511 – Opdivo + Yervoy,BMY,Phase 3,06/30/2018,1H 2018;,62.28
CM-331– Opdivo,BMY,Phase 3,06/30/2018,1H 2018;,62.28
CM-227 – Opdivo + Yervoy,BMY,Phase 3,06/30/2018,1H 2018;,62.28
CM-548 - Opdivo+SOC,BMY,Phase 2,06/30/2018,1H 2018;,62.28
AT342 - VALENS,BOLD,Phase 1/2,06/30/2018,2Q 2018;,37.86
Marzeptacog alfa,CBIO,Phase 2,06/30/2018,1H 2018;,19.49
CK-101,CKPT,Phase 1/2,06/30/2018,1H 2018;,4.65
Glembatumumab vedotin,CLDX,Phase 2b,06/30/2018,2Q 2018;,2.76
Suprachoroidal CLS-TA - TYBEE,CLSD,Phase 2,06/30/2018,2Q 2018;,6.44
Suprachoroidal CLS-TA - HULK,CLSD,Phase 1/2,06/30/2018,2Q 2018;,6.44
Emricasan,CNAT,Phase 2b,06/30/2018,1H 2018;,4.71
Corplex Donepezil,CORI,Phase 1,06/30/2018,1H 2018;,13.63
Firdapse,CPRX,Phase 3,06/30/2018,1H 2018;,3.75
PIXUVRI - PIX306 Trial,CTIC,Phase 3,06/30/2018,1H 2018;,3.50
Viaskin Milk,DBVT,Phase 2b,06/30/2018,1H 2018;,25.05
Glycopyrronium tosylate (DRM04),DERM,PDUFA,06/30/2018,,28.21
DNL201,DNLI,Phase 1,06/30/2018,1H 2018;,19.76
IMblaze370 - cobimetinib and atezolizumab,EXEL,Phase 3,06/30/2018,1H 2018;,28.00
EGP-437,EYEG,Phase 3,06/30/2018,2Q 2018;,1.19
CEVA101,FBIO,Phase 2,06/30/2018,1H 2018;,3.96
Pepvax vaccine,FBIO,Phase 2,06/30/2018,1H 2018;,3.96
IV Tramadol,FBIO,Phase 3,06/30/2018,2Q 2018;,3.96
Gemcabene - INDIGO-1,GEMP,Phase 2b,06/30/2018,2Q 2018;,8.17
Selonsertib (GS-4997),GILD,Phase 2,06/30/2018,2Q 2018;,80.98
Aramchol - ARREST,GLMD,Phase 2b,06/30/2018,2Q 2018;,10.57
GLPG2737 - PELICAN,GLPG,Phase 2,06/30/2018,1H 2018;,112.44
Filgotinib - TORTUGA,GLPG,Phase 2,06/30/2018,2Q 2018;,112.44
Filgotinib - EQUATOR,GLPG,Phase 2,06/30/2018,2Q 2018;,112.44
G1T38 plus Faslodex,GTHX,Phase 1b,06/30/2018,2Q 2018;,26.34
HTX-011,HRTX,Phase 3,06/30/2018,1H 2018;,23.20
IMO-8400,IDRA,Phase 2,06/30/2018,2Q 2018;,2.55
Eftilagimod alpha and Keytruda,IMMP,Phase 1,06/30/2018,1H 2018;,1.85
Epacadostat with Keytruda - ECHO-301,INCY,Phase 3,06/30/2018,1H 2018;,93.16
Ruxolitinib - REACH 1,INCY,Phase 3,06/30/2018,1H 2018;,93.16
IPI-549 + Nivolumab,INFI,Phase 1,06/30/2018,2Q 2018;,2.04
IONIS-HTT Rx,IONS,Phase 1/2,06/30/2018,1H 2018;,50.22
JTX-2011,JNCE,Phase 1/2,06/30/2018,1H 2018;,21.76
Esketamine,JNJ,Phase 3,06/30/2018,2018;,147.36
KP415,KMPH,Phase 3,06/30/2018,2Q 2018;,5.66
Tipifarnib,KURA,Phase 2,06/30/2018,1H 2018;,17.80
MM-141 - CARRIE,MACK,Phase 2,06/30/2018,1H 2018;,10.82
NexoBrid,MDWD,Phase 3,06/30/2018,1H 2018;,4.45
Pracinostat in combination with Vidaza,MEIP,Phase 2,06/30/2018,1H 2018;,2.20
Margetuximab in combination with pembrolizumab,MGNX,Phase 2,06/30/2018,1H 2018;,19.19
MAT2501,MTNB,Phase 2,06/30/2018,2Q 2018;,1.18
NBI-74788,NBIX,Phase 2a,06/30/2018,1H 2018;,80.68
Indoximod + gemcitabine and nab-paclitaxel,NLNK,Phase 2,06/30/2018,1H 2018;,8.62
LEE011: MONALEESA-3,NVS,Phase 3,06/30/2018,2Q 2018;,86.94
Neratinib,PBYI,Phase 3,06/30/2018,1H 2018;,91.60
PF708 and Forteo,PFNX,Phase 3,06/30/2018,1H 2018;,3.20
NEOD001 PRONTO,PRTA,Phase 2b,06/30/2018,2Q 2018;,39.52
PLX-PAD (stem cells),PSTI,Phase 2,06/30/2018,1H 2018;,1.51
Supinoxin,RNN,Phase 2a,06/30/2018,2Q 2018;,2.40
RXDX-105,RXDX,Phase 1b,06/30/2018,1H 2018;,26.95
Samcyprone - RXI-SCP-1502,RXII,Phase 2,06/30/2018,1Q/2Q 2018;,4.42
Setmelanotide,RYTM,Phase 2,06/30/2018,1H 2018;,27.89
SAGE-217,SAGE,Phase 2,06/30/2018,2Q 2018;,169.46
COR-003 (levoketoconazole) - SONICS,SBBP,Phase 3,06/30/2018,2Q 2018;,8.55
SB-525 cDNA gene therapy,SGMO,Phase 1/2,06/30/2018,1H 2018;,17.75
SB-318,SGMO,Phase 1/2,06/30/2018,1H 2018;,17.75
SB-913 - CHAMPIONS,SGMO,Phase 1/2,06/30/2018,1H 2018;,17.75
Entinostat plus Keytruda - ENCORE 601,SNDX,Phase 1/2,06/30/2018,1H 2018;,10.17
E2112,SNDX,Phase 3,06/30/2018,1H 2018;,10.17
SGX301 (synthetic hypericin),SNGX,Phase 3,06/30/2018,1H 2018;,2.13
SPR741,SPRO,Phase 1b,06/30/2018,1H 2018;,12.06
Aironite - INDIE,SVRA,Phase 2,06/30/2018,1H 2018;,13.00
TD-9855,TBPH,Phase 2a,06/30/2018,1H 2018;,28.32
TRC253,TCON,Phase 1/2,06/30/2018,1H 2018;,2.80
TRC105 and Inlyta,TCON,Phase 2,06/30/2018,1H 2018;,2.80
TG-1101 and TGR-1202 - UNITY-CLL study,TGTX,Phase 3,06/30/2018,2Q 2018;,9.35
TNX-102 SL,TNXP,Phase 3,06/30/2018,1H 2018;,3.81
Toca 511 & Toca FC,TOCA,Phase 2/3,06/30/2018,1H 2018;,14.12
TPIV200,TPIV,Phase 2,06/30/2018,1H 2018;,3.96
Niraparib and Keytruda (TOPACIO),TSRO,Phase 1/2,06/30/2018,1H 2018;,63.91
Ropinirole implant,TTNP,Phase 1/2,06/30/2018,1H 2018;,1.28
VCL-HB01 HSV-2 Therapeutic Vaccine,VICL,Phase 2,06/30/2018,2Q 2018;,1.87
VK2809,VKTX,Phase 2,06/30/2018,1H 2018;,4.65
RPL554,VRNA,Phase 2a,06/30/2018,1H 2018;,12.84
ACE-083,XLRN,Phase 2,06/30/2018,1H 2018;,43.04
Dasiglucagon,ZEAL,Phase 3,06/30/2018,2Q 2018;,15.05
ZX008 - Study 1504,ZGNX,Phase 3,06/30/2018,2Q 2018;,35.95
Inotersen (IONIS-TTRRx),IONS,PDUFA priority review,07/06/2018,,50.22
RBP-7000,DRRX,PDUFA,07/28/2018,,1.20
Buprenorphine,INSY,PDUFA,07/28/2018,,8.69
Givosiran,ALNY,Phase 3,07/31/2018,Mid-2018;,124.83
Eculizumab,ALXN,Phase 3,07/31/2018,Mid-2018;,121.05
Oraxol,ATNX,Phase 3,07/31/2018,Mid-2018;,17.33
BL-8040,BLRX,Phase 2,07/31/2018,Mid-2018;,1.09
CX-072,CMTX,Phase 2,07/31/2018,Mid-2018;,10.00
CX 072,CTMX,Phase 1/2,07/31/2018,Mid-2018;,25.55
Vicinium,EBIO,Phase 3,07/31/2018,Mid-2018;,0.82
FMX103,FOMX,Phase 3,07/31/2018,Mid-2018;,6.41
FMX101 - FX2017-22,FOMX,Phase 3,07/31/2018,Mid-2018;,6.41
AEVI-001 (NFC-1),GNMX,Phase 2,07/31/2018,Mid-2018;,1.50
AEVI-002 (Anti-LIGHT mAb),GNMX,Phase 1/2,07/31/2018,Mid-2018;,1.50
Lico-cel (CD-19 JCAR017) - TRANSCEND,JUNO,Phase 1/2,07/31/2018,2018;,67.81
Ramucirumab,LLY,Phase 3,07/31/2018,Mid-2018;,85.49
Sitravatinib plus nivolumab,MRTX,Phase 2,07/31/2018,Mid-2018;,25.60
OBE2109 - EDELWEISS,OBSV,Phase 2b,07/31/2018,Mid-2018;,9.73
Pulmazole (PUR1900),PULM,Phase 1,07/31/2018,Mid-2018;,1.48
RHB-104 MAP US,RDHL,Phase 3,07/31/2018,Mid-2018;,5.24
SCY-078 - oral,SCYX,Phase 2b,07/31/2018,Mid-2018;,1.85
SNS-062,SNSS,Phase 1/2,07/31/2018,Mid-2018;,4.24
SPR994,SPRO,Phase 1,07/31/2018,Mid-2018;,12.06
SRP-5051,SRPT,Phase 1/2,07/31/2018,Mid-2018;,62.38
RPL554,VRNA,Phase 2b,07/31/2018,Mid-2018;,12.84
AV-101,VTGN,Phase 2,07/31/2018,Mid-2018.;,1.21
Luspatercept - BELIEVE,XLRN,Phase 3,07/31/2018,Mid-2018;,43.04
Luspatercept - MEDALIST,XLRN,Phase 3,07/31/2018,Mid-2018;,43.04
ZGN-1061,ZFGN,Phase 2,07/31/2018,Mid-2018;,6.05
EYLEA,REGN,PDUFA,08/11/2018,,371.53
IDP-121,VRX,PDUFA,08/26/2018,,21.52
Volanesorsen - APPROACH,AKCA,PDUFA,08/30/2018,,17.90
AEB1102,AGLE,Phase 1/2,09/30/2018,3Q 2018;,6.75
rAAV-hRS1,AGTC,Phase 1/2,09/30/2018,3Q 2018 est.;,4.10
Vascepa REDUCE-IT outcomes trial,AMRN,–,09/30/2018,3Q 2018;,3.97
AQX-1125 LEADERSHIP,AQXP,Phase 3,09/30/2018,3Q 2018;,11.75
AVP-786,CNCE,Phase 3,09/30/2018,3Q 2018;,19.61
Exendin 9-39,EIGR,Phase 2,09/30/2018,3Q 2018;,8.85
FLX-787 - COMMEND US trial,FLKS,Phase 2,09/30/2018,3Q 2018;,3.85
F/TAF (Descovy),GILD,Phase 3,09/30/2018,3Q 2018;,80.98
NeoCart,HSGX,Phase 3,09/30/2018,3Q 2018;,2.56
Concizumab - explorer,NVO,Phase 2,09/30/2018,3Q 2018;,57.79
Somapacitan (NN8640) - REAL 3,NVO,Phase 3,09/30/2018,3Q 2018;,57.79
1404,PGNX,Phase 3,09/30/2018,3Q 2018;,6.27
RG-012 - HERA,RGLS,Phase 2,09/30/2018,3Q 2018;,1.40
MitoGel - OLYMPUS,URGN,Phase 3,09/30/2018,3Q 2018;,43.00
VTI-308,VTL,Phase 3,09/30/2018,3Q 2018;,5.50
"Galcanezumab - EVOLVE-1, EVOLVE-2 and REGAIN",LLY,PDUFA,10/10/2018,,85.49
Sarecycline,PRTK,PDUFA,10/19/2018,4Q 2018;,15.93
Doravirine (MK-1439),MRK,PDUFA,10/23/2018,,61.28
Oliceridine (TRV130),TRVN,PDUFA,11/02/2018,,1.75
Adalimumab,NVS,PDUFA,11/16/2018,"Nov 16, 2018 est only;",86.94
ABT-494 - SELECT-COMPARE,ABBV,Phase 3,12/31/2018,2018;,104.64
Imbruvica - PHOENIX,ABBV,Phase 3,12/31/2018,2018;,104.64
"ARB-1467, tenofovir, and pegylated interferon",ABUS,Phase 2,12/31/2018,2H 2018;,5.20
ACI-24 (anti-Abeta vaccine),ACIU,Phase 1/2,12/31/2018,2018;,13.14
ATI-50002 - dose ranging,ACRS,Phase 2,12/31/2018,YE 2018;,24.40
ADVM-043,ADVM,Phase 1/2,12/31/2018,2H 2018;,4.90
Brazikumab,AGN,Phase 2b,12/31/2018,2018;,181.33
ABICIPAR,AGN,Phase 3,12/31/2018,2H 2018;,181.33
AR101 RAMSES,AIMT,Phase 3,12/31/2018,2H 2018;,38.90
Vadadustat - TRILO2GY,AKBA,Phase 3,12/31/2018,YE 2018;,14.71
Vadadustat - FO2RWARD,AKBA,Phase 2,12/31/2018,YE 2018;,14.71
AKCEA-ANGPTL3-LRx,AKCA,Phase 2,12/31/2018,2018;,17.90
AKCEA-APO(a)-LRx,AKCA,Phase 2b,12/31/2018,2018;,17.90
ADX-102,ALDX,Phase 2b,12/31/2018,2H 2018;,6.90
ADX-102,ALDX,Phase 3,12/31/2018,2H 2018;,6.90
ADX-102,ALDX,Phase 2,12/31/2018,2H 2018;,6.90
ALLN-177,ALNA,Phase 2,12/31/2018,2H 2018;,9.65
ALN-CC5 (cemdisiran),ALNY,Phase 1/2,12/31/2018,2018;,124.83
ALXN1210,ALXN,Phase 1/2,12/31/2018,2Q 2018;,121.05
APL-2 subcutaneous,APLS,Phase 2,12/31/2018,2H 2018;,18.90
ARGX-113,ARGX,Phase 2,12/31/2018,2H 2018;,66.33
ARGX-113,ARGX,Phase 2,12/31/2018,2H 2018;,66.33
AST-VAC2,AST,Phase 1/2,12/31/2018,2H 2018;,2.40
Endoxifen,ATOS,Phase 2,12/31/2018,2018;,0.33
Endoxifen,ATOS,Phase 2,12/31/2018,2018;,0.33
Voclosporin,AUPH,Phase 2,12/31/2018,2H 2018;,5.57
Voclosporin,AUPH,Phase 2,12/31/2018,2H 2018;,5.57
Farxiga - DECLARE,AZN,Phase 3,12/31/2018,2H 2018;,35.44
Benralizumab - TERRANOVA,AZN,Phase 3,12/31/2018,2H 2018;,35.44
Durvalumab +/- tremelimumab (NEPTUNE),AZN,Phase 3,12/31/2018,2H 2018;,35.44
Anifrolumab,AZN,Phase 3,12/31/2018,2H 2018;,35.44
Raxatrigine - BIIB074 (Nav1.7 inhibitor),BIIB,Phase 2,12/31/2018,2018;,342.41
BAN2401 (Aβ mAb),BIIB,Phase 2,12/31/2018,2H 2018;,342.41
BIVV001 (EXTEN-A),BIVV,Phase 1/2,12/31/2018,2018;,64.11
INOpulse delivery device,BLPH,Phase 2b,12/31/2018,YE 2018;,2.24
INOpulse delivery device,BLPH,Phase 2,12/31/2018,YE 2018;,2.24
INOpulse delivery device,BLPH,Phase 3,12/31/2018,2018;,2.24
BL-8040 in combination with KEYTRUDA - COMBAT trial,BLRX,Phase 2,12/31/2018,,1.09
BL-8040,BLRX,Phase 2b,12/31/2018,2018;,1.09
CM-602 – Opdivo + Elo + SOC,BMY,Phase 3,12/31/2018,2H 2018;,62.28
CM-459 – Opdivo,BMY,Phase 3,12/31/2018,2H 2018;,62.28
CM-451 – Opdivo + Yervoy,BMY,Phase 3,12/31/2018,2H 2018;,62.28
Plinabulin,BYSI,Phase 3,12/31/2018,2018;,25.97
Namodenoson (CF102),CANF,Phase 2,12/31/2018,2H 2018;,1.74
Tucatinib - MOUNTAINEER,CASC,Phase 2,12/31/2018,2018;,4.27
OTEZLA - SPSO-001,CELG,Phase 3,12/31/2018,2018;,102.65
REVLIMID - ROBUST,CELG,Phase 3,12/31/2018,2018;,102.65
MM-007 OPTIMISMM,CELG,Phase 3,12/31/2018,2018;,102.65
