ticker,end_date,stage,price,drug,date_text
IMRN,03/31/2018,Phase 2,8.05,IMM-124E,1Q 2018;
MBIO,03/31/2018,Phase 1,11.25,MB-102,Early 2018;
MBIO,03/31/2018,Phase 1,11.25,MB-101,Early 2018;
MBVX,03/31/2018,Phase 1,0.77,MVT-1075,1Q 2018;
MBVX,03/31/2018,Phase 1/2,0.77,MVT-5873,1Q 2018;
MCRB,03/31/2018,Phase 1b,9.46,SER-262,Early 2018;
MESO,03/31/2018,Phase 2b,5.40,MPC-150-IM - Class IV,1Q 2018;
MESO,03/31/2018,Phase 3,5.40,MSC-100-IV,1Q 2018;
MRTX,03/31/2018,Phase 2,26.25,Mocetinostat and durvalumab,1Q 2018 - see note below;
MYOK,03/31/2018,Phase 2,53.05,MYK-461 - PIONEER-HCM,1Q 2018;
NBIX,03/31/2018,Phase 3,83.33,Elagolix,1Q 2018;
NVO,03/31/2018,Phase 3,50.47,Semaglutide - oral - PIONEER,1Q 2018;
OBSV,03/31/2018,Phase 2,11.00,OBE001 - IMPLANT2,1Q 2018;
PLX,03/31/2018,Phase 2,0.68,OPRX-106,1Q 2018;
PTGX,03/31/2018,Phase 2b,21.52,PTG-100,Early 2018;
PTI,03/31/2018,Phase 1,2.76,PTI-428 + Kalydeco,1Q 2018;
REGN,03/31/2018,Phase 2,347.86,Cemiplimab,1Q 2018;
RETA,03/31/2018,Phase 2,27.80,Bardoxolone methyl - LARIAT,1Q 2018;
RETA,03/31/2018,Phase 2,27.80,Omaveloxolone - MOTOR,1Q 2018;
RGLS,03/31/2018,Phase 1/2,1.25,RG-012,1Q 2018;
RNN,03/31/2018,Phase 2a,2.01,RX-3117,1Q 2018;
RNN,03/31/2018,Phase 2a,2.01,Archexin,1Q 2018;
SLS,03/31/2018,Phase 2b,5.93,NeuVax in combination with Herceptin,1Q 2018;
SPHS,03/31/2018,Phase 2,2.14,Topsalysin (PRX302),Late-1Q 2018;
SPPI,03/31/2018,Phase 3,20.57,SPI-2012 (ROLONTIS),1Q 2018;
TTPH,03/31/2018,Phase 3,5.39,Eravacycline (TP-434) - IGNITE3,1Q 2018;
VBLT,03/31/2018,Phase 3,6.35,VB-111,1Q 2018;
VNDA,03/31/2018,Phase 2,16.15,HETLIOZ (tasimelteon),1Q 2018;
VRTX,03/31/2018,Phase 2,166.24,VX-150,1Q 2018;
VTVT,03/31/2018,Phase 1/2,7.42,TTP399,Early 2018;
VTVT,03/31/2018,Phase 3,7.42,Azeliragon - STEADFAST,Early 2018;
VYGR,03/31/2018,Phase 1b,18.76,VY-AADC01,1Q 2018;
MRK,04/03/2018,PDUFA priority review,58.56,Keytruda,
THERF,04/03/2018,PDUFA,6.09,Ibalizumab,
CLVS,04/06/2018,PDUFA priority review,56.82,Rucaparib ARIEL3,
NVS,04/09/2018,Phase 3,88.39,AIN457 (Cosentyx),"April 7-10, 2018;"
EIGR,04/11/2018,Phase 2,8.20,Pegylated Interferon Lambda (LIMT HDV),EASL 2018.;
LLY,04/12/2018,PDUFA priority review,81.18,Abemaciclib - MONARCH 3,
SELB,04/13/2018,Phase 2,8.76,SEL-212,1H April 2018;
BMY,04/16/2018,PDUFA priority review,63.48,CM-214 – Opdivo + Yervoy,
RARE,04/17/2018,PDUFA priority review,49.06,KRN23 Burosumab,
RIGL,04/17/2018,PDUFA,3.97,Fostamatinib,
MNOV,04/27/2018,Phase 2,9.52,MN-166,
NBIX,04/27/2018,PDUFA priority review,83.33,Elagolix,
SCMP,04/28/2018,PDUFA,17.95,Lubiprostone,
ALKS,04/30/2018,Phase 3,63.42,ALKS 3831 - ENLIGHTEN-2,Fall 2018;
AMGN,04/30/2018,PDUFA,187.01,KYPROLIS (ENDEAVOR),
BTX,04/30/2018,Phase 1/2,2.89,OpRegen,"ARVO Conference - Apr 29 - May 03, 2018;"
KPTI,04/30/2018,Phase 2b,11.66,Selinexor - STORM,April 2018;
NBRV,04/30/2018,Phase 3,5.83,Lefamulin - LEAP 2,Spring 2018;
NVS,04/30/2018,PDUFA priority review,88.39,Kymriah (CTL019 )- JULIET,
PGNX,04/30/2018,PDUFA priority review,5.41,Azedra,
SGEN,05/01/2018,PDUFA priority review,55.90,ADCETRIS  in combination with chemotherapy ECHELON-1,
PTLA,05/04/2018,PDUFA,49.88,Andexanet alfa,
LPCN,05/08/2018,PDUFA,1.33,LPCN 1021,
AZN,05/15/2018,PDUFA priority review,35.90,Tagrisso - FLAURA,Estimate mid-2Q 2018;
AMGN,05/17/2018,PDUFA,187.01,Erenumab,
NVS,05/17/2018,PDUFA,88.39,Erenumab,
DOVA,05/21/2018,PDUFA priority review,30.74,Avatrombopag,
JNJ,05/21/2018,PDUFA priority review,137.68,DARZALEX (Daratumumab) - ALCYONE,
BMRN,05/25/2018,PDUFA priority review,90.82,Pegvaliase,
REPH,05/26/2018,PDUFA,8.30,Intravenous (IV) meloxicam,
AMGN,05/28/2018,PDUFA,187.01,Prolia (denosumab),
TXMD,05/29/2018,PDUFA,5.51,Yuvvexy - TX-004HR,
ESPR,05/31/2018,Phase 3,70.46,Bempedoic acid (ETC-1002-040) - Clear Harmony,May 2018;
KTOV,05/31/2018,PDUFA,2.66,KIT-302,
NVS,05/31/2018,PDUFA priority review,88.39,Tafinlar (dabrafenib) and Mekinist (trametinib),Estimate mid-2Q 2018;
IDRA,06/01/2018,Phase 2,1.80,IMO-2125 + ipilimumab - ILLUMINATE 204,ASCO 2018;
VRX,06/18/2018,PDUFA,18.00,IDP-118,
SCPH,06/23/2018,PDUFA,12.28,Furoscix,
AKAO,06/25/2018,PDUFA priority review,10.74,Plazomicin,
GWPH,06/27/2018,PDUFA priority review,133.30,Epidiolex,
ABBV,06/30/2018,Phase 2,115.17,Rova-T (TRINITY),2Q 2018;
ACRS,06/30/2018,Phase 2,20.96,ATI-50002 - PK/safety,1H 2018;
ACRS,06/30/2018,Phase 2,20.96,ATI-50002 - open label,1H 2018;
AGN,06/30/2018,Phase 2,172.51,Brimo DDS,1H 2018;
AGN,06/30/2018,Phase 2b,172.51,ATOGEPANT,1H 2018;
AGN,06/30/2018,Phase 3,172.51,UBROGEPANT,1H 2018;
AGN,06/30/2018,PDUFA,172.51,ESMYA  (ulipristal acetate),1H 2018;
ALRN,06/30/2018,Phase 2a,9.00,ALRN-6924,1H 2018;
ANAB,06/30/2018,Phase 2a,104.81,ANB020,2Q 2018;
ANIK,06/30/2018,Phase 3,64.60,Cingal,1H 2018;
APLS,06/30/2018,Phase 3,16.45,APL-2 IV - FILLY,1H 2018;
ARGS,06/30/2018,Phase 3,1.92,rocapuldencel-T (AGS-003) ADAPT Trial,1H 2018;
ARGS,06/30/2018,Phase 1,1.92,AGS-004 and vorinostat,1H 2018;
ARRY,06/30/2018,PDUFA,14.88,Binimetinib - COLUMBUS,
ASNS,06/30/2018,Phase 2,12.33,ASN100,1H 2018;
AVEO,06/30/2018,Phase 3,2.99,TIVO-3 - tivozanib,2Q 2018;
AVIR,06/30/2018,Phase 2,0.61,BTA074 5% topical gel,2Q 2018;
AXON,06/30/2018,Phase 2,1.92,Nelotanserin,2Q 2018;
AXSM,06/30/2018,Phase 3,2.70,AXS-05 STRIDE-1,1H 2018;
AZN,06/30/2018,Phase 3,35.90,Selumetinib - ASTRA,1H 2018;
AZN,06/30/2018,Phase 3,35.90,Lynparza,1H 2018;
AZN,06/30/2018,Phase 3,35.90,Durvalumab +/- tremelimumab (MYSTIC),1H 2018;
AZN,06/30/2018,Phase 3,35.90,Durvalumab +/- tremelimumab (KESTREL),1H 2018;
AZN,06/30/2018,Phase 3,35.90,Durvalumab +/- tremelimumab (EAGLE),1H 2018;
AZN,06/30/2018,Phase 3,35.90,Durvalumab +/- tremelimumab (ARCTIC),1H 2018;
BMY,06/30/2018,Phase 3,63.48,CM-714 Opdivo + Yervoy,1H 2018;
BMY,06/30/2018,Phase 3,63.48,CM-511 – Opdivo + Yervoy,1H 2018;
BMY,06/30/2018,Phase 3,63.48,CM-331– Opdivo,1H 2018;
BMY,06/30/2018,Phase 3,63.48,CM-227 – Opdivo + Yervoy,1H 2018;
BMY,06/30/2018,Phase 2,63.48,CM-548 - Opdivo+SOC,1H 2018;
BOLD,06/30/2018,Phase 1/2,34.22,AT342 - VALENS,2Q 2018;
CBIO,06/30/2018,Phase 2,25.27,Marzeptacog alfa,1H 2018;
CELG,06/30/2018,Phase 3,99.80,REVLIMID - AUGMENT NHL-007,1H 2018;
CKPT,06/30/2018,Phase 1/2,4.26,CK-101,1H 2018;
CLDX,06/30/2018,Phase 2b,2.67,Glembatumumab vedotin,2Q 2018;
CLSD,06/30/2018,Phase 2,6.16,Suprachoroidal CLS-TA - TYBEE,2Q 2018;
CLSD,06/30/2018,Phase 1/2,6.16,Suprachoroidal CLS-TA - HULK,2Q 2018;
CNAT,06/30/2018,Phase 2b,5.17,Emricasan,1H 2018;
CORI,06/30/2018,Phase 1,12.31,Corplex Donepezil,1H 2018;
CPRX,06/30/2018,Phase 3,3.30,Firdapse,1H 2018;
CTIC,06/30/2018,Phase 3,2.83,PIXUVRI - PIX306 Trial,1H 2018;
DBVT,06/30/2018,Phase 2b,22.64,Viaskin Milk,1H 2018;
DERM,06/30/2018,PDUFA,27.80,Glycopyrronium tosylate (DRM04),
DNLI,06/30/2018,Phase 1,20.39,DNL201,1H 2018;
EXEL,06/30/2018,Phase 3,30.22,IMblaze370 - cobimetinib and atezolizumab,1H 2018;
EYEG,06/30/2018,Phase 3,1.03,EGP-437,2Q 2018;
FBIO,06/30/2018,Phase 2,3.72,CEVA101,1H 2018;
FBIO,06/30/2018,Phase 2,3.72,Pepvax vaccine,1H 2018;
FBIO,06/30/2018,Phase 3,3.72,IV Tramadol,2Q 2018;
GEMP,06/30/2018,Phase 2b,9.58,Gemcabene - INDIGO-1,2Q 2018;
GILD,06/30/2018,Phase 2,81.73,Selonsertib (GS-4997),2Q 2018;
GLMD,06/30/2018,Phase 2b,10.18,Aramchol - ARREST,2Q 2018;
GLPG,06/30/2018,Phase 2,118.00,GLPG2737 - PELICAN,1H 2018;
GLPG,06/30/2018,Phase 2,118.00,Filgotinib - TORTUGA,2Q 2018;
GLPG,06/30/2018,Phase 2,118.00,Filgotinib - EQUATOR,2Q 2018;
GTHX,06/30/2018,Phase 1b,22.97,G1T38 plus Faslodex,2Q 2018;
HRTX,06/30/2018,Phase 3,21.65,HTX-011,1H 2018;
IDRA,06/30/2018,Phase 2,1.80,IMO-8400,2Q 2018;
IMMP,06/30/2018,Phase 1,1.76,Eftilagimod alpha and Keytruda,1H 2018;
INCY,06/30/2018,Phase 3,85.92,Epacadostat with Keytruda - ECHO-301,1H 2018;
INCY,06/30/2018,Phase 3,85.92,Ruxolitinib - REACH 1,1H 2018;
INFI,06/30/2018,Phase 1,2.01,IPI-549 + Nivolumab,2Q 2018;
JNCE,06/30/2018,Phase 1/2,23.37,JTX-2011,1H 2018;
JNJ,06/30/2018,Phase 3,137.68,Esketamine,2018;
KMPH,06/30/2018,Phase 3,6.35,KP415,2Q 2018;
KURA,06/30/2018,Phase 2,19.80,Tipifarnib,1H 2018;
MACK,06/30/2018,Phase 2,10.50,MM-141 - CARRIE,1H 2018;
MDWD,06/30/2018,Phase 3,4.35,NexoBrid,1H 2018;
MEIP,06/30/2018,Phase 2,2.17,Pracinostat in combination with Vidaza,1H 2018;
MGNX,06/30/2018,Phase 2,21.86,Margetuximab in combination with pembrolizumab,1H 2018;
MNLO,06/30/2018,Phase 2,30.56,Serlopitant,2Q 2018;
MRK,06/30/2018,Phase 3,58.56,(MK-3475-189/KEYNOTE-189),"1H 2018 (est, only);"
MTNB,06/30/2018,Phase 2,0.95,MAT2501,2Q 2018;
NBIX,06/30/2018,Phase 2a,83.33,NBI-74788,1H 2018;
NLNK,06/30/2018,Phase 2,8.45,Indoximod + gemcitabine and nab-paclitaxel,1H 2018;
NVS,06/30/2018,Phase 2,88.39,LJN452,1H 2018;
NVS,06/30/2018,Phase 3,88.39,LEE011: MONALEESA-3,2Q 2018;
PBYI,06/30/2018,Phase 3,64.35,Neratinib,1H 2018;
PFNX,06/30/2018,Phase 3,3.36,PF708 and Forteo,1H 2018;
PRTA,06/30/2018,Phase 2b,39.60,NEOD001 PRONTO,2Q 2018;
PSTI,06/30/2018,Phase 2,1.42,PLX-PAD (stem cells),1H 2018;
RNN,06/30/2018,Phase 2a,2.01,Supinoxin,2Q 2018;
RXDX,06/30/2018,Phase 1b,26.95,RXDX-105,1H 2018;
RXII,06/30/2018,Phase 2,3.94,Samcyprone - RXI-SCP-1502,1Q/2Q 2018;
RYTM,06/30/2018,Phase 2,29.54,Setmelanotide,1H 2018;
SAGE,06/30/2018,Phase 2,186.78,SAGE-217,2Q 2018;
SBBP,06/30/2018,Phase 3,6.80,COR-003 (levoketoconazole) - SONICS,2Q 2018;
SGMO,06/30/2018,Phase 1/2,19.65,SB-525 cDNA gene therapy,1H 2018;
SGMO,06/30/2018,Phase 1/2,19.65,SB-318,1H 2018;
SGMO,06/30/2018,Phase 1/2,19.65,SB-913 - CHAMPIONS,1H 2018;
SNDX,06/30/2018,Phase 1/2,11.14,Entinostat plus Keytruda - ENCORE 601,1H 2018;
SNDX,06/30/2018,Phase 3,11.14,E2112,1H 2018;
SPRO,06/30/2018,Phase 1b,12.09,SPR741,1H 2018;
SVRA,06/30/2018,Phase 2,11.45,Aironite - INDIE,1H 2018;
TBPH,06/30/2018,Phase 2a,24.68,TD-9855,1H 2018;
TCON,06/30/2018,Phase 1/2,2.80,TRC253,1H 2018;
TCON,06/30/2018,Phase 2,2.80,TRC105 and Inlyta,1H 2018;
TGTX,06/30/2018,Phase 3,11.80,TG-1101 and TGR-1202 - UNITY-CLL study,2Q 2018;
TOCA,06/30/2018,Phase 2/3,12.48,Toca 511 & Toca FC,1H 2018;
TPIV,06/30/2018,Phase 2,3.53,TPIV200,1H 2018;
TSRO,06/30/2018,Phase 1/2,59.94,Niraparib and Keytruda (TOPACIO),1H 2018;
TTNP,06/30/2018,Phase 1/2,1.33,Ropinirole implant,1H 2018;
VICL,06/30/2018,Phase 2,1.48,VCL-HB01 HSV-2 Therapeutic Vaccine,2Q 2018;
VKTX,06/30/2018,Phase 2,6.07,VK2809,1H 2018;
VRNA,06/30/2018,Phase 2a,12.10,RPL554,1H 2018;
VRTX,06/30/2018,Phase 2,166.24,VX-445 in combination with tezacaftor and ivacaftor,1H 2018;
XLRN,06/30/2018,Phase 2,40.81,ACE-083,1H 2018;
ZEAL,06/30/2018,Phase 3,16.34,Dasiglucagon,2Q 2018;
ZGNX,06/30/2018,Phase 3,37.00,ZX008 - Study 1504,2Q 2018;
IONS,07/06/2018,PDUFA priority review,51.11,Inotersen (IONIS-TTRRx),
DRRX,07/28/2018,PDUFA,1.13,RBP-7000,
INSY,07/28/2018,PDUFA,8.80,Buprenorphine,
ALNY,07/31/2018,Phase 3,124.50,Givosiran,Mid-2018;
ALXN,07/31/2018,Phase 3,116.15,Eculizumab,Mid-2018;
ATNX,07/31/2018,Phase 3,14.43,Oraxol,Mid-2018;
BLRX,07/31/2018,Phase 2,1.05,BL-8040,Mid-2018;
CMTX,07/31/2018,Phase 2,10.00,CX-072,Mid-2018;
CTMX,07/31/2018,Phase 1/2,26.93,CX 072,Mid-2018;
EBIO,07/31/2018,Phase 3,0.88,Vicinium,Mid-2018;
FOMX,07/31/2018,Phase 3,6.57,FMX103,Mid-2018;
FOMX,07/31/2018,Phase 3,6.57,FMX101 - FX2017-22,Mid-2018;
GNMX,07/31/2018,Phase 2,2.16,AEVI-001 (NFC-1),Mid-2018;
GNMX,07/31/2018,Phase 1/2,2.16,AEVI-002 (Anti-LIGHT mAb),Mid-2018;
JUNO,07/31/2018,Phase 1/2,85.60,Lico-cel (CD-19 JCAR017) - TRANSCEND,2018;
MRTX,07/31/2018,Phase 2,26.25,Sitravatinib plus nivolumab,Mid-2018;
OBSV,07/31/2018,Phase 2b,11.00,OBE2109 - EDELWEISS,Mid-2018;
PULM,07/31/2018,Phase 1,1.63,Pulmazole (PUR1900),Mid-2018;
RDHL,07/31/2018,Phase 3,5.84,RHB-104 MAP US,Mid-2018;
SCYX,07/31/2018,Phase 2b,1.77,SCY-078 - oral,Mid-2018;
SNSS,07/31/2018,Phase 1/2,5.82,SNS-062,Mid-2018;
SPRO,07/31/2018,Phase 1,12.09,SPR994,Mid-2018;
SRPT,07/31/2018,Phase 1/2,63.12,SRP-5051,Mid-2018;
VRNA,07/31/2018,Phase 2b,12.10,RPL554,Mid-2018;
XLRN,07/31/2018,Phase 3,40.81,Luspatercept - BELIEVE,Mid-2018;
XLRN,07/31/2018,Phase 3,40.81,Luspatercept - MEDALIST,Mid-2018;
ZFGN,07/31/2018,Phase 2,7.51,ZGN-1061,Mid-2018;
ALNY,08/11/2018,PDUFA priority review,124.50,Patisiran APOLLO,
REGN,08/11/2018,PDUFA,347.86,EYLEA,
KALA,08/24/2018,PDUFA,14.71,INVELTYS,
VRX,08/26/2018,PDUFA,18.00,IDP-121,
AKCA,08/30/2018,PDUFA,22.70,Volanesorsen - APPROACH,
AGLE,09/30/2018,Phase 1/2,6.59,AEB1102,3Q 2018;
AGTC,09/30/2018,Phase 1/2,4.30,rAAV-hRS1,3Q 2018 est.;
AMRN,09/30/2018,Phase 3,3.76,Vascepa REDUCE-IT outcomes trial,3Q 2018;
AQXP,09/30/2018,Phase 3,13.38,AQX-1125 LEADERSHIP,3Q 2018;
CNCE,09/30/2018,Phase 3,20.01,AVP-786,3Q 2018;
EIGR,09/30/2018,Phase 2,8.20,Exendin 9-39,3Q 2018;
FLKS,09/30/2018,Phase 2,3.83,FLX-787 - COMMEND US trial,3Q 2018;
GILD,09/30/2018,Phase 3,81.73,F/TAF (Descovy),3Q 2018;
HSGX,09/30/2018,Phase 3,2.84,NeoCart,3Q 2018;
NVO,09/30/2018,Phase 2,50.47,Concizumab - explorer,3Q 2018;
NVO,09/30/2018,Phase 3,50.47,Somapacitan (NN8640) - REAL 3,3Q 2018;
NVS,09/30/2018,Phase 2,88.39,INC280,3Q 2018;
PGNX,09/30/2018,Phase 3,5.41,1404,3Q 2018;
RGLS,09/30/2018,Phase 2,1.25,RG-012 - HERA,3Q 2018;
SMMT,09/30/2018,Phase 2,12.41,Ezutromid,3Q 2018;
TNXP,09/30/2018,Phase 3,3.54,TNX-102 SL,3Q 2018;
URGN,09/30/2018,Phase 3,48.18,MitoGel - OLYMPUS,3Q 2018;
VTL,09/30/2018,Phase 3,5.85,VTI-308,3Q 2018;
LLY,10/10/2018,PDUFA,81.18,"Galcanezumab - EVOLVE-1, EVOLVE-2 and REGAIN",
PRTK,10/19/2018,PDUFA,14.55,Sarecycline,4Q 2018;
MRK,10/23/2018,PDUFA,58.56,Doravirine (MK-1439),
TRVN,11/02/2018,PDUFA,1.56,Oliceridine (TRV130),
NVS,11/16/2018,PDUFA,88.39,Adalimumab,"Nov 16, 2018 est only;"
TBPH,11/30/2018,PDUFA,24.68,Revefenacin,
ABBV,12/31/2018,Phase 3,115.17,ABT-494 - SELECT-COMPARE,2018;
ABBV,12/31/2018,Phase 3,115.17,Imbruvica - PHOENIX,2018;
ABLX,12/31/2018,Phase 2b,54.57,ALX-0171,2H 2018;
ABUS,12/31/2018,Phase 2,5.00,"ARB-1467, tenofovir, and pegylated interferon",2H 2018;
ACIU,12/31/2018,Phase 1/2,12.63,ACI-24 (anti-Abeta vaccine),2018;
ACRS,12/31/2018,Phase 2,20.96,ATI-50002 - dose ranging,YE 2018;
ADVM,12/31/2018,Phase 1/2,7.30,ADVM-043,2H 2018;
AGN,12/31/2018,Phase 2b,172.51,Brazikumab,2018;
AGN,12/31/2018,Phase 3,172.51,ABICIPAR,2H 2018;
AIMT,12/31/2018,Phase 3,36.18,AR101 RAMSES,2H 2018;
AKBA,12/31/2018,Phase 3,14.56,Vadadustat - TRILO2GY,YE 2018;
AKBA,12/31/2018,Phase 2,14.56,Vadadustat - FO2RWARD,YE 2018;
AKCA,12/31/2018,Phase 2,22.70,AKCEA-ANGPTL3-LRx,2018;
AKCA,12/31/2018,Phase 2b,22.70,AKCEA-APO(a)-LRx,2018;
ALDX,12/31/2018,Phase 2b,7.10,ADX-102,2H 2018;
ALDX,12/31/2018,Phase 2b,7.10,ADX-102,2H 2018;
ALDX,12/31/2018,Phase 3,7.10,ADX-102,2H 2018;
ALDX,12/31/2018,Phase 2,7.10,ADX-102,2H 2018;
ALNA,12/31/2018,Phase 2,8.69,ALLN-177,2H 2018;
ALNY,12/31/2018,Phase 1/2,124.50,ALN-CC5 (cemdisiran),2018;
ALXN,12/31/2018,Phase 1/2,116.15,ALXN1210,2Q 2018;
AMGN,12/31/2018,Phase 3,187.01,ABP 710,2H 2018;
APLS,12/31/2018,Phase 2,16.45,APL-2 subcutaneous,2H 2018;
ARGX,12/31/2018,Phase 2,72.97,ARGX-113,2H 2018;
ARGX,12/31/2018,Phase 2,72.97,ARGX-113,2H 2018;
ARMO,12/31/2018,Phase 2b,33.32,AM0010 (PEG-IL-10) and Pembrolizumab - Cypress 1,YE 2018;
ARMO,12/31/2018,Phase 2b,33.32,AM0010 (PEG-IL-10) and Nivolumab - Cypress 2,YE 2018;
AST,12/31/2018,Phase 1/2,2.00,AST-VAC2,2H 2018;
ATNM,12/31/2018,Phase 1,0.63,Actimab-M,2H 2018;
ATOS,12/31/2018,Phase 2,0.67,Endoxifen,2018;
ATOS,12/31/2018,Phase 2,0.67,Endoxifen,2018;
AUPH,12/31/2018,Phase 2,5.04,Voclosporin,2H 2018;
AUPH,12/31/2018,Phase 2,5.04,Voclosporin,2H 2018;
AZN,12/31/2018,Phase 3,35.90,Lynparza,2H 2018;
AZN,12/31/2018,Phase 3,35.90,Farxiga - DECLARE,2H 2018;
