drug,stage,ticker,date
Indoximod + chemotherapy,Phase 1/2,NLNK,12/31/2017
Indoximod + temozolomide,Phase 2,NLNK,12/31/2017
Indoximod + gemcitabine and nab-paclitaxel,Phase 2,NLNK,12/31/2017
NanoFlu vaccine,Phase 1/2,NVAX,12/31/2017
LEE011: MONALEESA-3,Phase 3,NVS,12/31/2017
OCR-002,Phase 2a,OCRX,12/31/2017
AG013,Phase 2,OGEN,12/31/2017
ImmunoPulse IL-12,Phase 2,ONCS,12/31/2017
IV Rigosertib - INSPIRE,Phase 3,ONTX,12/31/2017
Neratinib monotherapy with high dose loperamide prophylaxis - CONTROL,Phase 2,PBYI,12/31/2017
Xeljanz,Phase 3,PFE,12/31/2017
Ertugliflozin,Phase 3,PFE,12/31/2017
BOSULIF,PDUFA priority review,PFE,12/31/2017
Zepsyre(PM1183),Phase 3,PHMMF,12/31/2017
OPRX-106,Phase 2,PLX,12/31/2017
PLX-PAD (stem cells),Phase 2,PSTI,12/31/2017
PTI-428,Phase 2,PTI,12/31/2017
PUR0200,Phase 2,PULM,12/31/2017
Elacestrant,Phase 2b,RDUS,12/31/2017
EYLEA + nesvacumab,Phase 2,REGN,12/31/2017
EYLEA + nesvacumab,Phase 2,REGN,12/31/2017
Bardoxolone methyl - LARIAT,Phase 2,RETA,12/31/2017
Omaveloxolone - MOTOR,Phase 2,RETA,12/31/2017
Omaveloxolone - REVEAL,Phase 1/2,RETA,12/31/2017
RG-012,Phase 1/2,RGLS,12/31/2017
RGX-501,Phase 1/2,RGNX,12/31/2017
Fostamatinib,Phase 2,RIGL,12/31/2017
Supinoxin,Phase 2a,RNN,12/31/2017
RX-3117,Phase 2,RNN,12/31/2017
Archexin,Phase 2a,RNN,12/31/2017
RT002 - SAKURA 2,Phase 2,RVNC,12/31/2017
RT002,Phase 2,RVNC,12/31/2017
RT002 - SAKURA 1,Phase 3,RVNC,12/31/2017
RXDX-105,Phase 1b,RXDX,12/31/2017
STARTRK-2 entrectinib,Phase 2,RXDX,12/31/2017
RXI-109-1402,Phase 2,RXII,12/31/2017
Samcyprone - RXI-SCP-1502,Phase 2,RXII,12/31/2017
Brexanolone - SAGE-547 (202C),Phase 3,SAGE,12/31/2017
SAGE-217,Phase 2,SAGE,12/31/2017
SAGE-217,Phase 2,SAGE,12/31/2017
SAGE-217,Phase 2,SAGE,12/31/2017
Brexanolone - SAGE-547 (202B),Phase 3,SAGE,12/31/2017
SAGE-217,Phase 2,SAGE,12/31/2017
E2112,Phase 3,SNDX,12/31/2017
Poziotinib,Phase 2,SPPI,12/31/2017
Poziotinib,Phase 2,SPPI,12/31/2017
SL-401,Phase 2,STML,12/31/2017
SL-401,Phase 2,STML,12/31/2017
SL-401,Phase 2,STML,12/31/2017
AIR001,Phase 2,SVRA,12/31/2017
TRC105 and Inlyta,Phase 2,TCON,12/31/2017
TRC105,Phase 2,TCON,12/31/2017
TRC102,Phase 2,TCON,12/31/2017
Niraparib - (QUADRA trial),Phase 2,TSRO,12/31/2017
VK5211,Phase 2,VKTX,12/31/2017
HETLIOZ (tasimelteon),Phase 2,VNDA,12/31/2017
CTP-656,Phase 2,VRTX,12/31/2017
Tezacaftor (VX-661) / ivacaftor,Phase 3,VRTX,12/31/2017
SAN-300,Phase 2,VRX,12/31/2017
Xilonix,Phase 2,XBIT,12/31/2017
ACE-083,Phase 2,XLRN,12/31/2017
XmAb5871,Phase 2,XNCR,12/31/2017
RESOLVE steroid-releasing implant,PDUFA,XENT,01/07/2018
Ubenimex - LIBERTY,Phase 2,EIGR,01/08/2018
ARGX-110,Phase 1/2,ARGX,01/09/2018
Abemaciclib - MONARCH 1 and 2,PDUFA priority review,LLY,01/10/2018
AXS-02 CREATE-1,Phase 3,AXSM,01/15/2018
AXS-02 COAST-1,Phase 3,AXSM,01/15/2018
Trulance (plecanatide),PDUFA,SGYP,01/24/2018
Lutathera,PDUFA,AAAP,01/26/2018
Linhaliq (Pulmaquin),PDUFA priority review,ARDM,01/26/2018
Lubiprostone,PDUFA,SCMP,01/28/2018
Talazoparib,Phase 3,PFE,01/31/2018
Acalabrutinib,PDUFA priority review,AZN,02/01/2018
Feraheme,PDUFA,AMAG,02/02/2018
Andexanet alfa,PDUFA,PTLA,02/02/2018
XGEVA,PDUFA,AMGN,02/03/2018
LPCN 1021,PDUFA,LPCN,02/08/2018
Bictegravir/F/TAF,PDUFA priority review,GILD,02/12/2018
Makena - auto injector,PDUFA,AMAG,02/14/2018
Vitaros,PDUFA,APRI,02/17/2018
KP201/APAP,PDUFA,KMPH,02/23/2018
LJPC-501,PDUFA priority review,LJPC,02/28/2018
MGL-3196,Phase 2,MDGL,02/28/2018
ZTlido (lidocaine patch 1.8%),PDUFA,SRNE,02/28/2018
Tezacaftor (VX-661) / ivacaftor,PDUFA priority review,VRTX,02/28/2018
OTIPRIO,Phase 3,OTIC,03/02/2018
Opdivo -  4 week applications,PDUFA,BMY,03/05/2018
Xeljanz,PDUFA,PFE,03/13/2018
Gencaro - GENETIC-AF trial,Phase 2b,ABIO,03/31/2018
Tozadenant,Phase 3,ACOR,03/31/2018
AR101,Phase 3,AIMT,03/31/2018
Sollpura - RESULT,Phase 3,ANTH,03/31/2018
ARGX-113,Phase 2,ARGX,03/31/2018
APD371,Phase 2,ARNA,03/31/2018
Etrasimod,Phase 2,ARNA,03/31/2018
Nelotanserin,Phase 2,AXON,03/31/2018
AXS-05 STRIDE-1,Phase 3,AXSM,03/31/2018
Brilinta (THEMIS),Phase 3,AZN,03/31/2018
BHV-4157 Trigriluzole,Phase 2/3,BHVN,03/31/2018
CLBS03,Phase 2,CLBS,03/31/2018
Suprachoroidal CLS-TA - PEACHTREE,Phase 3,CLSD,03/31/2018
Corplex Donepezil,Phase 3,CORI,03/31/2018
CORT125134,Phase 2,CORT,03/31/2018
CK-2127107,Phase 2,CYTK,03/31/2018
Olumacostat glasaretil (DRM01),Phase 3,DERM,03/31/2018
Keyzilen (AM-101) - TACTT3,Phase 3,EARS,03/31/2018
Bempedoic Acid - 1002-039,Phase 2,ESPR,03/31/2018
Pamrevlumab (FG-3019),Phase 2,FGEN,03/31/2018
Gemcabene - INDIGO-1,Phase 2b,GEMP,03/31/2018
Imetelstat - IMbarkStudy,Phase 2,GERN,03/31/2018
Dolutegravir + lamivudine (GEMINI 1),Phase 3,GSK,03/31/2018
Trilaciclib,Phase 2,GTHX,03/31/2018
Trilaciclib,Phase 2,GTHX,03/31/2018
Trilaciclib,Phase 2,GTHX,03/31/2018
GWP42006 (CBDV),Phase 2,GWPH,03/31/2018
MB-102,Phase 1,MBIO,03/31/2018
MB-101,Phase 1,MBIO,03/31/2018
SER-262,Phase 1b,MCRB,03/31/2018
Pracinostat in combination with Vidaza,Phase 2,MEIP,03/31/2018
MPC-150-IM,Phase 2b,MESO,03/31/2018
MYK-461 - PIONEER-HCM,Phase 2,MYOK,03/31/2018
OBE001 - IMPLANT2,Phase 2,OBSV,03/31/2018
OHR-102 (MAKO),Phase 3,OHRP,03/31/2018
Tanezumab,Phase 3,PFE,03/31/2018
Tanezumab,Phase 3,PFE,03/31/2018
PTG-100,Phase 2b,PTGX,03/31/2018
Praluent (alirocumab) ODYSSEY OUTCOMES,Phase 3,REGN,03/31/2018
RXI-109-1501,Phase 1/2,RXII,03/31/2018
SB-318,Phase 1/2,SGMO,03/31/2018
SB-FIX,Phase 1/2,SGMO,03/31/2018
SB-913,Phase 1/2,SGMO,03/31/2018
Ezutromid,Phase 2,SMMT,03/31/2018
SAR439684 (PD-1),Phase 2,SNY,03/31/2018
Praluent (alirocumab) ODYSSEY OUTCOMES,Phase 3,SNY,03/31/2018
Topsalysin (PRX302),Phase 2,SPHS,03/31/2018
SPI-2012 (ROLONTIS),Phase 3,SPPI,03/31/2018
TRC105 and Nexavar,Phase 2,TCON,03/31/2018
Eravacycline (TP-434) - IGNITE3,Phase 3,TTPH,03/31/2018
VB-111,Phase 3,VBLT,03/31/2018
VCL-HB01 HSV-2 Therapeutic Vaccine,Phase 2,VICL,03/31/2018
ASP0113 Vaccine,Phase 3,VICL,03/31/2018
Azeliragon - STEADFAST,Phase 3,VTVT,03/31/2018
Fostamatinib,PDUFA,RIGL,04/17/2018
KYPROLIS (ENDEAVOR),PDUFA,AMGN,04/30/2018
Selinexor - STORM,Phase 2b,KPTI,04/30/2018
Lefamulin - LEAP 2,Phase 3,NBRV,04/30/2018
Erenumab,PDUFA,AMGN,05/17/2018
Erenumab,PDUFA,NVS,05/17/2018
ATOGEPANT,Phase 2b,AGN,06/30/2018
UBROGEPANT,Phase 3,AGN,06/30/2018
ALRN-6924,Phase 2a,ALRN,06/30/2018
ALXN1210,Phase 3,ALXN,06/30/2018
ABP 798,Phase 3,AMGN,06/30/2018
ANB020,Phase 2a,ANAB,06/30/2018
Binimetinib - COLUMBUS,PDUFA,ARRY,06/30/2018
BTA074 5% topical gel,Phase 2,AVIR,06/30/2018
Lynparza,Phase 3,AZN,06/30/2018
Durvalumab +/- tremelimumab (MYSTIC),Phase 3,AZN,06/30/2018
Durvalumab +/- tremelimumab (KESTREL),Phase 3,AZN,06/30/2018
Durvalumab +/- tremelimumab (EAGLE),Phase 3,AZN,06/30/2018
Rimegepant,Phase 3,BHVN,06/30/2018
CM-651 – Opdivo + Yervoy,Phase 3,BMY,06/30/2018
CM-451 – Opdivo + Yervoy,Phase 3,BMY,06/30/2018
CM-331– Opdivo,Phase 3,BMY,06/30/2018
CM-078 – Opdivo,Phase 3,BMY,06/30/2018
CM-548 - Opdivo+SOC,Phase 2,BMY,06/30/2018
Glembatumumab vedotin,Phase 2b,CLDX,06/30/2018
Suprachoroidal CLS-TA - TYBEE,Phase 2,CLSD,06/30/2018
Emricasan,Phase 2b,CNAT,06/30/2018
Firdapse,Phase 3,CPRX,06/30/2018
PIXUVRI - PIX306 Trial,Phase 3,CTIC,06/30/2018
Ubenimex - ULTRA,Phase 2,EIGR,06/30/2018
"Bempedoic acid - CLEAR LDL-C Lowering Program 1002-046, 1002-047 and 1002-048",Phase 3,ESPR,06/30/2018
Bempedoic acid (ETC-1002-040) - Clear Harmony,Phase 3,ESPR,06/30/2018
CEVA101,Phase 2,FBIO,06/30/2018
Pepvax vaccine,Phase 2,FBIO,06/30/2018
IV Tramadol,Phase 3,FBIO,06/30/2018
FLX-787,Phase 2,FLKS,06/30/2018
FMX101 - FX2017-22,Phase 3,FOMX,06/30/2018
NeuVax in combination with Herceptin,Phase 2b,GALE,06/30/2018
Aramchol - ARREST,Phase 2b,GLMD,06/30/2018
G1T38 plus Faslodex,Phase 1b,GTHX,06/30/2018
IMO-8400,Phase 2,IDRA,06/30/2018
JTX-2011,Phase 1/2,JNCE,06/30/2018
Esketamine,Phase 3,JNJ,06/30/2018
Tipifarnib,Phase 2,KURA,06/30/2018
Tipifarnib,Phase 2,KURA,06/30/2018
MM-141 - CARRIE,Phase 2,MACK,06/30/2018
NexoBrid,Phase 3,MDWD,06/30/2018
MAT2501,Phase 2,MTNB,06/30/2018
Tumor Treating Fields (TTFields) STELLAR,Phase 2,NVCR,06/30/2018
OTX-TP,Phase 3,OCUL,06/30/2018
Neratinib,Phase 3,PBYI,06/30/2018
NEOD001 PRONTO,Phase 2b,PRTA,06/30/2018
RX-3117 in combination with Abraxane,Phase 2a,RNN,06/30/2018
COR-003 (levoketoconazole) - SONICS,Phase 3,SBBP,06/30/2018
SGX301 (synthetic hypericin),Phase 3,SNGX,06/30/2018
Aironite - INDIE,Phase 2,SVRA,06/30/2018
TD-9855,Phase 2a,TBPH,06/30/2018
TG-1101 and TGR-1202 - UNITY-CLL study,Phase 3,TGTX,06/30/2018
TNX-102 SL,Phase 3,TNXP,06/30/2018
Toca 511 & Toca FC,Phase 2/3,TOCA,06/30/2018
VK2809,Phase 2,VKTX,06/30/2018
Tradipitant,Phase 2,VNDA,06/30/2018
AV-101,Phase 2,VTGN,06/30/2018
ZGN-1061,Phase 2,ZFGN,06/30/2018
ZX008 - Study 1504,Phase 3,ZGNX,06/30/2018
Intravenous (IV) meloxicam,PDUFA,REPH,07/28/2018
Givosiran,Phase 3,ALNY,07/31/2018
Luspatercept - BELIEVE,Phase 3,CELG,07/31/2018
Luspatercept - MEDALIST,Phase 3,CELG,07/31/2018
Vicinium,Phase 3,EBIO,07/31/2018
FMX103,Phase 3,FOMX,07/31/2018
AEVI-001 (NFC-1),Phase 2,GNMX,07/31/2018
Ramucirumab,Phase 3,LLY,07/31/2018
OBE2109 - EDELWEISS,Phase 2b,OBSV,07/31/2018
RG-012 - HERA,Phase 2,RGLS,07/31/2018
SCY-078 - oral,Phase 2,SCYX,07/31/2018
VTI-308,Phase 3,VTL,07/31/2018
Luspatercept - MEDALIST,Phase 3,XLRN,07/31/2018
Luspatercept - BELIEVE,Phase 3,XLRN,07/31/2018
rAAV-hRS1,Phase 1/2,AGTC,09/30/2018
Vascepa REDUCE-IT outcomes trial,–,AMRN,09/30/2018
AQX-1125 LEADERSHIP,Phase 3,AQXP,09/30/2018
NeoCart,Phase 3,HSGX,09/30/2018
COR-003 (levoketoconazole) - LOGICS,Phase 3,SBBP,09/30/2018
AVP-786,Phase 3,CNCE,09/30/2018
AEB1102,Phase 1/2,AGLE,12/31/2018
Brazikumab,Phase 2b,AGN,12/31/2018
Cariprazine,Phase 3,AGN,12/31/2018
ABICIPAR,Phase 3,AGN,12/31/2018
Vadadustat - TRILO2GY,Phase 3,AKBA,12/31/2018
Vadadustat - FO2RWARD,Phase 2,AKBA,12/31/2018
ADX-102,Phase 3,ALDX,12/31/2018
ADX-102,Phase 2,ALDX,12/31/2018
ALKS 3831 - ENLIGHTEN-2,Phase 3,ALKS,12/31/2018
ALN-CC5 (cemdisiran),Phase 1/2,ALNY,12/31/2018
Eculizumab,Phase 3,ALXN,12/31/2018
Cingal,Phase 3,ANIK,12/31/2018
ARGX-113,Phase 2,ARGS,12/31/2018
ARGX-113,Phase 2,ARGX,12/31/2018
Dapagliflozin - DECLARE,Phase 3,AZN,12/31/2018
Benralizumab - TERRANOVA,Phase 3,AZN,12/31/2018
Farxiga - DECLARE,Phase 3,AZN,12/31/2018
Selumetinib - ASTRA,Phase 3,AZN,12/31/2018
Roxadustat - ANDES,Phase 3,AZN,12/31/2018
PT010,Phase 3,AZN,12/31/2018
Durvalumab +/- tremelimumab (NEPTUNE),Phase 3,AZN,12/31/2018
Durvalumab +/- tremelimumab (DANUBE),Phase 3,AZN,12/31/2018
Anifrolumab,Phase 3,AZN,12/31/2018
Raxatrigine - BIIB074 (Nav1.7 inhibitor),Phase 2,BIIB,12/31/2018
INOpulse delivery device,Phase 3,BLPH,12/31/2018
BL-8040,Phase 2b,BLRX,12/31/2018
CM-602 – Opdivo + Elo + SOC,Phase 3,BMY,12/31/2018
Plinabulin,Phase 3,BYSI,12/31/2018
REVLIMID - ROBUST,Phase 3,CELG,12/31/2018
MM-007 OPTIMISMM,Phase 3,CELG,12/31/2018
Ozanimod - TRUE NORTH,Phase 3,CELG,12/31/2018
GED-0301 (CD-003),Phase 3,CELG,12/31/2018
GED-0301 (CD-002),Phase 3,CELG,12/31/2018
Oral Azacitidine - CC-486-AML-001,Phase 3,CELG,12/31/2018
ABRAXANE - IMpower 131 ( I/O Combo),Phase 3,CELG,12/31/2018
ABRAXANE - IMpower 130 ( I/O Combo),Phase 3,CELG,12/31/2018
ABRAXANE - IMPassion ( I/O Combo),Phase 3,CELG,12/31/2018
CF-301,Phase 2,CFRX,12/31/2018
Emricasan,Phase 2,CNAT,12/31/2018
CTP-543,Phase 2a,CNCE,12/31/2018
AM-111 ASSENT,Phase 3,EARS,12/31/2018
Tazemetostat,Phase 2,EPZM,12/31/2018
Roxadustat - ANDES,Phase 3,FGEN,12/31/2018
Gemcabene - AZURE-1,Phase 2,GEMP,12/31/2018
Closed Triple - CAPTAIN,Phase 3,GSK,12/31/2018
Epidiolex,Phase 3,GWPH,12/31/2018
Kadcyla (KATHERINE).,Phase 3,IMGN,12/31/2018
IMM-529,Phase 1/2,IMRN,12/31/2018
Epacadostat with Keytruda - ECHO-301,Phase 3,INCY,12/31/2018
Closed Triple,Phase 3,INVA,12/31/2018
LN-145,Phase 2,IOVA,12/31/2018
STELARA (USTEKINUMAB),Phase 3,JNJ,12/31/2018
DARZALEX (Daratumumab),Phase 3,JNJ,12/31/2018
KPI‑121 0.25%,Phase 3,KALA,12/31/2018
KPI‑121 0.25%,Phase 3,KALA,12/31/2018
Axicabtagene ciloleucel - KTE-C19 (ZUMA-2),Phase 2,KITE,12/31/2018
Axicabtagene ciloleucel - KTE-C19 (ZUMA-3),Phase 1/2,KITE,12/31/2018
Axicabtagene ciloleucel - KTE-C19 (ZUMA-4),Phase 1/2,KITE,12/31/2018
Selinexor - SADAL,Phase 2b,KPTI,12/31/2018
MM-121,Phase 2,MACK,12/31/2018
Annamycin,Phase 1/2,MBRX,12/31/2018
Epacadostat with Keytruda - ECHO-301,Phase 3,MRK,12/31/2018
QVM149,Phase 3,NVS,12/31/2018
LEE011: MONALEESA-7,Phase 3,NVS,12/31/2018
Entresto - PIONEER,Phase 3,NVS,12/31/2018
Entresto - PARAGON,Phase 3,NVS,12/31/2018
AIN457 (Cosentyx),Phase 3,NVS,12/31/2018
OBE022 - PROLONG,Phase 2a,OBSV,12/31/2018
Tanezumab,Phase 3,PFE,12/31/2018
PRX-102,Phase 3,PLX,12/31/2018
PUR1800,Phase 2,PULM,12/31/2018
Bardoxolone methyl - CATALYST,Phase 3,RETA,12/31/2018
Fostamatinib,Phase 2,RIGL,12/31/2018
ADCETRIS in combination with chemotherapy - ECHELON-2,Phase 3,SGEN,12/31/2018
SNA-001,Phase 3,SNNA,12/31/2018
SNA-001,Phase 3,SNNA,12/31/2018
Molgradex,Phase 3,SVRA,12/31/2018
